Field,Variant_TAPPs,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Mass Absorption Coefficients (MACs),"EPMA,SEM,SEMcomp",2,P,M2,,M2 — where the MAC database choice bites hardest,"MAC database choice affects accuracy particularly for light elements (B, C, N, O, F, Na)."
Matrix Correction Method,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",X-ray matrix correction algorithm applied during quantitative EDS or WDS data reduction.
Matrix Correction Method,"EPMA,SEM,SEMcomp",2,D,M3,,M3 — scope: when the method applies in mapping,"For X-ray mapping, applies when raw count maps are converted to quantitative concentration maps."
Metal Streak Artifact Assessment,XCT,1,D,M1,,"M1 — defining sentence, never moves","Assessment of whether high-density inclusions (FeNi metal, platinum-group minerals, dense oxides, or other high-Z phases) produce streak or starburst artifacts in the reconstructed volume."
Metal Streak Artifact Assessment,XCT,2,D,M3,,M3 — defines the artifact forms the assessment covers,Common forms include radial starburst streaks from high-Z inclusions and shadowing (anomalously low CT number) in beam-shadow regions behind dense phases.
Metal Streak Artifact Assessment,XCT,3,D,M3,,M3 — instruction: what to record,"Record which artifact type(s) are present, their spatial extent, and any exclusion zones or correction steps applied."
Minimum Sub-volume Overlap,XCT,1,D,M1,,"M1 — defining sentence, never moves",Minimum number of reconstructed slices that must overlap between adjacent sub-volumes in a stitched dataset.
Minimum Sub-volume Overlap,XCT,2,D,M5,REWRITE-REDUNDANT(C=Basic),'this is a procedure-level quality specification' restates the procedure-level tier,This is a procedure-level quality specification.
Minimum Sub-volume Overlap,XCT,3,P,M2,,M2 — published evidence for what overlap suffices,"Eckley et al. (2025) report that 500 slices of overlap were used in the Apollo 73001 stitching workflow, while 180 slices proved insufficient for their cone-beam geometry."
Monochromator,TEM,1,D,M1,,"M1 — defining sentence, never moves",Whether a monochromator is installed and was active during this procedure.
Monochromator,TEM,2,P,M2,,M2 — what the monochromator is relevant to,Relevant for EELS energy resolution and EFTEM performance.
Monochromator,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s) and EFTEM is not listed in Analytical Sub-mode.
Normalization / Standards-Based Correction,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Post-acquisition normalization applied using secondary reference materials to correct for session-to-session calibration drift.
Number of Projections,XCT,1,D,M1,,"M1 — defining sentence, never moves",Total number of equally-spaced projection images acquired over the full rotation range.
Number of Projections,XCT,2,P,M2,,M2 — reconstruction quality against scan time,More projections improve reconstruction quality by reducing under-sampling streak artifacts but increase scan time.
Number of Projections,XCT,3,D,M3,,M3 — defines what the count means under Mode B,"For Mode B (multi-volume stitching), this is the number per sub-volume."
Number of Sub-volumes,XCT,1,D,M1,,"M1 — defining sentence, never moves",Total number of overlapping sub-volume scans acquired to cover the full sample length.
Number of Sub-volumes,XCT,2,D,M4+M5,REWRITE-STRADDLE; REWRITE-REDUNDANT(C=N/A + D=Basic),'analysis-level parameter' restates the tiers; the reason it cannot be fixed in advance is rationale that survives,This is an analysis-level parameter: the number of sub-volumes depends on the length of the specific sample being scanned and cannot be fixed in the procedure in advance.
Number of Sub-volumes,XCT,3,D,M3,,M3 — scope: Mode B only,Applies only to Mode B (multi-volume stitching).
Optical Objective,XCT,1,D,M1,,"M1 — defining sentence, never moves",Optical magnification objective installed between the scintillator and CCD/CMOS detector.
Optical Objective,XCT,2,D,M3,,M3 — scope: optical-magnification instruments only,"Applies only to instruments using optical magnification (e.g., Zeiss Xradia Versa series)."
Optical Objective,XCT,3,D,M3,,M3 — instruction: sentinel value for geometric-only systems,"For systems using only geometric magnification, report ""Not applicable""."
Output Bit Depth,XCT,1,D,M1,,"M1 — defining sentence, never moves",Bit depth of the reconstructed 3D volume (number of bits used to encode each voxel's grayscale value).
Output Bit Depth,XCT,2,D,M5,REWRITE-REDUNDANT(Column F),names bit depths already in the controlled list; the gray-level counts are extra content that survives,"Common values are 8-bit (256 gray levels), 16-bit (65,536 gray levels), or 32-bit floating point."
Output Bit Depth,XCT,3,P,M2,,M2 — what bit depth costs in dynamic range for segmentation,Bit depth affects the dynamic range available for phase segmentation and quantitative attenuation analysis.
Output Bit Depth,XCT,4,D,M5,REWRITE-REDUNDANT(D=Editable),'the analyst confirms or adjusts at analysis time' is the D=Editable definition; the conditional first clause is real content under W3,The procedure may specify a required output bit depth if downstream analysis workflows depend on a consistent grayscale range; the analyst confirms or adjusts at analysis time.
Output Data Format,XCT,1,D,M1,,"M1 — defining sentence, never moves",File format of the reconstructed CT volume as output by the reconstruction software.
Output Data Format,XCT,2,D,M3,,M3 — scope boundary against Output Bit Depth,Bit depth is recorded separately in Output Bit Depth.
Partial Volume Effect Assessment,XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=N/A + D=Advanced),'Analysis-level record' and 'in this specific analysis' both assert the tier position,Analysis-level record of PVE severity and how it was handled in this specific analysis.
Partial Volume Effect Assessment,XCT,2,D,M3,,M3 — defines what the record must contain,"Documents the minimum feature size relative to the voxel size, the fraction of the feature population affected, and any PVE correction method applied (e.g., PSF-based deconvolution via Blob3D)."
Partial Volume Effect Criteria,XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=Advanced),'Procedure-level specification' asserts the tier position,Procedure-level specification of how partial volume effects (PVE) are managed in quantitative analysis.
Partial Volume Effect Criteria,XCT,2,P,M2,,M2 — the physical origin of partial volume effects,"PVE produces intermediate CT numbers at phase boundaries and at the surfaces of small features, because each voxel integrates the attenuation of all material within its volume."
Partial Volume Effect Criteria,XCT,3,D,M3,,M3 — names an implementation route for the correction,PVE correction can be implemented via PSF-based deconvolution tools such as Blob3D.
Partial Volume Effect Criteria,XCT,4,D,M3,,M3 — instruction: what to record,"Record the minimum feature size criterion adopted for the procedure (in voxels or µm), the basis for it, the treatment of boundary voxels in modal abundance or size distribution calculations, and whether PVE correction is required or optional."
Partial Volume Effect Criteria,XCT,5,D,M4,REWRITE-STRADDLE,"external-standard criterion from Withers et al. (2021) (rationale, real content under W3) plus the instruction to state which basis was used","Per Withers et al. (2021) a feature must span at least 3 voxels to be positively identified and at least 10 for reliable shape and volume characterisation; state whether the criterion follows that convention or is SNR-limited, PVE-limited or analyst-defined."
Partial Volume Effect Criteria,XCT,6,P,M2,,M2 — why datasets are not comparable without the criterion,"The criterion materially changes reported modal abundances and size distributions, so two datasets are not comparable without it."
Peak Counting Time,"EPMA,SEM,SEMcomp",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: channel),'on each spectrometer assignment' states the key axis,"Time spent counting X-ray intensity at the peak position, in seconds, on each spectrometer assignment."
Peak Counting Time,"EPMA,SEM,SEMcomp",2,D,M5,REWRITE-REDUNDANT(C=Basic + D=Editable),'procedure specifies; analysts may adjust within bounds' is the C/D split in words,Procedure specifies standard values; analysts may adjust within procedure-defined bounds.
Phase Identification Method,TEM,1,D,M1,,"M1 — defining sentence, never moves","Method used to identify crystalline phases from electron diffraction patterns or d-spacings, whether from SAED patterns, spot diffraction, or diffraction data extracted from 4D-STEM datasets."
Phase Identification Method,XCT,1,D,M1,,"M1 — defining sentence, never moves",Method used to assign reconstructed CT number ranges to specific mineral phases or material types.
Phase Identification Method,XCT,2,D,M3,,M3 — enumerates the approaches the field may record,"Approaches include comparison to calculated linear attenuation coefficients (LAC), cross-validation with independent analytical techniques, or empirical calibration."
Precession Angle,TEM,1,D,M1,,"M1 — defining sentence, never moves",Precession semi-angle in degrees for precession electron diffraction (PED).
Precession Angle,TEM,2,P,M2,,M2 — what hollow-cone illumination achieves,Hollow-cone illumination reduces dynamical diffraction effects and produces more kinematical-like intensities.
Precession Angle,TEM,3,D,M3,,M3 — scope: not applicable to other diffraction sub-modes,"Not applicable to SAED, CBED, or standard 4D-STEM."
Precession Angle,TEM,4,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where Precession ED is not listed in Analytical Sub-mode.
Primary Calibration Standard Name,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Name(s) of the primary reference material(s) used for element standardization (intensity calibration).
Primary Calibration Standard Name,EPMA,2,D,M4,REWRITE-STRADDLE,instruction on what to include plus the reason ('since results ... are not directly comparable'),"Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable."
Primary Calibration Standard Name,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Name(s) of the primary reference material(s) used for intensity calibration in EDS or WDS quantification.
Primary Calibration Standard Name,"SEM,SEMcomp",2,D,M4,REWRITE-STRADDLE,as item 145,"Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable."
Proportional Counter / Detector,"EPMA,SEM,SEMcomp",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: channel),'used on each spectrometer assignment' states the key axis,Type of detector used on each spectrometer assignment.
Proportional Counter / Detector,"EPMA,SEM,SEMcomp",2,P,M2,,M2 — what the detector type affects,Affects sensitivity and count rate linearity.
Protective Coating Deposition,"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves",Type and deposition conditions of the protective coating applied to the sample surface before FIB milling.
Protective Coating Deposition,"FIB,SEM",2,D,M4,REWRITE-STRADDLE,comparative rationale for e-beam deposition plus the instruction to apply it first,E-beam deposition causes less surface damage than ion-beam deposition and should be applied as the initial layer.
Protective Coating Deposition,"FIB,SEM",3,D,M3,,M3 — typical coating materials,Typical coatings: platinum (Pt) or carbon (C).
Protective Coating Deposition,"FIB,SEM",4,D,M3,,M3 — instruction: what to state,"State material, deposition method, beam conditions, and approximate thickness."
Reconstruction Algorithm,XCT,1,D,M1,,"M1 — defining sentence, never moves",Mathematical algorithm used to reconstruct the 3D CT volume from 2D projection images.
Reconstruction Algorithm,XCT,2,P,M2,,M2 — which algorithm is standard and what iterative methods buy,The Feldkamp-Davis-Kress (FDK) algorithm is standard for cone-beam lab XCT geometry; iterative methods offer better artifact suppression at the cost of computation time.
Reconstruction Convolution Filter,XCT,1,D,M1,,"M1 — defining sentence, never moves",Convolution (apodization) filter kernel applied during back-projection reconstruction.
Reconstruction Convolution Filter,XCT,2,P,M2,,M2 — edge definition against noise across filter choices,"Sharper filters (Ram-Lak) enhance edge definition but amplify high-frequency noise; smoother filters (Hann, Hamming) reduce noise at the cost of edge sharpness."
Reconstruction Convolution Filter,XCT,3,D,M5,REWRITE-REDUNDANT(C=Advanced),'a deliberate procedure-level tradeoff' restates the procedure-level tier,The choice represents a deliberate procedure-level tradeoff.
Reconstruction Software,XCT,1,D,M1,,"M1 — defining sentence, never moves","Software used to reconstruct 2D projection images into a 3D CT volume, including version number."
Reconstruction Software,XCT,2,P,M2,,M2 — context: reconstruction software is usually vendor-bundled,Often bundled with the instrument and proprietary to the manufacturer.
Ring Artifact Correction Method,XCT,1,D,M1,,"M1 — defining sentence, never moves",Procedure specification for how ring artifacts are handled.
Ring Artifact Correction Method,XCT,2,P,M2,,M2 — what ring artifacts are and where they come from,Ring artifacts appear as concentric circular bands centred on the rotation axis and arise from defective or miscalibrated detector pixels.
Ring Artifact Correction Method,XCT,3,D,M5,REWRITE-REDUNDANT(C=Advanced + D=Editable),'method is the procedure-level specification; outcome recorded at analysis level' is the C/D split in words,Method is the procedure-level specification; whether correction was applied and its outcome are recorded at analysis level in Group 6.
Ring Artifact Severity and Correction Outcome,XCT,1,D,M1,,"M1 — defining sentence, never moves",Assessment of whether ring artifacts — concentric rings centred on the rotation axis arising from differential sensitivity or gain drift among detector elements — were present and whether correction was effective.
Ring Artifact Severity and Correction Outcome,XCT,2,D,M4,REWRITE-STRADDLE,"instruction to note the effect, carrying the scientific caveat about spurious linear features","Note that ring correction algorithms modify image intensity in narrow annular bands; in samples containing linear geological features oriented tangentially to the rotation axis, ring correction can alter or introduce spurious linear features in those orientations."
Ring Artifact Severity and Correction Outcome,XCT,3,D,M3,,M3 — instruction: what to record,"Record whether rings were present, whether correction was applied, and whether any residual rings or correction artifacts fall within the analysis volume of interest."
Rotation Mode,XCT,1,D,M1,,"M1 — defining sentence, never moves",Whether projection images are acquired during continuous sample rotation (faster; may introduce slight motion blur at high rotation speeds) or at discrete step positions with the stage stationary during each exposure (stop-and-shoot; eliminates motion blur).
Rotation Mode,XCT,2,P,M2,,M2 — published association between continuous rotation and stitching artifacts,Continuous rotation has been associated with sub-volume rotational mismatch artifacts in multi-volume stitching workflows (Eckley et al. 2025).
Rotation Range,XCT,1,D,M1,,"M1 — defining sentence, never moves","Total angular range over which projection images are acquired, in degrees."
Rotation Range,XCT,2,P,M2,,M2 — typical practice for cone-beam lab XCT,Full 360° rotation is standard for cone-beam lab XCT.
Rotation Range,XCT,3,P,M2,,M2 — when half-scan is used and what it costs,180° rotation (half-scan) is sometimes used for faster acquisition but may introduce additional artifacts.
Rotation Step Size,XCT,1,D,M1,,"M1 — defining sentence, never moves","Angular increment between successive projection images, in degrees."
Rotation Step Size,XCT,2,D,M3,,"M3 — how the value relates to Rotation Range / Number of Projections, and the reporting caveat","Equal to Rotation Range divided by Number of Projections when both are reported; however, some sources report step size as the primary rotation parameter without stating the total number of projections explicitly."
Rotation Step Size,XCT,3,P,M2,,M2 — angular sampling against scan time,Finer step sizes improve angular sampling and reduce streak artifacts at the cost of longer scan time.
SAED Pattern Simulation Software,TEM,1,D,M1,,"M1 — defining sentence, never moves","Software used to simulate electron diffraction patterns for comparison with experimental SAED patterns during phase identification (e.g., SingleCrystal, CrystalMaker, JEMS, DIFPACK)."
SAED Pattern Simulation Software,TEM,2,D,M3,,M3 — scope boundary against Acquisition Software,"Complements the Acquisition Software field, which covers data collection; simulation software is used at the interpretation and data processing step."
Sample Dimensions (L × W × H),XCT,1,D,M1,,"M1 — defining sentence, never moves","Physical dimensions of the sample in mm, reported as length × width × height (or equivalent three orthogonal measurements)."
Sample Dimensions (L × W × H),XCT,2,P,M2,,M2 — how the largest dimension bounds the achievable voxel size,The maximum dimension constrains the minimum achievable field of view and therefore the coarsest achievable voxel size.
Sample Dimensions (L × W × H),XCT,3,P,M2,,M2 — how the smallest dimension bounds feature sampling,The minimum dimension determines how many voxels span the smallest feature of interest.
Sample Holder,TEM,1,D,M1,,"M1 — defining sentence, never moves",Type of specimen holder used.
Sample Holder,TEM,2,P,M2,,M2 — why cryo holders matter for beam-sensitive phases,Cryo holders (liquid N2 to ~110 K) are critical for minimizing beam-induced damage to organic matter and beam-sensitive phases.
Sample Holder,TEM,3,P,M2,,M2 — what heating holders enable,Heating holders enable in-situ experiments.
Sample Mass,XCT,1,D,M1,,"M1 — defining sentence, never moves","Mass of the sample in grams, recorded for curatorial tracking of precious or limited materials."
Sample Mass,XCT,2,P,M2,,M2 — which sample types make the mass matter,"Particularly important for meteorite, mission-returned, and other restricted samples."
Sample Mass,XCT,3,D,M4+M5,REWRITE-STRADDLE; REWRITE-REDUNDANT(C=N/A),'analysis-level field' restates the tier; why it cannot be fixed by the procedure is rationale that survives,"This is an analysis-level field: the actual sample mass depends on the specific sample being scanned, not on the procedure design."
Sample Mounting Method,XCT,1,D,M1,,"M1 — defining sentence, never moves",Method used to mount or hold the sample on the instrument rotation stage.
Sample Mounting Method,XCT,2,D,M4,REWRITE-STRADDLE,constraint on the mounting material (instruction) with the attenuation reason attached,Mounting material should transmit X-rays at the selected voltage without dominating beam attenuation.
Sample Mounting Method,XCT,3,D,M3,,M3 — instruction: what to report,"Report the holder type, adhesive or support material, and any alignment aids used."
Sample Preparation Details,TEM,1,D,M1,,"M1 — defining sentence, never moves","Detailed description of section preparation conditions: FIB milling voltages and currents; final thinning conditions and target foil thickness; protective coating type and deposition method (e.g., e-beam vs. ion-beam Pt or C strip — e-beam deposition causes less surface damage); any post-FIB surface cleanup (e.g., low-energy Ar+ ion polishing in a Fischione NanoMill, final 0.5–2 kV Ga+ thinning); sample transfer and storage environment (ambient air, dry N₂ atmosphere, vacuum transfer holder, glovebox); plasma cleaning before loading."
Sample Preparation Details,TEM,2,D,M5,REWRITE-REDUNDANT(D=Editable),'analysts record session-specific observations and deviations' is the D=Editable definition,Analysts record session-specific observations and deviations from the procedure standard.
Sample Preparation Details,TEM,3,D,M3,,M3 — defines further content the field carries,"Includes preparation artifacts noted (Ga implantation, amorphization, curtaining)."
Sample Preparation Method,EPMA,1,D,M1,,"M1 — defining sentence, never moves","Description of how samples were prepared for analysis under this procedure (mounting, polishing, coating)."
Sample Preparation Method,EPMA,2,D,M5,REWRITE-REDUNDANT(D=Editable),'analysts may document session-specific variations' is the D=Editable definition,Analysts may document session-specific variations from the procedure standard.
Sample Preparation Method,"FIB,SEM,SEMcomp,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Method by which samples were prepared for SEM analysis prior to loading in the instrument.
Sample Preparation Method,"FIB,SEM,SEMcomp,SEMimg",2,D,M3,,M3 — defines the content the field carries,"Includes mounting medium (epoxy, carbon tape, stub), polishing steps (alumina, colloidal silica, argon ion mill), and conductive coating type and thickness."
Sample Preparation Method,"FIB,SEM,SEMcomp,SEMimg",3,D,M3,,M3 — conditional instruction for VP-SEM/ESEM,"For VP-SEM/ESEM analyses, note whether an uncoated sample was used and the gas type used."
Sample Preparation Method,"FIB,SEM,SEMcomp,SEMimg",4,D,M3,,M3 — scope boundary against the Group 4 FIB fields,"FIB-specific in-session operations (protective coating deposition, milling conditions, lamella preparation) are documented separately in Group 4."
Sample Preparation Method,TEM,1,D,M1,,"M1 — defining sentence, never moves",Primary method by which electron-transparent sections are prepared from the sample.
Sample Preparation Method,TEM,2,D,M5,REWRITE-REDUNDANT(C=Basic),'the procedure documents the standard approach' restates the procedure-level tier; the pointer to Sample Preparation Details is real content that survives,The procedure documents the standard approach; analysts record session-specific details and deviations in Sample Preparation Details.
Sample Preparation Notes,XCT,1,D,M1,,"M1 — defining sentence, never moves","Any preparation steps applied to the sample before scanning, including cleaning, trimming, consolidation, or drying."
Sample Preparation Notes,XCT,2,D,M4,REWRITE-STRADDLE,technique fact that XCT needs no preparation (rationale) plus the instruction to note exceptions,XCT is typically non-destructive with no surface preparation required; note any exceptions.
Sample Tilt Angle,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves","Sample tilt angle for EBSD acquisition in degrees, measured from horizontal."
Sample Tilt Angle,"SEM,SEMimg",2,P,M2,,M2 — why 70 degrees is the standard EBSD geometry,Standard EBSD geometry uses 70 degrees tilt toward the EBSD camera to maximise diffracted electron signal.
SE Detector Type,"FIB,SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Type of secondary electron detector used.
SE Detector Type,"FIB,SEM,SEMimg",2,D,M3,,M3 — defines two controlled-list values; Column F names them but does not define them,Everhart-Thornley (ET) detector is the standard off-axis collector sensitive to SE2 and some BSE; in-lens (TLD) detectors collect high-resolution SE1 signal at short working distances;
SE Detector Type,"FIB,SEM,SEMimg",3,D,M3,,M3 — as S2 for GSED/ESED,GSED/ESED detectors operate in VP/ESEM mode by using the chamber gas as the signal amplification medium.
Secondary Reference Materials,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Quality-control reference material(s) analyzed alongside unknowns to verify calibration accuracy.
Secondary Reference Materials,EPMA,2,D,M5,REWRITE-REDUNDANT(Keyed By: defines: standard per analyte),"'material name, assessed elements' names the key axes; n and measured-vs-accepted are extra content that survives","Include material name, assessed elements, number of analyses (n), and measured vs. accepted values."
Secondary Reference Materials,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Quality-control reference material(s) analyzed alongside unknowns to verify calibration accuracy.
Secondary Reference Materials,"SEM,SEMcomp",2,D,M5,REWRITE-REDUNDANT(Keyed By: defines: standard per analyte),as item 169,"Include material name, assessed elements, number of analyses (n), and measured vs. accepted values where available."
Segmentation Method,"FIB,SEM,XCT",1,D,M1,,"M1 — defining sentence, never moves","Method and software used to separate distinct phases or features in the reconstructed 3D volume, turning the grayscale volume into labelled regions."
Segmentation Threshold Values or Criteria,XCT,1,D,M1,,"M1 — defining sentence, never moves",Specific CT number range(s) or quantitative criteria used to define each segmented phase or feature.
Segmentation Threshold Values or Criteria,XCT,2,P,M2,,M2 — what documenting the thresholds enables,Documenting these values enables reproducibility assessment and cross-study comparison.
Segmentation Threshold Values or Criteria,XCT,3,D,M3,,M3 — conditional instruction on units for LAC-calibrated data,"For LAC-calibrated datasets, report values in cm⁻¹."
Selected-Area Aperture Size,TEM,1,D,M1,,"M1 — defining sentence, never moves","Diameter of the selected-area aperture used in SAED mode, defining the specimen region that contributes to the diffraction pattern."
Sequence,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Order in which spectrometer assignments are acquired during point analysis.
Sequence,"EPMA,SEM,SEMcomp",2,P,M2,,M2 — why acquisition order matters,Relevant for minimizing beam damage (volatile elements measured first) and for sequential multi-channel setups.
Sequence,"EPMA,SEM,SEMcomp",3,D,M3,,M3 — scope: not applicable to mapping,"Not applicable to X-ray mapping, where all assigned spectrometers collect simultaneously at each pixel."
Signal-to-Noise Ratio,XCT,1,D,M1,,"M1 — defining sentence, never moves",Quantitative measure of image quality in the reconstructed CT volume.
Signal-to-Noise Ratio,XCT,2,D,M3,,M3 — defines how SNR is computed,"Typically calculated as the mean CT number divided by the standard deviation of CT number in a homogeneous reference region (e.g., an inclusion-free zone of the matrix)."
Signal-to-Noise Ratio,XCT,3,P,M2,,M2 — what controls SNR,"SNR is controlled by photon flux (source power, exposure time, number of projections) and sample attenuation."
Signal-to-Noise Ratio,XCT,4,D,M3,,"M3 — instruction: what to record, including the not-measured case","Record the measured value and the region used for measurement, or note if SNR was not formally measured."
Slice Thickness,"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves",Thickness of each FIB-milled slice during serial sectioning in nanometres.
Slice Thickness,"FIB,SEM",2,P,M2,,M2 — what slice thickness controls,Controls the Z-axis resolution of the 3D reconstruction.
Source-to-Detector Distance (SDD),XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=Advanced),'as registered by the procedure' asserts the procedure-level tier,"Distance from the X-ray source focal spot to the detector surface, in mm, as registered by the procedure."
Source-to-Detector Distance (SDD),XCT,2,P,M2,,M2 — what SDD determines together with SOD,"Together with SOD, determines geometric magnification M = SDD/SOD."
Source-to-Detector Distance (SDD),XCT,3,D,M3,,M3 — gives the voxel-size relation the magnification feeds,Voxel size ≈ detector pixel size / M (before binning; divide additionally by optical objective for Versa-class systems).
Source-to-Object Distance (SOD),XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=Advanced),'as registered by the procedure' asserts the procedure-level tier,"Distance from the X-ray source focal spot to the centre of the sample rotation axis, in mm, as registered by the procedure."
Source-to-Object Distance (SOD),XCT,2,P,M2,,M2 — what SOD determines together with SDD,"Together with SDD, determines geometric magnification (M = SDD/SOD)."
Source-to-Object Distance (SOD),XCT,3,P,M2,,M2 — how SOD trades against voxel size,Shorter SOD increases magnification and reduces voxel size.
Specimen Thickness Determination Method,TEM,1,D,M1,,"M1 — defining sentence, never moves",Method used to estimate TEM foil thickness.
Specimen Thickness Determination Method,TEM,2,P,M2,,"M2 — what the thickness determination is needed for; conditional/external requirement, real content under W3",Required for EELS quantification (log-ratio) and for assessing multiple-scattering severity.
Spectroscopic Detector(s),TEM,1,D,M1,,"M1 — defining sentence, never moves",Spectroscopic detectors present and used under this procedure.
Spectroscopic Detector(s),TEM,2,D,M3,,M3 — dependency: which Group 4 fields this field gates,EDS and EELS parameter fields in Group 4 apply only when the corresponding detector is listed here.
Stage Scan vs. Beam Scan,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Whether the X-ray map was acquired by moving the sample stage (stage scan) or by deflecting the electron beam (beam scan).
Stage Scan vs. Beam Scan,EPMA,2,P,M2,,M2 — geometric fidelity against speed,Stage scan preserves beam geometry and spot size across the full map but is slower; beam scan is faster but may introduce geometric distortion at large deflections.
Stage Scan vs. Beam Scan,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","For mapping modes, records whether the map was acquired by moving the stage while the beam is held fixed (stage scan) or by deflecting the beam across the field while the stage is stationary (beam scan)."
Stage Scan vs. Beam Scan,"SEM,SEMcomp",2,P,M2,,M2 — geometric fidelity against speed,Stage scan is preferred for large areas or high-accuracy geometric fidelity; beam scan is faster for smaller fields but may introduce geometric distortion at the map edges.
STEM Dwell Time per Pixel,TEM,1,D,M1,,"M1 — defining sentence, never moves",Time spent acquiring signal at each pixel during STEM scanning in milliseconds.
STEM Dwell Time per Pixel,TEM,2,D,M4,REWRITE-STRADDLE,SNR against dose (rationale) plus the instruction to minimise dwell and compensate with frame averaging,"Longer dwell improves signal-to-noise but increases total specimen dose; for dose-sensitive materials, minimize dwell and compensate with frame averaging."
STEM Dwell Time per Pixel,TEM,3,D,M3,,M3 — scope: also governs STEM-EDS and STEM-EELS,Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.
STEM Dwell Time per Pixel,TEM,4,D,M3,,M3 — cross-reference to the 4D-STEM field,For 4D-STEM dwell time see '4D-STEM Dwell Time per Probe Position'.
STEM Frame Averaging,TEM,1,D,M1,,"M1 — defining sentence, never moves",Number of frames averaged (with drift correction if applicable) to produce the final STEM image.
STEM Frame Averaging,TEM,2,P,M2,,M2 — what frame averaging achieves,Averaging reduces noise while limiting per-frame dose.
STEM Frame Averaging,TEM,3,D,M3,,M3 — scope: also governs STEM-EDS and STEM-EELS,Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.
STEM Probe Current,TEM,1,D,M1,,"M1 — defining sentence, never moves",Probe current in picoamperes (pA) or nanoamperes (nA).
STEM Probe Current,TEM,2,P,M2,,M2 — signal against beam damage,"Higher current improves EDS/EELS signal but increases beam damage risk, especially for organic matter and hydrous minerals."
STEM Probe Current,TEM,3,D,M3,,M3 — scope: also governs STEM-EDS and STEM-EELS,Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.
STEM Probe Diameter,TEM,1,D,M1,,"M1 — defining sentence, never moves","Nominal or measured diameter of the focused electron probe at the sample, reported in nm."
STEM Probe Diameter,TEM,2,P,M2,,M2 — what the probe diameter proxies,Serves as a direct spatial resolution proxy for STEM imaging and STEM-EDS/EELS analysis.
STEM Probe Diameter,TEM,3,D,M3,,M3 — scope boundary against Convergence Semi-Angle,"Related to, but distinct from, Convergence Semi-Angle: the two quantities are connected via aberration coefficients, defocus, and probe current, which are not always published."
STEM Probe Diameter,TEM,4,D,M3,,M3 — instruction: report whichever is known,"Report whichever is known; if both are known, report both fields."
STEM Probe Diameter,TEM,5,D,M3,,M3 — scope: also governs STEM-EDS and STEM-EELS,Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.
STEM Scan Dimensions,TEM,1,D,M1,,"M1 — defining sentence, never moves",Number of pixels in the STEM scan frame (X × Y pixels).
STEM Scan Dimensions,TEM,2,P,M2,,M2 — what the scan dimensions define with pixel size,"Combined with calibrated pixel size, defines the field of view."
STEM Scan Dimensions,TEM,3,D,M3,,M3 — scope: also governs STEM-EDS and STEM-EELS,Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.
Step Size / Pixel Size,EPMA,1,D,M1,,"M1 — defining sentence, never moves","Distance between adjacent measurement points in the X-ray map in micrometers, defining the spatial resolution."
Step Size / Pixel Size,EPMA,2,D,M3,,M3 — instruction: report X and Y separately if they differ,Report both X and Y step if they differ.
Step Size / Pixel Size,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Centre-to-centre distance between adjacent measurement points (WDS mapping) or pixels (EDS mapping) in µm.
Step Size / Pixel Size,"SEM,SEMcomp",2,P,M2,,M2 — what the step size defines and determines,"Defines the spatial sampling interval of the map and, together with the pixel-grid dimensions, determines the total mapped area."
Step Size / Pixel Size,"SEM,SEMcomp",3,P,M2,,M2 — spatial resolution against acquisition time,Smaller step sizes increase spatial resolution but extend acquisition time.
