Field,N_TAPPs,N_variants,Worst_similarity,Verdict,Basis,Owner,Variants
Accelerating Voltage,7,4,0.05,PRINCIPLED,"technique terms differ (ebsd, eds, wds, x-ray tube, xct) and non-technique content also differs (0.05–0.44)",TAPP-owned,"[Lab-XCT_v15] X-ray tube accelerating voltage in kilovolts (kV) registered by the procedure. Determines the maximum X-ray photon energy and controls penetration depth and phase contrast. Higher voltages provide greater penetration for dense or large samples; lower voltages improve contrast between low-density phases. If the voltage was varied across samples within the same procedure or session, report the full range applied (e.g., 90–115 kV). Note: some sources report this parameter as 'X keV' (maximum Bremsstrahlung photon energy) rather than 'X kV' (tube voltage). For polychromatic lab XCT, these are numerically equivalent: E_max [keV] = V [kV]. Record the value as originally reported, and add a parenthetical note if the unit used is keV. ||| [TEM_v15] Electron beam accelerating voltage in kilovolts (kV). For beam-sensitive materials (organic matter, phyllosilicates), 60–80 kV may be used to stay below the displacement threshold for C, N, O, and S. The procedure specifies the standard operating voltage; analysts record and justify deviations. Key parameter for the beam damage regime. ||| [SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Electron beam accelerating voltage in kilovolts. Affects X-ray generation depth (EDS/WDS), EBSD pattern quality, imaging resolution, and beam penetration. Low voltages (1-5 kV) improve surface sensitivity and reduce beam damage; high voltages (15-20 kV) improve X-ray generation for quantitative analysis. ||| [EPMA_v16] Electron beam accelerating voltage in kilovolts (kV). The procedure specifies the standard operating voltage; analysts record and justify any deviations."
Mass Bias Correction Strategy,7,2,0.06,PRINCIPLED,"technique terms differ (ablation, digestion, double-spike, icp-ms) and non-technique content also differs (0.15–0.15)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Primary strategy used to correct for instrumental isotopic mass fractionation. In solution MC-ICP-MS, instrumental mass bias is typically 3–5%/amu and must be corrected before isotope ratios can be interpreted geochemically. Four main strategies: (1) Sample-standard bracketing (SSB): alternating sample and isotopic standard measurements; bias interpolated linearly between bracketing measurements. (2) Double-spike: a mixture of two enriched isotopes of the analyte element added before digestion provides an internal monitor of both instrumental and chemical mass fractionation. (3) Internal normalization: an element of known isotopic composition added to samples and standards; measured ratio of normalizing element used to calculate the mass bias factor applied to analyte ratios. (4) SSB + internal normalization: both strategies applied simultaneously for redundant bias correction. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Strategy used to correct instrumental isotopic mass fractionation, also called mass bias or mass discrimination. Distinct from Elemental Fractionation Correction, which addresses inter-element fractionation during ablation and transport: this field addresses discrimination between isotopes of the same element, and applies wherever the procedure reports isotope ratios."
Instrument Model,6,3,0.44,PRINCIPLED,"technique terms differ (epma, fib, sem, stem, tem) and non-technique content also differs (0.29–1.00)",TAPP-owned,"[SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Model designation of the SEM or FIB-SEM instrument, including generation suffix if applicable. ||| [TEM_v15] Model designation of the TEM/STEM instrument, including generation suffix if applicable. ||| [EPMA_v16] Model of the EPMA instrument."
Collision/Reaction Cell (CRC) Configuration,6,4,0.15,PRINCIPLED,"technique terms differ (collector, icp-ms, mass bias, mass-bias, multi-collector) and non-technique content also differs (0.25–0.97)",TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10] Whether a collision or reaction cell is installed and its operating mode. In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide. In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences (larger collision cross-section) are selectively retarded by a cell exit barrier voltage. In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions. On ICP-MS/MS instruments (e.g., Agilent 8900), a second mass filter preceding the cell enables precursor-ion selection. Specific gas types, flow rates, and cell voltages are documented in Group 4. Record 'Not applicable' for SF-ICP-MS instruments, which lack collision/reaction cells. Record 'N/A' where the instrument is not fitted with a collision/reaction cell. ||| [LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14] Whether a collision or reaction cell is installed and its operating mode. In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide. In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences (larger collision cross-section) are selectively retarded by a cell exit barrier voltage. In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions. On ICP-MS/MS instruments (e.g., Agilent 8900), a second mass filter preceding the cell enables precursor-ion selection. Specific gas types, flow rates, and cell voltages are documented in Group 4. Record 'Not applicable' for SF-ICP-MS instruments, which lack collision/reaction cells. ||| [Solution_MC-ICP-MS_v14] Whether a collision or reaction cell is installed and its operating mode for this procedure. Most conventional multi-collector instruments have no cell — mass bias and isobaric interferences are handled entirely by chemical separation and mass-bias correction (record 'Not installed'). A small number of modern MC-ICP-MS instruments (e.g., Nu Instruments Sapphire, Thermo Scientific Neoma MS/MS) add a hexapole collision/reaction cell upstream of the collector array, operated in STD/KED/DRC modes analogous to quadrupole ICP-MS/MS instruments, to suppress polyatomic and isobaric interferences before simultaneous multi-collection. Specific gas types, flow rates, and voltages are documented in Group 4. ||| [Solution_Q-ICP-MS_v16] Whether a collision or reaction cell is installed and its operating mode for this procedure. STD = standard mode with no cell gas; KED = kinetic energy discrimination with He or H2 collision gas to suppress polyatomic interferences; DRC = dynamic reaction cell with reactive gas (e.g., NH3). Specific gas types, flow rates, and voltages are documented in Group 4."
Collision Gas Type,6,4,0.17,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.23–0.88),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10] Type of collision gas introduced into the collision/reaction cell in KED mode. Helium (He) is the standard collision gas for kinetic energy discrimination due to its low mass and chemical inertness. Record 'None' if the CRC is in STD mode or not installed. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED. ||| [Solution_MC-ICP-MS_v14] Type of collision gas used in KED mode for polyatomic interference suppression, on collision/reaction-cell-equipped MC-ICP-MS instruments (e.g., Nu Sapphire, Thermo Neoma MS/MS). Record 'N/A' if the instrument has no cell or KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED. ||| [LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14] Type of collision gas introduced into the collision/reaction cell in KED mode. Helium (He) is the standard collision gas for kinetic energy discrimination due to its low mass and chemical inertness. Record 'None' if the CRC is in STD mode or not installed. ||| [Solution_Q-ICP-MS_v16] Type of collision gas used in KED mode for polyatomic interference suppression. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED."
Collision Gas Flow Rate,6,4,0.20,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.29–0.86),TAPP-owned,"[Solution_MC-ICP-MS_v14] Flow rate of the collision gas in KED mode (mL/min), on collision/reaction-cell-equipped MC-ICP-MS instruments. Higher flow rates provide greater interference suppression at the cost of analyte sensitivity. Record 'N/A' if the instrument has no cell or KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10] Flow rate of the collision gas (typically He) introduced into the collision/reaction cell, in mL/min. Controls the degree of ion thermalization and KED efficiency. Record 'None' if the CRC is in STD mode. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED. ||| [Solution_Q-ICP-MS_v16] Flow rate of the collision gas in KED mode (mL/min). Higher flow rates provide greater interference suppression at the cost of analyte sensitivity. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED. ||| [LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14] Flow rate of the collision gas (typically He) introduced into the collision/reaction cell, in mL/min. Controls the degree of ion thermalization and KED efficiency. Record 'None' if the CRC is in STD mode."
Cell Exit Discrimination Voltage,6,4,0.13,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.24–0.90),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10] Bias voltage applied at the collision/reaction cell exit to discriminate between analyte ions and low-energy polyatomic interferences in KED mode, in volts (V). A negative bias preferentially retards slow polyatomic ions while transmitting faster analyte ions. Record 'None' if the CRC is in STD mode. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED. ||| [Solution_MC-ICP-MS_v14] Kinetic energy discrimination offset voltage applied at the exit of the collision cell (V), on collision/reaction-cell-equipped MC-ICP-MS instruments. Controls the degree of polyatomic ion suppression. Record 'N/A' if the instrument has no cell or KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED. ||| [LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14] Bias voltage applied at the collision/reaction cell exit to discriminate between analyte ions and low-energy polyatomic interferences in KED mode, in volts (V). A negative bias preferentially retards slow polyatomic ions while transmitting faster analyte ions. Record 'None' if the CRC is in STD mode. ||| [Solution_Q-ICP-MS_v16] Kinetic energy discrimination offset voltage applied at the exit of the collision cell (V). Controls the degree of polyatomic ion suppression. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED."
Reaction Gas Type,6,4,0.24,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.37–0.83),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10] Type of reactive gas introduced into the dynamic reaction cell (DRC) for interference removal through ion-molecule reactions. Common reaction gases include NH₃ (e.g., for Fe, Ca, K isotopes) and O₂ (e.g., for As, Ge). Record 'None' if DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC. ||| [Solution_MC-ICP-MS_v14] Type of reactive gas introduced into the dynamic reaction cell (e.g., NH3, O2, CH4), on collision/reaction-cell-equipped MC-ICP-MS instruments. Record 'N/A' if the instrument has no cell or DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC. ||| [LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14] Type of reactive gas introduced into the dynamic reaction cell (DRC) for interference removal through ion-molecule reactions. Common reaction gases include NH₃ (e.g., for Fe, Ca, K isotopes) and O₂ (e.g., for As, Ge). Record 'None' if DRC mode is not used. ||| [Solution_Q-ICP-MS_v16] Type of reactive gas introduced into the dynamic reaction cell (e.g., NH3, O2, CH4). Record 'N/A' if DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC."
Reaction Gas Flow Rate,6,4,0.20,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.35–0.76),TAPP-owned,"[Solution_MC-ICP-MS_v14] Flow rate of the reaction gas in DRC mode (mL/min), on collision/reaction-cell-equipped MC-ICP-MS instruments. Record 'N/A' if the instrument has no cell or DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10] Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC), in mL/min. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC. ||| [Solution_Q-ICP-MS_v16] Flow rate of the reaction gas in DRC mode (mL/min). Record 'N/A' if DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC. ||| [LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14] Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC), in mL/min."
Pulse/Analog Detector Nonlinearity Correction,6,3,0.34,PRINCIPLED,"technique terms differ (cup, faraday, icp-ms, sem) and non-technique content also differs (0.32–0.37)",TAPP-owned,"[Solution_SF-ICP-MS_v16] Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog (and Faraday, for triple-mode instruments) detection modes. For SF-ICP-MS instruments, the signal transitions between pulse counting (low concentrations) and analog detection (high concentrations). For triple-mode instruments (e.g., Thermo Element XR), an additional transition to Faraday cup detection occurs at the highest signal intensities. Cross-calibration factors between detector modes must be confirmed, typically measured each session. ||| [Solution_Q-ICP-MS_v16] Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog detection modes. For Q-ICP-MS instruments with dual-mode SEM detectors, a cross-calibration factor is measured and applied at the pulse-to-analog crossover threshold. Accurate cross-calibration is critical for analytes spanning a wide concentration range in the same session. ||| [LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Whether a correction was applied for nonlinear response at the transition between pulse-counting and analog detector modes."
Beam Current,5,2,0.04,PRINCIPLED,"technique terms differ (cl, ebsd, eds, wds) and non-technique content also differs (0.08–0.08)",TAPP-owned,"[SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Electron beam probe current. Higher current improves signal-to-noise for X-ray analysis (EDS/WDS, EBSD) and CL but may increase beam damage and reduce spatial resolution. Express in nA; for sub-nA values use decimal notation (e.g., 0.4 nA). ||| [EPMA_v16] Probe current in nanoamperes (nA). Often varies by phase type or analyte; record the procedure-standard value(s)."
EDS Live Time per Point or Pixel,4,3,0.37,PRINCIPLED,"technique terms differ (epma, sem, tem) and non-technique content also differs (0.17–0.44)",TAPP-owned,"[EPMA_v16] EDS spectral acquisition live time per analysis point in seconds. Previously referred to as ""EDS Acquisition Time"" in this TAPP and commonly used under that name in EPMA and SEM-EDS contexts. Renamed to align with TEM-EDS usage, where the per-point vs. per-pixel distinction (point/line mode vs. spectrum image) is explicit. In EPMA, acquisition is always per point. ||| [TEM_v15] EDS spectral acquisition live time per analysis point (point/line mode) or per pixel (spectrum image) in seconds. Also referred to as ""EDS Acquisition Time"" in EPMA and some SEM-EDS contexts, where the per-pixel distinction is less relevant. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s). ||| [SEM_Composition_v13,SEM_v13] EDS spectral acquisition live time per analysis point or per pixel in seconds. Longer live time improves counting statistics but increases beam damage risk and total acquisition time."
Beam Diameter,3,2,0.09,PRINCIPLED,technique terms differ (aperture) and non-technique content also differs (0.10–0.10),TAPP-owned,"[SEM_Composition_v13,SEM_v13] Nominal electron beam diameter (spot size) at the sample surface, in nanometres or micrometres, as set by the condenser aperture and working distance. Controls the spatial resolution and X-ray excitation volume. For mapping modes, the effective spatial sampling interval is further defined by Step Size / Pixel Size. ||| [EPMA_v16] Diameter of the electron beam in micrometers. 0 indicates a fully focused beam. Document defocused diameter when used to minimize beam damage or improve spatial averaging for beam-sensitive phases."
Beam Damage Minimization,3,2,0.17,PRINCIPLED,technique terms differ (cl) and non-technique content also differs (0.19–0.19),TAPP-owned,"[SEM_Composition_v13,SEM_v13] Describes any measures taken to reduce electron beam damage to the sample during analysis. Examples: reduced accelerating voltage, lowered beam current, defocused or rastered beam, cooled stage, short acquisition sequences, or rotating between multiple points. Particularly important for volatile-bearing phases, hydrous minerals, glasses, organic materials, and biological samples. ||| [EPMA_v16] Measures taken to minimize beam damage, particularly volatilization or migration of Na, K, F, and Cl in hydrous minerals, glasses, feldspars, phosphates, and carbonates. Document approach, beam conditions used, and phases for which it was applied."
Drift Correction,3,2,0.04,PRINCIPLED,technique terms differ (spectrometer) and non-technique content also differs (0.09–0.09),TAPP-owned,"[SEM_Composition_v13,SEM_v13] Describes whether and how stage or beam drift was monitored and corrected during the measurement session. Examples: periodic stage realignment to a fiducial marker, automated beam drift correction in acquisition software, or reanalysis of a reference point at regular intervals. Particularly relevant for long mapping runs and high-magnification sessions where positional accuracy affects data quality. ||| [EPMA_v16] Method used to monitor and correct for instrument drift (beam current drift, spectrometer drift) during the analytical session."
Step Size / Pixel Size,3,2,0.03,PRINCIPLED,"technique terms differ (eds, wds) and non-technique content also differs (0.24–0.24)",TAPP-owned,"[SEM_Composition_v13,SEM_v13] Centre-to-centre distance between adjacent measurement points (WDS mapping) or pixels (EDS mapping) in µm. Defines the spatial sampling interval of the map and, together with Map Dimensions, determines the total mapped area. Smaller step sizes increase spatial resolution but extend acquisition time. ||| [EPMA_v16] Distance between adjacent measurement points in the X-ray map in micrometers, defining the spatial resolution. Report both X and Y step if they differ."
Instrument Make and Model,3,3,0.34,PRINCIPLED,"technique terms differ (collector, quadrupole, sector-field) and non-technique content also differs (0.26–0.56)",TAPP-owned,"[Solution_Q-ICP-MS_v16] Manufacturer and model name of the quadrupole ICP-MS instrument (e.g., Thermo iCAP RQ, Agilent 7900, PerkinElmer NexION 350D). Determines instrument-specific tuning parameters and available cell configurations. ||| [Solution_SF-ICP-MS_v16] Manufacturer and model name of the sector-field ICP-MS instrument (e.g., Thermo Element 2, Thermo Element XR, Nu Instruments Attom HR). Determines available mass resolution modes and detector configuration. ||| [Solution_MC-ICP-MS_v14] Manufacturer and model name of the MC-ICP-MS instrument. Determines the collector array geometry, available mass resolution modes, and detector complement."
Phase Identification Method,2,2,0.33,PRINCIPLED,"technique terms differ (4d-stem, ct, diffraction) and non-technique content also differs (0.06–0.06)",TAPP-owned,"[Lab-XCT_v15] Method used to assign reconstructed CT number ranges to specific mineral phases or material types. Approaches include comparison to calculated linear attenuation coefficients (LAC), cross-validation with independent analytical techniques, or empirical calibration. ||| [TEM_v15] Method used to identify crystalline phases from electron diffraction patterns or d-spacings, whether from SAED patterns, spot diffraction, or diffraction data extracted from 4D-STEM datasets."
