"Metadata Item","Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
"Internal Standard Approach","[CHANGED from: No conventional internal standard; Fe+Ni+Co sum normalization to 100% (for most irons) — external calibration using iron meteorite standards; elemental fractionation corrected by multi-point external calibration] N (paper only states ""Standardization techniques followed those of Humayun (2012)""; the specific normalization approach is not described in this paper)","Sum-of-major-oxide normalization: MgO+FeO+SiO₂+P₂O₅ = 100 wt% per pixel (Liu et al. 2008 approach; no EPMA required for IS)","Run 1 (major elements): sum-of-oxide normalization (MgO+FeO+SiO₂+P₂O₅=100 wt%; Liu et al. 2008); Run 2 (trace elements): single element IS from Run 1 (⁵³Cr concentration from major element run used as IS for trace element run)","Sum-of-major-oxide normalization to 100 wt% (Liu et al. 2008; Appendix C3)","Sum normalization of all element oxide mass fractions to 100%; multi-point external calibration against natural glass GRMs","100% oxide sum normalization of 7 MEs (NaO, MgO, Al₂O₃, SiO₂, CaO, TiO₂, FeO) + Cl⁻; depth correction for ablation volume differences using LEICA DVM5000 digital microscope measurements","[CHANGED from: Single element from EPMA: ²⁵Mg (SiO₂ from EPMA used as indexing element for quantification; preferred values from GeoReM)] Single element from EPMA: ²⁵Mg; the EMPA data used as the standardizing values","Single element externally measured by EPMA: ⁶¹Ni concentration from EPMA at exact analysis location used as IS","Fe+Ni+Co sum normalization to 100% using iolite 3D Trace Elements DRS (eliminates need for independent EPMA IS)","Fe+Ni+Co sum normalization to 100% (same DRS as spot protocol; mandatory for multi-phase mapping without prior IS knowledge)","No conventional IS; external calibration only (Rb/Sr elemental fractionation corrected by series of reference glasses; 87Sr/86Sr mass bias corrected by exponential law using 88Sr/86Sr = 8.37521)","Two internal standards: Si from XRF SiO₂ (for Co, Ni, Cu, Zn); Al from XRF Al₂O₃ (for all other trace elements); non-matrix-matched external standards (NIST 612 + 614) used; fs laser minimizes matrix effects","Single element from EMP: Si (SiO₂ from EMP for silicate glass); NIST 610 as external standard","Single element from EMP: Fe (FeOT from EMP for sulfide); NIST 610 as external standard","Normalization to 100 wt% oxide total (for silicates and oxides) [P4]","Single element IS: EMP CaO concentration used; LA-ICP-MS 40Ca counts normalized to CaO from EMP analysis at the same spot [P4]"
"Internal Standard Element","[CHANGED from: No single IS; Fe+Ni+Co=100% sum normalization (equivalent to virtual IS)] N (paper only states ""followed Humayun 2012""; no IS element named)","No single IS element; oxide sum normalization (MgO+FeO+SiO₂+P₂O₅) used as virtual IS per pixel","Run 1: No single IS; oxide sum normalization; Run 2: ⁵³Cr (concentration from Run 1 major-element analysis on 30 µm spot used as IS for 130 µm spot trace element run)","No single IS; oxide sum normalization to 100 wt%","No single IS element; full 100% oxide sum normalization across all detected elements; gas blank included in regression (forced through zero)","No single IS; 100% oxide sum normalization (7 MEs + Cl) with volume correction (depth measured by digital microscope for each material type)","[CHANGED from: ²⁵Mg; MgO wt% from EPMA used as standardizing value (indexing element)] ²⁵Mg (indexing element; Mg concentration from EMPA)","⁶¹Ni; concentration from EPMA measured at exact analysis spot location","No single IS; Fe+Ni+Co mass fractions normalized to 100% via iolite 3D DRS (yield correction factors applied for NIST SRM 612 relative to North Chile)","No single IS; Fe+Ni+Co=100% normalization (same as spot protocol)","No conventional IS; ⁸⁵Rb used to calculate ⁸⁷Rb/⁸⁶Sr via 87Rb/85Rb; external calibration for Rb/Sr elemental fractionation using reference glasses","Si (SiO₂ from XRF) for Co, Ni, Cu, Zn; Al (Al₂O₃ from XRF) for all other 28 trace elements","Si from EMP (SiO₂ wt% for silicate glass)","Fe from EMP (FeOT wt% for sulfide)","None (oxide sum normalization, 100 wt% total) [P4]","40Ca; CaO wt% from EMP at the analysis spot [P4]"
"Elemental Fractionation Correction","Multi-point external calibration using series of iron meteorite reference materials (North Chile Filomena as primary standard for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba for Ru/Rh/Pd/Re/Os/Ir/Pt; NIST SRM 1263a V-Cr steel for V/Cr/Fe/Co/Ni/Cu/As/Mo/W/Au)","Internal normalization to MgO+FeO+SiO₂+P₂O₅ oxide sum corrects for point-to-point ablation yield variation; additional pixel-by-pixel normalization fixes oxide sum to 100 wt%","Run 1: Oxide sum normalization corrects for ablation yield variation; external calibration using glass GRMs (NIST + USGS + MPI-DING); Run 2: Cr from run 1 as IS corrects for ablation yield; external calibration with expanded glass GRM set","Oxide sum normalization to 100 wt% corrects for ablation yield and matrix effects; external calibration with MPI-DING and USGS glass GRMs","Oxide sum normalization corrects for ablation yield variation; multi-point external calibration (gas blank regression forced through zero); synthetic glasses (GSE-1G, GSD-1G) not used for trace element calibration due to anomalous concentrations","Femtosecond laser substantially reduces elemental fractionation (non-thermal ablation); depth-of-ablation correction for differences in drilling rate between glass standards and silicate minerals (4–12 µm depth measured by digital microscope)","External calibration using BCR-2g, BHVO-2g, BIR-1g; ²⁵Mg IS from EPMA corrects for ablation yield variation; no explicit downhole fractionation correction described","External calibration using calibration curve method with IVB iron meteorite standards; ⁶¹Ni as IS from EPMA corrects for ablation yield differences between sample and standard","External calibration using North Chile iron meteorite + NIST SRM 612 glass (yield correction applied in iolite 3D DRS for NIST relative to North Chile); ordinary least-squares fitting per 15 min calibration block; Fe+Ni+Co normalization eliminates need for independent EPMA IS","Same calibration approach as spot protocol (iolite 3D DRS; same yield correction)","Femtosecond laser substantially reduces elemental fractionation; no explicit downhole correction; Rb/Sr elemental fractionation corrected externally by analyzing series of reference glasses; exponential law for Sr isotope mass bias (88Sr/86Sr = 8.37521)","Femtosecond laser substantially reduces elemental fractionation and matrix effects (stated); non-matrix-matched external standards (NIST 612 + 614) used successfully with fs laser (verified by GRM accuracy assessment)","Femtosecond laser reduces LIEF; NIST 610 external standard; Si IS from EMP corrects for ablation yield","Femtosecond laser reduces LIEF; NIST 610 external standard; Fe IS from EMP corrects for ablation yield; micronuggets identified from Au signal spikes and excluded from integration","External calibration using NIST 610 glass standard analyzed before and after session; oxide-sum normalization corrects for ablation yield variation; no explicit downhole fractionation correction described [P4]","External calibration using NIST 610; EMP CaO as IS corrects for ablation yield; no explicit downhole correction described [P4]"
"Uncertainty Propagation Method","Standard deviation (SD) across individual integration cycles of raster scans; uncertainty propagation not formally described","Longerich et al. (1996) equation (3SD/S × √(1/Nb + 1/Na))","Longerich et al. (1996) for LOD; uncertainty for concentrations not formally described","Longerich et al. (1996) for LOD; uncertainty not formally described","Pettke et al. (2012) equation for LoDs; intermediate precision assessed from repeated GRM mapping over 1 year","Theoretical 1σ analytical precision from counting statistics; dominated by counting statistics for REEs near detection limits","N","2SE of individual spot measurements reported","N (iolite 4 computes uncertainty internally via Longerich et al. 1996)","N (same as spot protocol)","Standard error (SE = SD/√n) for repeatability within individual runs; assessed separately for 87Sr/86Sr and 87Rb/86Sr using signal intensity regression","N (Iolite 4 internal uncertainty propagation implied)","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Matrix Offset Correction (LIEF)","N (no matrix offset correction; iron meteorite standards used to minimize matrix mismatch)","N (oxide sum normalization approach is inherently matrix-independent within olivine composition range)","N","N","N (natural rock glass GRMs used; no separate matrix offset correction)","N (depth correction applied but this corrects for ablation rate differences, not LIEF per se; fs laser minimizes fractionation)","N","N (fs laser minimizes LIEF; IVB iron meteorite standards used as matrix-matched reference)","N (yield correction in iolite DRS addresses relative sensitivity differences between NIST SRM 612 and North Chile)","N (same as spot protocol)","N (fs laser minimizes LIEF)","N (fs laser minimizes matrix effects)","N (fs laser)","N (fs laser)","N (not stated; agreement within <10% between oxide-sum normalization and EMP-based IS noted as validation) [P4]","N (not stated) [P4]"
"Signal Integration Interval Method","N (raster averages; selection method not described)","Manual visual inspection of time-resolved signal per line; anomalous spikes (inclusions, cracks, veinlets) excluded; P-rich veinlet regions identified and excluded from olivine averages","Time-resolved signals inspected manually; unstable intervals at start and end discarded; Cr heterogeneities and inclusion signals (elevated P, Ca, Co, Ni) identified and excluded from integration","Anomalous time steps excluded (inclusions, cracks, heterogeneity); manual inspection","VOI (Volume of Interest) selection using k-means clustering algorithm in HDIP software, or manual selection; each VOI corresponds to a distinct mineral phase or compositional region of the micrometeorite","Manual selection of analytical points restricted to target minerals based on ME distribution maps; points from adjacent minerals excluded; averaging over ≥10 pixels for minerals >40×40 µm²","Time steps with enhanced P, Ca, Co, Ni, Zn count rates (indicating inclusions or cracks) excluded from integration; manual inspection","Time-resolved signals monitored; analyses with elevated Mg, Si, P, S (inclusion indicators) excluded; stable signal intervals used for integration","Time-resolved LA-ICP-MS signals inspected per analysis; background interval (20 s) and ablation interval (40 s) selected; no automated spike exclusion described","Same procedure as spot protocol; signal integration for mapping not separately described","Regions of integration for gas background and sample signal selected first; cycles at beginning and end of ablation discarded; for heterogeneous minerals (unstable 87Rb/86Sr): SUIA (Smallest Unit Isochron Age) data reduction strategy applied per cycle","Time-resolved signals inspected visually; flux blank contributions to pollution elements (V, Co, Zn, Ba, La, Ce, Ta, U) identified and subtracted; 9-spot grid homogeneity tested before analysis","Time-resolved LA-ICP-MS signal inspected; micronuggets identified from spikes in Au signal and excluded from integration to obtain smooth signals (verified by Fig. 1 in paper)","Same approach as glass; micronugget identification from Au signal spikes critical for sulfide analyses","Time-lapse plots of each spot examined; only the plateau region used to quantify trace element abundances [P4]","Time-lapse plots examined; only plateau region used (same as silicate protocol) [P4]"
"Signal Integration Time","N/A (mapping) / ~20 s (Ge spots: 20 s ablation at 50 Hz)","N/A (mapping)","Run 1: ~50 s (34 runs covering 400 µm line + 10 s blank + washout); Run 2: same structure; actual integrated signal window within run not separately stated","20 s (spot ablation time; full ablation interval used for integration after exclusion of anomalous steps)","N/A (mapping)","N/A (mapping)","N (parameters lost)","N","40 s (full ablation interval used; background subtracted separately)","N/A (mapping)","60–70 cycles × 0.524 s ≈ 31–37 s (final integrated signal window after discarding beginning and end cycles from 90 acquired cycles)","45 s on-sample ablation (full ablation interval used for integration)","~40 s (inferred from typical CetacAnalyte HE protocol; stable signal used)","~40 s (same)","N (not stated) [P4]","N (not stated) [P4]"
"Spike / Outlier Filtering Approach","N (raster scans; ""failed to yield useful Ge abundances"" for Klamath Falls noted — implying visual quality control)","Manual identification and exclusion of P-rich veinlet pixels from olivine averages; anomalous spikes from inclusions excluded per line","Manual inspection; analyses with elevated P, Ca, Co, Ni (phosphate or metal inclusions) excluded; Cr heterogeneities also flagged","Anomalous time steps excluded during manual inspection","k-means clustering in HDIP software for automated phase segmentation; mixed-phase edge pixels and epoxy pixels identified by threshold and excluded","Manual selection of integration pixels; cross-contamination between adjacent minerals minimized by selecting points restricted to single mineral based on ME distribution","Time steps with enhanced P, Ca, Co, Ni, Zn excluded (inclusions and heterogeneities); Grubb's test applied to EPMA data for outlier detection","Monitoring of Mg, Si, P, S to check for micro-inclusions (sulfides); analyses with elevated inclusion signals excluded entirely","N (no explicit spike filtering described beyond background subtraction)","N (mapping; iolite 3D DRS handles background; no per-pixel spike filtering described)","Cycles with 87Rb/86Sr >1 deleted (invalid Rb interference correction); cycles with 88Sr signal <0.2 V discarded (poor precision); SUIA method applied to heterogeneous minerals","Homogeneity index (H) applied to test element distribution; Co, Ni, Cu in high-Si glass (GSR-1) identified as near-LOD and flagged; flux blank contributions to pollution elements subtracted","Micronuggets identified from Au signal spikes in time-resolved spectra; excluded from integration (smooth signals = fully dissolved Au; Fig. 1 shows this criterion)","Same approach as glass; Au spike identification critical for determining solubility vs. nugget contribution","N (not explicitly stated; implied by plateau-region selection excluding non-stable intervals) [P4]","N (same as silicate protocol) [P4]"
"Blank / Background Correction Method","Gas blank measured before each raster analysis; mean background subtracted","Gas blank measured before each ablation line (10 scans of gas blank per mapping line); average background subtracted from each corresponding ablation line","Gas blank measured before each analysis (5 scans); average background value preceding each analysis subtracted from corresponding data","Gas blank measured before each spot analysis (8 scans); average background subtracted","Gas blank map (10 adjacent lines, laser shutter closed) acquired for each GRM at session start and after each set of samples; mean background subtracted","Background measured before each line scan area; washout time (~3 s) used to define start of new ablation period","Gas blank measured before each analysis (laser shutter closed); time steps with background-level signals excluded during data reduction","Gas blank measured before each spot; background period during single spot transient (rapid intensity rise and decay) used for background correction","Background signal measured for 20 s (laser shutter closed) before each 40 s ablation; background mean subtracted per isotope in iolite","Background (1 min) measured at session start; additional 3 measurements of NIST and North Chile used for calibration (background included in regression line for gas blank)","First 30 cycles (no laser ablation) used for background collection; background Kr⁺ signals removed by correction; no additional Kr peak stripping applied","Gas blank measured for 25 s before each ablation; background subtracted per isotope","N (background subtraction performed but method not explicitly described; implied from standard Agilent/iolite workflow)","N (same as glass protocol)","50 s background measurement before each analysis; background subtracted (method not explicitly described beyond counting duration) [P4]","50 s background measurement before each analysis (same as silicate protocol) [P4]"
"Pulse/Analog Detector Nonlinearity Correction","Applied: triple mode detection at 65% duty cycle (pulse counting + analog + Faraday); specific cross-calibration not described","Applied: triple mode detection; cross-calibration between pulse-counting and analog modes performed","Applied: Run 1 medium resolution with Faraday for major elements; Run 2 low resolution; cross-calibration performed","Applied: triple mode detection","N/A — ToF detector; MCP with simultaneous detection; notch filter for Ar-based ions prevents detector saturation","N/A (quadrupole with SEM; single detection mode)","N (parameters lost)","N (quadrupole X-series 2; single detector mode)","Applied: triple mode detector (pulse counting, analog, Faraday); low relative abundance isotopes chosen for Ni and Fe to allow analog mode measurement of major matrix elements","Applied (same as spot)","N/A (MC-ICP-MS; Faraday cups and electron multiplier ICs; no pulse/analog transition)","Applied: dual detector mode (30 ms / 10 ms dwell alternation)","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Isobaric Interference Corrections Applied","Yes — ⁹⁹Ru used instead of ¹⁰¹Ru to avoid ⁴⁰Ar⁶¹Ni⁺ interference; isotope selection minimizes other interferences","Yes — cool plasma conditions (800 W) applied to reduce argide-based interferences (³⁶Ar²⁴Mg⁺ on ⁶⁰Ni; ⁴⁰Ar³¹P⁺ on ⁷¹Ga); oxide-based interferences minimized by dry plasma and tuning; mathematical corrections in some cases (Table C1)","Yes — cool plasma not applicable (normal plasma); argide corrections less critical; oxide interferences monitored; spectral interference list in Table C1","Yes — same instrument settings; interference corrections as per Table C1","Yes — notch filter quadrupole attenuates ³⁶Ar⁺, ⁴⁰Ar⁺, ⁴⁰ArH⁺, ⁴⁰Ar⁴⁰Ar⁺ to avoid detector saturation","Yes — KED (kinetic energy discrimination) mode with He collision gas (4 ml min⁻¹) suppresses polyatomic ion interferences","N (parameters lost; medium resolution mode implies interference resolution by mass)","No explicit corrections applied; monitoring of Mg, Si, P, S used to detect and exclude inclusion-contaminated analyses rather than correct for spectral interferences","Yes — isotope selection to minimize interferences (e.g., ⁹⁹Ru instead of ¹⁰¹Ru to avoid ⁴⁰Ar⁶¹Ni⁺; low abundance isotopes for Fe and Ni)","Yes (same as spot protocol)","Yes — correction for doubly charged ions: ¹⁶⁸Er²⁺ on ⁸⁴Sr; ¹⁷⁰Er²⁺ and ¹⁷⁰Yb²⁺ on ⁸⁵Rb; ¹⁷²Yb²⁺ on ⁸⁶Sr; ¹⁷⁴Yb²⁺ on ⁸⁷Sr; ⁸⁷Rb isobaric on ⁸⁷Sr (corrected using 85Rb signal and exponential law)","Yes — fs laser substantially reduces oxide and matrix interferences; flux blank contributions to V, Co, Zn, Ba, La, Ce, Ta, U identified and subtracted","Yes (fs laser reduces interferences)","Yes (fs laser reduces interferences)","N (not stated) [P4]","N (not stated) [P4]"
"Interfering Species","⁴⁰Ar⁶¹Ni⁺ on ¹⁰¹Ru (most abundant Ru isotope → use ⁹⁹Ru instead)","Per Table C1: ¹²C¹³C⁺ on ²⁵Mg; ¹⁵N¹⁶O⁺ on ³¹P; ²⁹Si¹⁶O⁺ on ⁴⁵Sc; ³⁵Cl¹⁶O⁺ on ⁵¹V; ⁴⁰Ar¹³C⁺ on ⁵³Cr; ⁴⁰Ar¹⁵N⁺ on ⁵⁵Mn; ⁴⁰Ar¹⁶OH⁺ on ⁵⁷Fe; ⁴⁴Ca¹⁶O⁺ and ²⁴Mg³⁶Ar⁺ on ⁶⁰Ni; ³¹P⁴⁰Ar⁺ and ⁵⁵Mn¹⁶O⁺ on ⁷¹Ga; ¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu (most significant interferences in bold)","Same interference list as mapping (Table C1); argide-based interferences less critical without cool plasma","Same interference list (Table C1)","³⁶Ar⁺, ⁴⁰Ar⁺, ⁴⁰ArH⁺, ⁴⁰Ar⁴⁰Ar⁺ (attenuated by notch-filter quadrupole)","Polyatomic ions (oxide ions ThO⁺/Th⁺ as proxy); argide ions suppressed by KED; no specific element-by-element list given","N (parameters lost; medium resolution resolves most polyatomic interferences)","Sulfide inclusions detectable via ³³S signal; phosphide inclusions via ³¹P; silicate inclusions via ²⁴Mg, ²⁹Si (used to exclude contaminated analyses)","⁴⁰Ar⁶¹Ni⁺ on ¹⁰¹Ru (primary concern) → ⁹⁹Ru used instead; Fe and Ni matrix species on other isotopes minimized by isotope selection","Same as spot protocol","¹⁶⁸Er²⁺ on ⁸⁴Sr; ¹⁷⁰Er²⁺ + ¹⁷⁰Yb²⁺ on ⁸⁵Rb; ¹⁷²Yb²⁺ on ⁸⁶Sr; ¹⁷⁴Yb²⁺ on ⁸⁷Sr; ⁸⁷Rb on ⁸⁷Sr (isobaric)","Li₂B₄O₇ flux blank contains V, Co, Zn, Ba, La, Ce, Ta, U at detectable levels; subtracted as blank contribution","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Interference Correction Method","Isotope selection: ⁹⁹Ru chosen over ¹⁰¹Ru; other isotopes chosen to minimize interference","Physical mitigation: cool plasma (800 W RF) reduces ³⁶Ar²⁴Mg⁺ on ⁶⁰Ni, ⁴⁰Ar³¹P⁺ on ⁷¹Ga by >90%; oxide interferences minimized by dry plasma conditions; background subtraction corrects for time-invariant Ar-based interferences; mathematical corrections applied where feasible per Appendix C4","Argide corrections less critical (normal plasma); oxide-based interferences minimized by tuning; same interference list but without cool plasma mitigation","Same approach as mapping; oxide sum normalization partially corrects for matrix-dependent interferences","Physical attenuation: notch-filter quadrupole removes Ar-based ions (³⁶Ar⁺, ⁴⁰Ar⁺, ⁴⁰ArH⁺, ⁴⁰Ar⁴⁰Ar⁺) before detector to prevent saturation","KED mode with He collision gas (4 ml min⁻¹): interfering polyatomic ions lose kinetic energy through collisions with He and are rejected by retarding potential; He flow optimized to suppress interferences while maintaining REE ion transmission; oxide production monitored by ThO⁺/Th⁺ <1%","Medium mass resolution (M/ΔM ≈ 4000) separates many polyatomic interferences from analyte peaks (e.g., resolves ⁵⁴Fe⁺ from ⁵⁴Cr⁺)","Exclusion-based approach: analyses with elevated Mg, Si, P, S (from silicate, phosphate, or sulfide inclusions) excluded entirely rather than applying mathematical corrections","Isotope selection minimizes interferences; low-abundance isotopes of Fe and Ni chosen for analog mode to prevent detector saturation","Same isotope selection as spot protocol","Sequential interference correction: (a) doubly charged Er and Yb corrections on Sr masses using measured 167Er²⁺ and 173Yb²⁺ signals and natural isotope ratios; (b) 87Rb isobaric correction on 87Sr using measured 85Rb signal and user-specified 87Rb/85Rb calculated from exponential law for mass bias","Flux blank subtraction: blank contribution to each pollution element (V, Co, Zn, Ba, La, Ce, Ta, U) measured in procedure blanks and subtracted; LOQ for pollution elements = blank value + 10SD","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Memory Effect Mitigation","N (washout time between analyses not stated; sequential raster scans)","Gas blank measured before each ablation line; adequate washout ensured by duty cycle timing","Washout time: 11 s between runs (runs include 400 µm line + blank + washout)","10 s washout time after 20 s spot ablation (specified in acquisition protocol)","Low-dispersion tube-type cell + ARIS provides very short aerosol pulse response (<1 ms at 1% baseline); delay between laser trigger and aerosol arrival tuned daily; effectively eliminates inter-pixel memory in mapping","Washout time approximately 3 s (defined as time for REE signal to decrease by two orders of magnitude after ablation of NIST SRM 612); scan speed (2 µm s⁻¹) ensures laser moves only 6 µm during washout — less than 10 µm spot diameter","N (parameters lost)","N (single spot analyses; no sequential memory effect described)","N (washout between analyses not explicitly described; sequential spot analyses)","N (mapping; ARIS-equivalent not described; single mapping session)","N (no memory effect mitigation described; line scan mode with no return to same location)","25 s washout between analyses (25 s gas blank → 45 s ablation → 25 s washout)","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Normalization / Standards-Based Correction","External calibration with iron meteorite and NIST SRM 1263a V-Cr steel standards; no post-acquisition normalization described","100% oxide sum normalization (MgO+FeO+SiO₂+P₂O₅) applied per pixel after IS-normalized external calibration (equations 3–4 in Appendix C1) to fix final mass balance","Run 1: 100% oxide sum normalization; Run 2: Cr IS from Run 1 applied; no further post-acquisition normalization","100% oxide sum normalization to 100 wt% for phosphate minerals (Appendix C3)","100% oxide sum normalization of all detected element oxides to 100% after multi-point external calibration","100% oxide sum normalization (7 MEs + Cl) after external calibration; per-pixel normalization accounts for varying mineral stoichiometry across the FG","No post-acquisition normalization; BCR-2g, BHVO-2g, BIR-1g used for calibration; Marjalahti as in-session control","No post-acquisition normalization; calibration curve method using IVB standards provides direct quantification","Fe+Ni+Co=100% sum normalization applied in iolite 3D Trace Elements DRS as final step; yield correction factors applied for NIST SRM 612 relative to North Chile","Fe+Ni+Co=100% normalization (mandatory for multi-phase mapping); same iolite DRS as spot","⁸⁸Sr/⁸⁶Sr = 8.37520933 used for Sr isotope mass fractionation correction (exponential law); ⁸⁷Rb/⁸⁵Rb = 0.385706 and ⁸⁶Sr/⁸⁸Sr = 0.119351 for ⁸⁷Rb/⁸⁶Sr calculation; external calibration factor from reference glasses applied to correct Rb/Sr elemental fractionation","No post-acquisition normalization beyond IS approach (two IS elements applied element-specifically)","No post-acquisition normalization beyond IS (Si from EMP)","No post-acquisition normalization beyond IS (Fe from EMP)","100% oxide total normalization applied per analysis for silicates and oxides; NIST 610 used for external calibration before and after session [P4]","No post-acquisition normalization; EMP CaO applied directly as IS; NIST 610 for external calibration [P4]"
"","","","","","","","","","","","","","","","",""
"6. Quality Control & Uncertainty","","","","","","","","","","","","","","","N","N"
"Primary Calibration Standard Name","North Chile Filomena (IIAB iron meteorite; Wasson et al. 1989) for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba (IVB; Walker et al. 2008) for Ru/Rh/Pd/Re/Os/Ir/Pt; NIST SRM 1263a V-Cr steel (Campbell & Humayun 2005) for V/Cr/Fe/Co/Ni/Cu/As/Mo/W/Au","Multiple glass GRMs used together for linear regression external calibration: NIST SRM 612, NIST SRM 614, USGS GSD-1G (synthetic), USGS GSE-1G (synthetic), USGS BHVO-2G, USGS BIR-1G (natural basalt glasses)","Same glass GRM set as mapping for Run 1; expanded set additionally includes MPI-DING KL2-G, ML3B-G, StHs6/80-G, T1-G, ATHO-G, BM90/21-G, GOR128-G, GOR132-G for Run 2 trace elements","MPI-DING and USGS glass GRMs (measured at beginning and repeatedly at end of each session; multipoint calibration)","Multiple natural rock glass GRMs: USGS GSE-1G, GSD-1G (synthetic basaltic), BIR-1G, BHVO-2G, BCR-2G (basaltic), NKT-1G (nephelinitic); MPI-DING GOR128-G, GOR132-G (komatiitic), ML3B-G, KL2-G (basaltic), ATHO-G (rhyolitic), StHs6/80-G (andesitic), T1-G (dioritic). Note: GSE-1G and GSD-1G not used for trace element calibration due to anomalous concentrations","NIST SRM 612 (glass, REE reference; Jochum et al. 2011); natural minerals as ME references: augite (Morogoro, Tanzania, Nichika Inc.) for Mg, Al, Fe; olivine (Horoman, Hokkaido) for Mg, Si, Fe; Cl-apatite (Chichibu, Saitama) for Cl; titanite (Mt Dromedary Complex) for Ca, Ti","USGS standard glasses BCR-2g, BHVO-2g, and BIR-1g; preferred values from GeoReM website","Warburton Range (IVB iron meteorite; Walker et al. 2008) — used as primary external standard and for calibration curve method","NIST SRM 612 glass (Jochum et al. 2011) + North Chile Filomena iron meteorite (Wasson et al. 1989) — used together with yield correction in iolite 3D DRS","NIST SRM 612 (Jochum et al. 2011) + North Chile Filomena — same as spot protocol","NIST 610 for instrument parameter optimization; series of reference glasses (NIST 612, BHVO-2G, BCR-2G, NKT-1G, TB-1G, ATHO-G, KL2-G, ML3B-G, StHs6/80-G, T1-G) for external calibration of ⁸⁷Rb/⁸⁶Sr ratio; natural clinopyroxenes (NHB-9, YY12-01) and anorthite (YG4301) as unknown samples for ⁸⁷Sr/⁸⁶Sr data quality evaluation","NIST SRM 612 + NIST SRM 614 (non-matrix-matched external standards); self-made BHVO-2 lithium borate glass (matrix-matched) tested as alternative but NIST 612+614 found sufficient with fs laser","NIST 610 (primary external standard; Jochum et al. 2011); Si from EMP as IS","NIST 610 (primary external standard); Fe from EMP as IS","NIST 610 glass standard [P4]","NIST 610 glass standard [P4]"
