Metadata Item,Description,Protocol-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry"
Analyte,"Isotopes (mass/charge) this protocol is designed to measure. Defines the scope of the protocol and enables matching of protocols to analytical needs. At analysis level, record the specific isotopes actually measured in the session — this may be a subset of the protocol scope if certain masses were excluded due to interference issues or detector limitations.",Basic,Editable,Text (free),"e.g., 'Major elements: ²⁵Mg, ²⁸Si, ⁴⁴Ca, ⁵⁷Fe; Trace elements: ⁴⁵Sc, ⁵¹V, ⁵³Cr ... ²³⁸U' | 'All REE: ¹³⁹La–¹⁷⁵Lu'",,2026-05-07,Y,Y,Y,,"³¹P, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁷¹Ga, ⁷⁴Ge, ⁷⁵As, ⁹⁵Mo, ¹⁰²Ru, ¹⁰³Rh, ¹⁰⁶Pd, ¹²⁰Sn, ¹²¹Sb, ¹⁸²W, ¹⁸⁵Re, ¹⁹⁰Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (23 elements; 31P, 51V, 53Cr, 55Mn, 57Fe, 59Co, 60Ni, 63Cu, 71Ga for spot Ge runs)","²⁵Mg, ²⁷Al, ²⁹Si, ³¹P, ⁴⁵Sc, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁶⁰Ni, ⁷¹Ga, ¹³⁹La, ¹⁵³Eu, ¹⁹⁵Pt (14 nuclides)","Run 1 (major): ²⁵Mg, ²⁹Si, ³¹P, ⁴⁴Ca, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe (7 nuclides; medium resolution); Run 2 (trace): ⁷Li, ⁴⁵Sc, ⁵¹V, ⁵³Cr, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La–¹⁷⁵Lu (all REE), ¹⁸⁰Hf, ¹⁸¹Ta, ¹⁸²W, ¹⁸⁵Re, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au, ²³²Th, ²³⁸U (36 nuclides)","²³Na, ²⁵Mg, ²⁷Al, ²⁹Si, ³¹P, ³⁹K, ⁴⁴Ca, ⁴⁵Sc, ⁴⁷Ti, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁸⁵Rb, ⁸⁸Sr, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La–¹⁷⁵Lu (all REE), ¹⁸⁰Hf, ¹⁸¹Ta, ²⁰⁸Pb, ²³²Th, ²³⁸U (43 nuclides)","²³Na to ²³⁸U (full periodic table, m/z 23–238); quasi-simultaneous ToF acquisition","²³Na, ²⁴Mg, ²⁷Al, ²⁹Si, ³⁵Cl, ⁴⁴Ca, ⁴⁷Ti, ⁵⁷Fe (8 MEs) + ¹³⁹La, ¹⁴⁰Ce, ¹⁴⁶Nd, ¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁷Gd, ¹⁶³Dy, ¹⁶⁵Ho, ¹⁶⁶Er, ¹⁶⁹Tm, ¹⁷²Yb, ¹⁷⁵Lu (12 REEs; Pr and Tb excluded to keep total dwell time <1 s)","²⁵Mg, ²⁷Al, ³¹P, ⁴³Ca, ⁴⁴Ca, ⁴⁵Sc, ⁴⁷Ti, ⁴⁹Ti, ⁵¹V, ⁵²Cr, ⁵³Cr, ⁵⁹Co, ⁶⁰Ni, ⁶¹Ni, ⁶²Ni, ⁶⁴Zn, ⁶⁶Zn, ⁶⁹Ga, ⁷¹Ga (19 nuclides)","⁵⁹Co, ¹⁰¹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (9 HSE isotopes); ²⁴Mg, ²⁹Si, ³¹P, ³³S monitored for inclusion detection; ⁶¹Ni as internal standard","⁵²Cr, ⁵⁷Fe, ⁵⁹Co, ⁶¹Ni, ⁶⁵Cu, ⁶⁹Ga, ⁷²Ge, ⁷⁵As, ⁹⁹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸²W, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (17 isotopes); low relative abundance isotopes chosen for Ni and Fe (analog mode)","⁵²Cr, ⁵⁷Fe, ⁵⁹Co, ⁶¹Ni, ⁶⁵Cu, ⁶⁹Ga, ⁷²Ge, ⁷⁵As, ⁹⁹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸²W, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (same 17 isotopes as spot protocol)","L4 (⁸³Kr), L3 (¹⁶⁷Er²⁺), L2 (⁸⁴Sr), L1 (⁸⁵Rb), C (⁸⁶Sr), H1 (¹⁷³Yb²⁺), H2 (⁸⁷Sr), H3 (⁸⁸Sr) (7 cups monitoring Kr, Rb, Er, Yb, Sr)","²¹Sc, ⁵¹V, ⁵²Cr, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁶⁹Ga, ⁸⁵Rb, ⁸⁸Sr, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La, ¹⁴⁰Ce, ¹⁴¹Pr, ¹⁴⁶Nd, ¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁷Gd, ¹⁵⁹Tb, ¹⁶³Dy, ¹⁶⁵Ho, ¹⁶⁶Er, ¹⁶⁹Tm, ¹⁷²Yb, ¹⁷⁵Lu, ¹⁷⁸Hf, ¹⁸¹Ta, ²³²Th, ²³⁸U (32 trace elements)","¹⁹⁷Au, ⁶³Cu (primary targets); all detected via Agilent 7900 (exact isotope list not fully stated)","¹⁹⁷Au, ⁶³Cu (primary targets; Si and Fe from EMP as internal standards)"
Spectrometer Dwell Time,"Count time (dwell time) per mass position for each measured isotope in milliseconds. Longer dwell times improve counting statistics and lower detection limits but reduce the number of isotopes measurable within a given scan cycle time. For mapping, scan cycle time directly determines spatial resolution at a given scan speed: shorter cycle time = finer spatial resolution.",Basic,Editable,Text (free),"e.g., 6 ms (most isotopes); 35 ms (¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁸Gd for REE work)",,Analyte specific,Y,Y,Y,,N (dwell times not reported),0.01 s (10 ms) per nuclide; samples per peak: 10; duty cycle time: 1.944 s (14 nuclides),Run 1 (major): 0.01 s per nuclide; samples per peak: 18; duty cycle: 2.069 s; Run 2 (trace): 0.01 s per nuclide; samples per peak: 7; duty cycle: 2.062 s,"0.01 s per nuclide; samples per peak: 5; duty cycle: 1.813 s; mass window 150% for ²³Na–⁴⁷Ti, 100% for all other nuclides",N/A — ToF acquires full spectrum simultaneously; base integration time 46 ms; 60+ spectra aggregated per readout (100–300 Hz pixel rate → 68–206 spectra per pixel),0.05 s (50 ms) per isotope for all monitored masses (20 isotopes total),N (parameters lost; 10–50 ms varies by isotope per paper text),N,0.02 s per isotope; 100 samples per peak; 10 runs; 60 passes; total measurement time 120 s per analysis,0.02 s per isotope; 100 samples per peak (same as spot protocol),0.524 s integration time per cycle (one block of 120 cycles = 62.88 s total),30 ms (most isotopes) / 10 ms (alternate; dual detector mode),N,N
Background Count Time,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment.",Basic,Editable,Numeric (s),"e.g., '30 s (spot/transect)' | '10 s per raster line (mapping)' | '25 s (one gas blank map per GRM at session start)'",,,Y,Y,Y,,N (gas blank measured before analyses but duration not reported),Scans for gas blank: 10 per line (before each mapping line); 80 scans during ablation,Run 1: 5 gas blank scans; 24 ablation scans; Run 2: 5 gas blank scans; 24 ablation scans,8 gas blank scans; 11 ablation scans (25 cycles measurement: 15 s blank + 20 s ablation + 10 s washout),Gas blank map (10 adjacent lines with laser shutter closed) acquired for each GRM at start of session,Background measured at start of each line scan area; washout time ~3 s between areas,N (parameters lost; gas blank measured before each analysis per paper text),N,20 s background measurement (laser shutter closed) before each 40 s ablation,60 s background measurement before mapping session start; 3 measurements each for NIST and North Chile after background,30 cycles × 0.524 s ≈ 15.7 s (first 30 cycles of the 120-cycle block with no laser ablation),25 s gas blank before each ablation,N (gas blank measured but duration not explicitly stated),N
Multi-Run Sequential Analysis Design,"Whether the protocol uses a single acquisition pass or multiple sequential runs on the same sample location, each optimized for different analytical objectives. For multi-run designs, describe the number of runs, their purpose, key laser and instrument settings per run, and how outputs of one run feed into data reduction of another. Not applicable to raster mapping, where each spatial location is visited exactly once.",Advanced,Read-Only,Text (free),"e.g., Single run | Two sequential runs: run 1 (major elements, 30 µm circular, medium resolution) → run 2 (trace elements, 130 µm circular, low resolution; Cr from run 1 as IS) | Pre-ablation pass + single acquisition run",,,Y,Y,N,,N (single raster acquisition; Ge spot separate session),N/A (mapping; no sequential multi-run),"Three-stage sequential design on same olivine location:
(1) Pre-ablation pass (2 J cm⁻², 150 µm square, 300 µm s⁻¹) to remove surface contamination;
(2) Run 1 — major elements (30 µm circular, MR M/ΔM=4000, 20 Hz, 7 nuclides);
(3) Run 2 — trace elements (130 µm circular, LR M/ΔM=300, 40 Hz, 36 nuclides; Cr from run 1 as IS)",Single spot analysis run per location (25 cycles: 15 s blank + 20 s ablation + 10 s washout); 3 replicates,N/A (mapping),N/A (mapping),Single spot per location (75 µm circular),Single spot per location (30 µm circular),Single acquisition run (20 spot analyses per sample under repeatability conditions),N/A (mapping),Single line scan per location (1 block of 120 cycles at 0.524 s integration),Single spot per location (45 s ablation at 1 Hz),Single spot per location (~40 s ablation at 7 Hz),Single spot per location (sulfides; same acquisition parameters as glass but 20 µm spot)
Analysis Location/Spot Coordinates,"Location of the analysis on the sample surface. For spot and transect analysis: stage coordinates (X, Y in µm) or a description relative to a named reference feature (e.g., mineral rim, inclusion boundary). For mapping: coordinates of the map corner(s) or centre, plus map dimensions. Enables spatial reconstruction and co-registration with other analytical images.",N/A,Basic,Text (free),"e.g., 'X = 12350 µm, Y = 8760 µm (stage coordinates)' | '500 µm from metal-olivine rim toward core' | 'Map centre: X=15000, Y=9000 µm; area: 1450×600 µm'",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Number of Replicates,Number of replicate analyses performed on the same sample (or same nominal location for spot analysis) in this session. For spot analysis: number of individual spot analyses per grain or location. For transect: number of replicate transect lines. For mapping: number of map acquisitions of the same area (usually 1).,N/A,Basic,Integer,"e.g., 3 (three replicate spots per grain) | 1 (single transect) | 1 (single map)",,,Y,Y,Y,,N (number not stated explicitly; multiple irons analyzed),N (single map per olivine crystal section per sample),3 replicate analyses per grain (3× run 1 + 3× run 2 on same location),Multiple phosphate grains per meteorite; number varies by section,N (1 to 3 CSs per session; mapping of 5 micrometeorites total),2–5 areas mapped per FG (single pass per area),N (variable number of spots per sample),"N (variable number of spots per grain; Mg, Si, P, S monitored to check for inclusions)",20 spot analyses per meteorite under repeatability conditions; additional measurements on different days,1 map per meteorite (single 30-min mapping acquisition),N (variable; 12–30 analyses per mineral phase per meteorite),9 spot analyses in grid pattern for homogeneity testing; multiple analyses per fusion glass disk,N (variable per run),N (grain size >20 µm selected; number of analyzed grains variable)
Transect Length,"Total length of the transect line analysed in micrometres. This is an analysis-level parameter because it depends on the size of the feature of interest rather than being fixed in the protocol. The protocol fixes scan speed (captured in Transect Rate, Mapping Rate or Step Size); transect length is determined at analysis time based on grain or feature size.",N/A,Basic,Numeric (µm),"e.g., 500 µm | 1200 µm | 3000 µm",,,N,Y,N,,N/A,N/A,Line scan length: 400 µm (runs 1 and 2; 34 runs adjusted to measure 400 µm line + blank + washout),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Variable; analyses of plagioclase, pyroxene, glass in two lunar meteorites (NWA 10597 and NWA 6950); line length varies by mineral grain size",N/A,N/A,N/A
Mapping Area,"Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm². This is an analysis-level parameter because it depends on the size of the grain or phase to be mapped. The protocol fixes scan speed, line spacing, and spot size; the map area is chosen at analysis time to cover the target feature.",N/A,Basic,Text (free),"e.g., '1450×600 µm (870,000 µm²)' | '200×200 µm' | '0.5 mm²'",,,N,N,Y,,"Raster over ""a few millimeters"" of polished iron slab surface (area not precisely stated)","Each map: 1450×600 µm = 870,000 µm²; total of 8 PMG olivines mapped",N/A (line scan + spot; not 2D raster),N/A,N/A,Areas ranging from 200×200 µm² to 300×300 µm²; 2–5 areas per FG inclusion,N/A,N/A,N/A,Augusto Pestana: 30 min mapping session (area not explicitly stated; 150 µm spot at 10 µm s⁻¹),N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Standard Approach,"Method used to determine the internal standard (IS) concentration for each unknown sample, used to correct for variable ablation yield between analyses. The approach is a fundamental protocol design choice that cannot be changed by analysts.",Basic,Read-Only,Text (free),"e.g., 'Single element from EPMA (SiO₂ wt% used as IS)' | 'Sum-of-major-oxide normalization to 100% (Liu et al. 2008)' | 'Stoichiometry-derived (Ca fixed at 10.1 wt% for calcite)' | 'No IS — external calibration only'",,,Y,Y,Y,,No conventional internal standard; Fe+Ni+Co sum normalization to 100% (for most irons) — external calibration using iron meteorite standards; elemental fractionation corrected by multi-point external calibration,Sum-of-major-oxide normalization: MgO+FeO+SiO₂+P₂O₅ = 100 wt% per pixel (Liu et al. 2008 approach; no EPMA required for IS),Run 1 (major elements): sum-of-oxide normalization (MgO+FeO+SiO₂+P₂O₅=100 wt%; Liu et al. 2008); Run 2 (trace elements): single element IS from Run 1 (⁵³Cr concentration from major element run used as IS for trace element run),Sum-of-major-oxide normalization to 100 wt% (Liu et al. 2008; Appendix C3),Sum normalization of all element oxide mass fractions to 100%; multi-point external calibration against natural glass GRMs,"100% oxide sum normalization of 7 MEs (NaO, MgO, Al₂O₃, SiO₂, CaO, TiO₂, FeO) + Cl⁻; depth correction for ablation volume differences using LEICA DVM5000 digital microscope measurements",Single element from EPMA: ²⁵Mg (SiO₂ from EPMA used as indexing element for quantification; preferred values from GeoReM),Single element externally measured by EPMA: ⁶¹Ni concentration from EPMA at exact analysis location used as IS,Fe+Ni+Co sum normalization to 100% using iolite 3D Trace Elements DRS (eliminates need for independent EPMA IS),Fe+Ni+Co sum normalization to 100% (same DRS as spot protocol; mandatory for multi-phase mapping without prior IS knowledge),No conventional IS; external calibration only (Rb/Sr elemental fractionation corrected by series of reference glasses; 87Sr/86Sr mass bias corrected by exponential law using 88Sr/86Sr = 8.37521),"Two internal standards: Si from XRF SiO₂ (for Co, Ni, Cu, Zn); Al from XRF Al₂O₃ (for all other trace elements); non-matrix-matched external standards (NIST 612 + 614) used; fs laser minimizes matrix effects",Single element from EMP: Si (SiO₂ from EMP for silicate glass); NIST 610 as external standard,Single element from EMP: Fe (FeOT from EMP for sulfide); NIST 610 as external standard
Internal Standard Element,"Element(s) used as the internal standard, and how the IS concentration value was determined for unknown samples. For mapping protocols using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference.",Basic,Read-Only,Text (free),"e.g., '²⁹Si; SiO₂ wt% from EPMA' | '⁵³Cr; measured in preceding major-element run (run 1)' | 'None — sum of MgO+FeO+SiO₂+P₂O₅ = 100 wt% (Liu et al. 2008)'",,,Y,Y,Y,,No single IS; Fe+Ni+Co=100% sum normalization (equivalent to virtual IS),No single IS element; oxide sum normalization (MgO+FeO+SiO₂+P₂O₅) used as virtual IS per pixel,Run 1: No single IS; oxide sum normalization; Run 2: ⁵³Cr (concentration from Run 1 major-element analysis on 30 µm spot used as IS for 130 µm spot trace element run),No single IS; oxide sum normalization to 100 wt%,No single IS element; full 100% oxide sum normalization across all detected elements; gas blank included in regression (forced through zero),No single IS; 100% oxide sum normalization (7 MEs + Cl) with volume correction (depth measured by digital microscope for each material type),²⁵Mg; MgO wt% from EPMA used as standardizing value (indexing element),⁶¹Ni; concentration from EPMA measured at exact analysis spot location,No single IS; Fe+Ni+Co mass fractions normalized to 100% via iolite 3D DRS (yield correction factors applied for NIST SRM 612 relative to North Chile),No single IS; Fe+Ni+Co=100% normalization (same as spot protocol),No conventional IS; ⁸⁵Rb used to calculate ⁸⁷Rb/⁸⁶Sr via 87Rb/85Rb; external calibration for Rb/Sr elemental fractionation using reference glasses,"Si (SiO₂ from XRF) for Co, Ni, Cu, Zn; Al (Al₂O₃ from XRF) for all other 28 trace elements",Si from EMP (SiO₂ wt% for silicate glass),Fe from EMP (FeOT wt% for sulfide)
Elemental Fractionation Correction,"Method used to correct for laser-induced elemental fractionation (LIEF), including downhole fractionation during prolonged ablation, matrix-dependent fractionation between sample and calibration standard, and any specific correction algorithm applied. Reference the software function or publication.",Basic,Read-Only,Text (free),"e.g., 'Normalised to NIST SRM 612; no additional downhole correction' | 'Exponential downhole fractionation correction in Iolite using NIST SRM 612' | 'Linear time-drift correction applied per analysis'",,,Y,Y,Y,,Multi-point external calibration using series of iron meteorite reference materials (North Chile Filomena as primary standard for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba for Ru/Rh/Pd/Re/Os/Ir/Pt; NIST SRM 1263a V-Cr steel for V/Cr/Fe/Co/Ni/Cu/As/Mo/W/Au),Internal normalization to MgO+FeO+SiO₂+P₂O₅ oxide sum corrects for point-to-point ablation yield variation; additional pixel-by-pixel normalization fixes oxide sum to 100 wt%,Run 1: Oxide sum normalization corrects for ablation yield variation; external calibration using glass GRMs (NIST + USGS + MPI-DING); Run 2: Cr from run 1 as IS corrects for ablation yield; external calibration with expanded glass GRM set,Oxide sum normalization to 100 wt% corrects for ablation yield and matrix effects; external calibration with MPI-DING and USGS glass GRMs,"Oxide sum normalization corrects for ablation yield variation; multi-point external calibration (gas blank regression forced through zero); synthetic glasses (GSE-1G, GSD-1G) not used for trace element calibration due to anomalous concentrations",Femtosecond laser substantially reduces elemental fractionation (non-thermal ablation); depth-of-ablation correction for differences in drilling rate between glass standards and silicate minerals (4–12 µm depth measured by digital microscope),"External calibration using BCR-2g, BHVO-2g, BIR-1g; ²⁵Mg IS from EPMA corrects for ablation yield variation; no explicit downhole fractionation correction described",External calibration using calibration curve method with IVB iron meteorite standards; ⁶¹Ni as IS from EPMA corrects for ablation yield differences between sample and standard,External calibration using North Chile iron meteorite + NIST SRM 612 glass (yield correction applied in iolite 3D DRS for NIST relative to North Chile); ordinary least-squares fitting per 15 min calibration block; Fe+Ni+Co normalization eliminates need for independent EPMA IS,Same calibration approach as spot protocol (iolite 3D DRS; same yield correction),Femtosecond laser substantially reduces elemental fractionation; no explicit downhole correction; Rb/Sr elemental fractionation corrected externally by analyzing series of reference glasses; exponential law for Sr isotope mass bias (88Sr/86Sr = 8.37521),Femtosecond laser substantially reduces elemental fractionation and matrix effects (stated); non-matrix-matched external standards (NIST 612 + 614) used successfully with fs laser (verified by GRM accuracy assessment),Femtosecond laser reduces LIEF; NIST 610 external standard; Si IS from EMP corrects for ablation yield,Femtosecond laser reduces LIEF; NIST 610 external standard; Fe IS from EMP corrects for ablation yield; micronuggets identified from Au signal spikes and excluded from integration
Uncertainty Propagation Method,"Approach used to propagate analytical uncertainty from raw count rates through the data reduction chain to final reported concentrations or isotope ratios. Specifies which uncertainty sources are included: counting statistics, calibration standard uncertainty, internal standard concentration uncertainty, drift correction uncertainty. Editable because this field may be unspecified at protocol registration (Advanced tier) and can be completed by the analyst when documenting the analysis.",Advanced,Editable,Text (free),"e.g., Counting statistics only (1σ on integrated signal, Longerich et al. 1996) | SD of n replicate analyses used as combined uncertainty estimate | Full propagation: counting + calibration standard + IS uncertainty (specify formula)",,,Y,Y,Y,,Standard deviation (SD) across individual integration cycles of raster scans; uncertainty propagation not formally described,Longerich et al. (1996) equation (3SD/S × √(1/Nb + 1/Na)),Longerich et al. (1996) for LOD; uncertainty for concentrations not formally described,Longerich et al. (1996) for LOD; uncertainty not formally described,Pettke et al. (2012) equation for LoDs; intermediate precision assessed from repeated GRM mapping over 1 year,Theoretical 1σ analytical precision from counting statistics; dominated by counting statistics for REEs near detection limits,N,2SE of individual spot measurements reported,N (iolite 4 computes uncertainty internally via Longerich et al. 1996),N (same as spot protocol),Standard error (SE = SD/√n) for repeatability within individual runs; assessed separately for 87Sr/86Sr and 87Rb/86Sr using signal intensity regression,N (Iolite 4 internal uncertainty propagation implied),N,N
Matrix Offset Correction (LIEF),Whether an empirical correction was applied to account for systematic differences in laser-induced elemental fractionation (LIEF) patterns between the external calibration standard and the sample matrix.,Advanced,Read-Only,Text (free),"e.g., 'Applied: 6.4% offset in Ca/Si determined by comparison with EPMA (Jenner & O'Neill 2012)' | 'Not applied; Ca used as IS to cancel LIEF offset' | 'Not applicable'",,,Y,Y,Y,,N (no matrix offset correction; iron meteorite standards used to minimize matrix mismatch),N (oxide sum normalization approach is inherently matrix-independent within olivine composition range),N,N,N (natural rock glass GRMs used; no separate matrix offset correction),"N (depth correction applied but this corrects for ablation rate differences, not LIEF per se; fs laser minimizes fractionation)",N,N (fs laser minimizes LIEF; IVB iron meteorite standards used as matrix-matched reference),N (yield correction in iolite DRS addresses relative sensitivity differences between NIST SRM 612 and North Chile),N (same as spot protocol),N (fs laser minimizes LIEF),N (fs laser minimizes matrix effects),N (fs laser),N (fs laser)
Signal Integration Interval Method,"Approach used to select the stable signal interval for integration during data reduction, and to exclude anomalous signals from inclusions or cracks. For spot/transect analysis: involves identifying and excluding transient start/end instabilities within the time-resolved signal. For mapping analysis: corresponds to defining Volumes of Interest (VOIs) or applying phase masks across the 2D map (e.g., manual selection, automated clustering, threshold-based masking).",Basic,Read-Only,Text (free),"Manual visual inspection per analysis | Automated threshold (specify software and threshold) | Fixed time window applied uniformly | k-means clustering on multi-element map data | Phase mask applied using elemental threshold (e.g., P₂O₅ to exclude veinlets)",,,Y,Y,Y,,N (raster averages; selection method not described),"Manual visual inspection of time-resolved signal per line; anomalous spikes (inclusions, cracks, veinlets) excluded; P-rich veinlet regions identified and excluded from olivine averages","Time-resolved signals inspected manually; unstable intervals at start and end discarded; Cr heterogeneities and inclusion signals (elevated P, Ca, Co, Ni) identified and excluded from integration","Anomalous time steps excluded (inclusions, cracks, heterogeneity); manual inspection","VOI (Volume of Interest) selection using k-means clustering algorithm in HDIP software, or manual selection; each VOI corresponds to a distinct mineral phase or compositional region of the micrometeorite",Manual selection of analytical points restricted to target minerals based on ME distribution maps; points from adjacent minerals excluded; averaging over ≥10 pixels for minerals >40×40 µm²,"Time steps with enhanced P, Ca, Co, Ni, Zn count rates (indicating inclusions or cracks) excluded from integration; manual inspection","Time-resolved signals monitored; analyses with elevated Mg, Si, P, S (inclusion indicators) excluded; stable signal intervals used for integration",Time-resolved LA-ICP-MS signals inspected per analysis; background interval (20 s) and ablation interval (40 s) selected; no automated spike exclusion described,Same procedure as spot protocol; signal integration for mapping not separately described,Regions of integration for gas background and sample signal selected first; cycles at beginning and end of ablation discarded; for heterogeneous minerals (unstable 87Rb/86Sr): SUIA (Smallest Unit Isochron Age) data reduction strategy applied per cycle,"Time-resolved signals inspected visually; flux blank contributions to pollution elements (V, Co, Zn, Ba, La, Ce, Ta, U) identified and subtracted; 9-spot grid homogeneity tested before analysis",Time-resolved LA-ICP-MS signal inspected; micronuggets identified from spikes in Au signal and excluded from integration to obtain smooth signals (verified by Fig. 1 in paper),Same approach as glass; micronugget identification from Au signal spikes critical for sulfide analyses
Signal Integration Time,"Actual integration time used for the ablation signal in this analysis, in seconds. This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal. It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded. Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a protocol-level field) rather than being an analysis-level outcome.",N/A,Basic,Numeric (s),"e.g., 40 s | 60 s",,,Y,Y,N,,N/A (mapping) / ~20 s (Ge spots: 20 s ablation at 50 Hz),N/A (mapping),Run 1: ~50 s (34 runs covering 400 µm line + 10 s blank + washout); Run 2: same structure; actual integrated signal window within run not separately stated,20 s (spot ablation time; full ablation interval used for integration after exclusion of anomalous steps),N/A (mapping),N/A (mapping),N (parameters lost),N,40 s (full ablation interval used; background subtracted separately),N/A (mapping),60–70 cycles × 0.524 s ≈ 31–37 s (final integrated signal window after discarding beginning and end cycles from 90 acquired cycles),45 s on-sample ablation (full ablation interval used for integration),~40 s (inferred from typical CetacAnalyte HE protocol; stable signal used),~40 s (same)
