Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,Source: ICP-MS module,2026-08-25,(none),A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.,,"Both conventions stated: 2SD for external reproducibility (""(2sd, n = 22)"", ""%2sd"", ""n = 9 for JB-2 and n = 11 for JB-3, +/-2sd%"") and 2SE for internal precision (""typical internal precision (2se)"", ""Typical within-run precision (2 standard errors)"")","1 standard deviation -- ""The mean values and respective standard deviations (s) for three analyses""; ""Mean +/- s (n = 3)""; ""RSD = standard deviation/mean x 100%""",RSD% with observed ranges in parentheses,"Mixed and each stated: ""Mean blank +/- 1 S.D. (pmoles)""; ""The precision is calculated as the percent relative standard deviation (%RSD) (n = 3)"" [Table 4 footnote]; ""95% confidence limit"" [Table 6 caption]","2 sigma -- ""with 2r analytical uncertainty"" and ""the gray area represents the 2r spread in the B/Ca measured at 10 ppm [Ca]Matrix"" (r = sigma in the extracted text)","RSD for repeatability of triplicate determinations; ""confidence intervals (1s)""; the method result is quoted as a ""combined standard uncertainty"""
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),Quadrature propagation | Monte Carlo | ISO GUM | None | N/A | Other: specify,Source: ICP-MS module,2026-08-25,reported property,,,N,N,N,N,N,N
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a BHVO-2 working value).",Advanced,Editable,Text (free),CI chondrite normalization | Normalization to BHVO-2 working values | None | N/A | Other: specify,,2026-06-16,reported property,,,N,N,N,N,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-25,reported property,,,"Instrumental mass-fractionation factor: ""Raw Pb isotope ratios were corrected for instrumental mass fractionation using the measured 205Tl/203Tl and Pb mass bias factors derived from Pb vs Tl isotope mass bias plots generated from numerous analyses of SRM981""; ""Pb mass bias factors were taken from master Pb-Tl mass bias correlation lines"". The magnitude ""ca. 0.7% per mass unit"" is stated for the MC-ICP-MS, not for the SC-SF-ICP-MS","Partially -- ""Calibration External"" against multi-element standards at 0.1, 1, 5 and 10 ng mL-1 with 103Rh internal standard held at 5 ng mL-1 in sample, calibration and blank solutions. No calibration factor value or uncertainty stated","Recovery-yield factors ""determined by the calibration curve and the ID methods""; ""The Ti yield was determined from the TTi/Nb ratio by ICP-SFMS""; ""Errors in the yield determination are estimated to be ~7%""","Mass-bias correction factor per element: ""A mass bias correction factor for each of the six elements was calculated from the measured natural isotopic ratio divided by the true natural isotopic ratio. The correction factor for each element was then incorporated into the isotope dilution equation""; Co and Mn quantified from standard-addition slopes, tabulated with SD and %RSD (Mn 2797 +/- 205, 3055 +/- 125, 3174 +/- 170; Co 6124 +/- 305, 4335 +/- 143, 5352 +/- 159)","Partially -- ""Me/Ca determinations by Element XR were carried out using a set of external calibration standards""; ""Samples and standards were concentration matched within +/-5%"". No calibration factor value or uncertainty stated","Relative sensitivity factors (RSF) appear explicitly in Eq. (2) for mono-isotopic elements; in-run mass-fractionation factors fitted with a power law MF = a x b^(m-c) + d, ""Typical values are a: 0.08 to 0.23, b: 0.96 to 0.98, c: -10 to 10 and d: -0.005 to 0.005""; spike concentrations ""calibrated by applying a reverse ID against certified standard solutions (Alfa Aesar, specpure) using TIMS, MC-ICP-MS and SF-ICP-MS"", and ""The uncertainty of spike concentrations has been estimated to 0.5-1% RSD"""
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),,Source: Blank module,2026-08-25,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,,"""Typical column blanks were <20 pg Pb, while total procedural blanks (dissolution and/or leaching, including centrifuging) are estimated to be <100 pg""; ""sample/blank ratios were >=1500, rendering blank corrections negligible"". Per-acquisition instrumental blank on the Attom: ""Each sample acquisition was preceded by a blank determination (average 900cps on 208Pb, equivalent to 1.8 ppt Pb in solution)"" [sec 2.4]","""The concentration of elements in the procedural blank ranged from 0.004 ng mL-1 (Cs) to 0.216 ng mL-1 (Zn)""; ""the highest blank level in Zn would contribute less than 0.01% of the amount of analyte""","Blanks in spike solutions (pg g-1) and total procedural blank (pg) tabulated per element; ""The blank corrections were usually <1% in basalt and andesite analyses and <4% in peridotite reference materials""; ""Total Sn blank levels are ~300 pg in both the ultrasonic and the bomb methods"" [sec 3.6]","Per-element reagent blank with 1 S.D. in pmoles, broken down into elution acid and ammonium acetate buffer contributions (Mn 0.433 +/- 0.026; Fe 2.791 +/- 0.083; Co 0.078 +/- 0.006; Ni 0.457 +/- 0.104; Cu 0.184 +/- 0.027; Zn 3.044 +/- 0.018; Cd 0.045 +/- 0.003; Pb 0.017 +/- 0.001)","""Our procedural B/Ca blank of 2.0 +/- 1.0 umol/mol""; instrumental 11B blank in cps tabulated against spray chamber material, injector material and acid matrix (2011-19,750 cps) [Table 2]","Partially -- ""Limits of detection (LOD) were calculated according to the 3s criterion on a data set of fifty measurements in LR mode and twenty measurements in HR mode of total procedural blanks (including spiking)""; LODs ""ranged between about 0.1 and 10 ng g-1 sample equivalents for most elements"". The blank levels themselves are not tabulated"
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-25,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",,"Partially -- n stated per averaged result (BCR-2 n = 39, AGV-2 n = 13, BR n = 11, JB-2 n = 9, JB-3 n = 11, SRM981 n = 22 and n = 16). One documented exclusion, from the quality assessment rather than from a reported aggregate: ""Results for the pure Pb standard NIST SRM981, analysed many times with the soil samples, are not included here, because it contains no matrix and may thus not a be a good indicator of data quality for the soil samples analysed here"" [sec 3.1]. No acceptance or rejection rule, and no acquired-versus-included count, stated","Partially -- ""The mean values and respective standard deviations (s) for three analyses were listed in Table 3""; n = 3 throughout. No acceptance or rejection rule stated","Partially -- ""Orgueil and Allende were analyzed 4 times and twice from the sample digestion, respectively ... analytical results for each run are shown in the table"" alongside the averages. No acceptance or rejection rule stated","Partially -- ""The blank solutions were analysed at least three times on the ICP-MS""; ""parallel triplicate samples""; n = 3 for reference materials and n = 5 for the GEOTRACES samples. No acceptance or rejection rule stated","Partially -- ""Open symbols represent an average of 10 measurements acquired during a single instrument session. The solid symbols represent the average of the open symbols""; and for a second figure ""which is a total of 15 measurements""; acquisition structured as 3 runs x 15 passes (low resolution) or 3 x 5 (medium). No acceptance or rejection rule stated","Partially, and the most complete of the six -- ""Five independent analyses (different spikings/digestions) of BHVO-1 were carried out over a time period of 4 months. Triplicate determinations were performed for each digestion""; ""the results of three to four independent analyses of sixteen other RMs""; ""Only one digestion was prepared for the USGS reference glasses BCR-2G, BHVO-2G and BIR-1G, and NIST SRM 612 respectively and were measured in triplicate"". No acceptance or rejection rule stated"
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-25,(none),,,"205Tl/203Tl = 2.3871 (Woodhead 2002), used to correct instrumental mass fractionation by internal normalisation with the exponential law",N,"Partially -- the ID equation is built on spike and natural isotope ratios, and the mixed standard solution is referenced to the B isotope ratio standard of Makishima et al. (1997). No constant values or their sources are tabulated","Partially -- ""A mass bias correction factor for each of the six elements was calculated from the measured natural isotopic ratio divided by the true natural isotopic ratio"". The true natural isotopic ratios used, and their source, are not stated",N,"Relative atomic masses M_El and M_S ""(Loss 2003)""; ""the known natural isotopic abundances of the isotopes i and k in the sample (Rosman and Taylor 1998)"", stated to be adequately known (""uncertainty < 0.2%""); in-run mass fractionation determined ""by comparing determined 47Ti/49Ti, 99Ru/101Ru (in LR mode), 151Eu/153Eu (in HR mode) and 185Re/187Re ratios with known values (Rosman and Taylor 1998)"". For Pb the paper compares two reference choices -- ""average Pb isotope abundances (Rosman and Taylor 1998)"" versus the BHVO-1 TIMS composition of ""Woodhead and Hergt 2000"" -- and quantifies the consequence: ""The difference between both approaches is 0.4% (concentration of Pb: 2.13 ug g-1 versus 2.14 ug g-1)"""
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N,N,N
Primary Calibration Standard Name,"Name and reference material identifier of the external calibration standard used to convert signal intensities to elemental concentrations. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),BHVO-2 (working values) | Orgueil CI chondrite (matrix-matched) | NIST SRM 1640a | Lab-prepared single-element standard mix | N/A | None | Other: specify,,2026-06-16,(none),,,NIST SRM981 Common Lead Standard (stated section 2.3),N (multi-element standard solution; not formally named),N (multi-element standard solution measured every two samples; stated section 2.1.2),Commercial standard of natural isotopic abundance (not formally named; stated section 2.4),Series of matrix-matched standards at 10 ppm Ca (not formally named; stated section 2.3.1),N (multi-element spike solution for ID; RSF standard solutions for non-ID elements; not formally named)
Calibration Standard Measurement Frequency,How often the primary calibration standard is measured relative to unknown samples within a session.,Basic,Read-Only,Text (free),Before and after every 3–5 samples | Matrix-matched bracketing | Start and end of session only | N/A | None | Other: specify,,2026-06-16,(none),,,N,N,Every two samples (stated section 2.1.2),N,Bracketing blocks of 7 samples (stated section 2.3.1),N
Secondary Reference Materials,Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and expected-value source.,Basic,Editable,Text (free),BHVO-2 | BCR-2 | AGV-2 | CI chondrite reference | N/A | None | Other: specify,,2026-08-12,defines: standard,,,"BCR-2, AGV-2, JB-2, BR, JB-3 (stated Tables 1-2)","FER-2 and geological RMs in Table 5 (BHVO-2, BCR-2, etc.; stated section 2.3.2)",USGS and GSJ geological RMs and carbonaceous chondrites (stated section 2.5),NASS-5 (certified seawater); SAFe inter-comparison samples S1 and D2 (stated section 2.4),"Four in-house foraminifera consistency standards (C. wuellerstorfi, Uvigerina spp., synthetic mix; stated section 2.2)","AGV-1, AGV-2, BCR-1, BCR-2, BHVO-1, BHVO-2, G-2, JR-1, KL2-G, ML3B-G, NIST SRM 612, BIR-1, OU-6, BCR-2G, BHVO-2G, BIR-1G, PCC-1 (stated Table 5)"
Detection Limit,"Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set). Specify units (µg/g or µg/L) and whether values are procedure-typical estimates or session-specific measured values.",Advanced,Basic,Numeric + unit / Text,,,2026-08-12,reported property,,,N,N,N,"Analyte-specific (pg/kg to pM level; e.g., Fe 0.01 nM in seawater; stated Table 1)",~2 umol/mol B/Ca procedural blank (stated abstract),N
Detection Limit Method,Method used to calculate detection limits for each reported concentration variable.,Basic,Read-Only,Controlled list / Text,3σ blank | 3σ background | 3σ counting statistics | 3× blank mean | Poisson statistics | N/A | None,,2026-08-24,reported property,,,N,N,N,3 sigma blank (stated section 2.4),N,N
Limit of Quantification (LOQ) Method,Method used to determine the limit of quantification.,Advanced,Basic,Controlled list,10σ blank | 10× DL | S/N ≥ 10 | N/A | None | Other: specify,,2026-06-16,reported property,,,N,N,N,N,N,N
Counting Statistics Error,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately: where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",Advanced,Basic,Text (free),"e.g., '2SE predicted from counting statistics over 45 cycles' | '~0.6% (1 sigma), counting statistics plus propagated uncertainties' | 'N/A'",,2026-08-17,sample > sampling unit x reported property,,,N,N,N,N,N,N
Internal (Within-Measurement) Analytical Precision and Assessment Method,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it. State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to. Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there.",Advanced,Basic,Text (free),"e.g., '2SE = 2SD/sqrt(n), n = 45 cycles' | '+/-0.001-0.002 (2SE) on 206Pb/204Pb' | '~2.6% (2SE) on single-spot ages' | 'N/A'",Source: ICP-MS module,2026-08-25,sample > sampling unit x reported property,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three.",,A single analysis of 30-40 10-s integrations gives typical internal precision (2SE) of +/-0.001-0.002 for 206Pb/204Pb and +/-0.003-0.005 for 208Pb/204Pb,N,N,N,N,N
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analytical session and the method used to assess it. Report both the assessment method and the precision values. The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI). Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses.",Basic,Basic,Text (free),RSD of replicate standard measurements | RSD of secondary RM replicates | N/A | None | Other: specify,Source: ICP-MS module,2026-08-25,standard x reported property,,,2 sigma uncertainty of 30-set Pb isotope ratios per sample (stated section 2.3),%RSD of replicate analyses (stated Table 5),N,%RSD of replicate measurements (stated section 2.4),%RSD of repeated consistency standard analyses (stated section 2.3.1),%RSD of repeated RM analyses within session (stated Table 5)
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it. Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported.",Advanced,Basic,Text (free),RSD of secondary RM across sessions | Control chart | N/A | None | Other: specify,Source: ICP-MS module,2026-08-25,standard x reported property,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.,,N,N,N,N,N,N
Analytical Accuracy and Assessment Method,Accuracy of final concentration measurements relative to certified or consensus values and the method used to assess it.,Basic,Basic,Text (free),Percent recovery of secondary RM | Z-score | Bias from certified value | N/A | None | Other: specify,,2026-08-11,standard x reported property,,,"% deviation from published Pb isotope values for geological RMs (BCR-2, AGV-2, JB-2, BR, JB-3; stated section 3)",% recovery relative to certified/consensus values for geological RMs (stated Table 5),% recovery relative to certified/consensus values for USGS/GSJ RMs and chondrites (stated section 3),Comparison with SAFe consensus values and NASS-5 certified values (stated section 2.4),% bias relative to published foraminifera inter-lab consensus values (stated section 2.3.1),% recovery relative to published consensus values for geological RMs (stated Table 5)
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value.",N/A,Basic,Text (free),,Source: Aggregation module,2026-08-25,reported property,"Answers whether a reported aggregate is defensible as a single population. The value cannot be known before the analysis. The procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",,"N for the quantity this field defines. A regression statistic is reported for the measured-versus-nominal comparison -- ""The data distributions around the nominal compositions (Fig. 2) have slopes near 1 (with correlation coefficients of 0.75-0.85)"" -- which is not a test of whether scatter among contributing analyses exceeds analytical uncertainty",N,N,"N -- standard-addition regressions are reported with average slope, SD and %RSD, but no fit statistic",N,"N -- a power law is fitted to the calculated mass fractionation factors, but no fit statistic is reported"
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-08-25,(none),,,Nu Attom SC-SF-ICP-MS in single-collector mode; 30 sets x 2000 sweeps = 4.5 min total analysis; Tl-spiked matrix (1 ppb Tl) for mass bias correction; blank ~900 cps on 208Pb (stated section 2.3),Chromatographic separation (AG1-X8 + TRUspec) performed before SF-ICP-MS; reflected power <2 W (stated Table 1); pulse counting detection only,Continuous nebulization (not pFI) for SF-ICP-MS; background measured before each sample after HF wash; sapphire injector used (HF-resistant); 60 s uptake stabilization; stated section 2.1.2,Off-line pre-concentration by chelating resin essential for open-ocean seawater; enriched isotope spikes added before chelation (pre-equilibration); standard addition for Mn and Co (no suitable spike isotope); stated section 2.2,Thermo Element XR with Jet pump; extraction voltage 2000 V (Table 1); ESI Pt injector 1.8 mm ID; Pt cones; dual mode detector fixed per analyte; daily detector cross-calibration required (stated section 2.3.1),Magnetic jump + electric scan mode: each peak monitored by E-scan for 100 ms dwell; 15 samples per peak; in-run Ru-Re for mass fractionation correction; DF ~21000 (LR) or ~1000 (HR) in 0.4 mol/l HNO3; stated section on instrumentation
