Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,SE Imaging,BSE Imaging,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,CL Point Analysis,CL Mapping,EBSD,TEM Sample Preparation,3D Tomography,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EDS Point Analysis (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | EDS Point Analysis (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Mapping (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Point Analysis (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Point Analysis (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Mapping (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Point Analysis (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (JEOL 7600F, NASA JSC, 15 kV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
Stage Scan vs. Beam Scan,"For mapping modes, records whether the map was acquired by moving the stage while the beam is held fixed (stage scan) or by deflecting the beam across the field while the stage is stationary (beam scan).",Advanced,Read-Only,Controlled list,'Stage scan' | 'Beam scan' | Other: specify | N/A | None,,2026-08-27,(none),Stage scan is preferred for large areas or high-accuracy geometric fidelity; beam scan is faster for smaller fields but may introduce geometric distortion at the map edges.,N,N,N,Y,N,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working Distance,Distance between the objective lens pole piece and the specimen surface in millimetres.,Basic,Editable,Numeric (mm),"e.g., 4 | 8 | 10 | 15",,2026-08-27,(none),"Affects spatial resolution, depth of focus, EDS X-ray take-off angle, and EBSD geometry.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,0.5–5.4 mm,5.4 mm (eucentric height for electron and ion columns),N,N,N,N,N,~10 mm,N,N,N,N,N,N,N,N,N,8 mm,N,N,N,4 mm,N,N,N,N,N,N,N,N,N,N,N,N,N
Chamber Pressure,Chamber pressure and gas type during analysis. Required for variable pressure (VP-SEM) and environmental SEM (ESEM) modes. Report value and unit (Pa or Torr) and gas composition. Use 'None' for standard high-vacuum operation.,Advanced,Editable,Numeric + unit,"e.g., '30 Pa (H2O vapor, ESEM)' | '130 Pa (N2, VP-SEM)' | 'None (high vacuum)'",,2026-05-21,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,N,N/A,N,N,25 Pa (variable pressure mode),N,N,High vacuum,N,N,N,N,N/A,High vacuum,High vacuum,N,N,High vacuum,High vacuum,High vacuum,N,N/A,N,N,N,N,N,N/A,N/A,N/A,N,N,N,N/A,N/A
Image Pixel Size,"Physical size of each image pixel at the sample surface, in nm or µm. For large-area mosaic imaging, report the pixel size of individual tiles and the number and arrangement of tiles.",Advanced,Basic,Numeric + unit,"e.g., '5 nm' | '50 nm' | '500 nm' | '2 µm (mosaic: 19x16 tiles)'",,2026-08-27,(none),Defines spatial sampling of SE or BSE images.,Y,Y,N,N,N,N,N,N,N,N,N,,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,N,N,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A
Dwell Time per Pixel,"Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds. For WDS mapping, the dwell time is per spectrometer per pixel.",Basic,Editable,Numeric + unit,"e.g., '400 ns' | '10 µs' | '1 ms'",,2026-08-27,channel,Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials.,Y,Y,N,Y,N,Y,N,N,N,N,Y,,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N,N,N,N,N/A,N,N/A,N/A,N,N,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A
EDS Acquisition Mode,"Spatial acquisition sub-strategy for EDS measurements: stationary-beam point acquisition, linescan (beam stepped along a transect at defined intervals), or area map (beam rastered over a pixel grid). Specifies how the beam is positioned during data collection within the declared Analytical Mode.",Basic,Read-Only,Controlled list,Point / spot | Line scan | Map | Automated mineralogy | Multiple (specify) | Other: specify | N/A | None,,2026-08-27,(none),Particularly important when a procedure includes linescans as a distinct acquisition approach not fully captured by the mode flag columns.,N,N,Y,Y,N,N,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,Map,N/A,Point / spot; Map,N/A,N/A,N/A,N/A,N/A,N/A,Spot analysis,Element mapping,N/A,N/A,N/A,Point spectra (spot analysis),N/A,N/A,EDS mapping,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),"e.g., 'Si, Al, Fe, Mg, Ca, Na, K, Ti, Cr, Mn, Ni, S'",Source: Analyte module,2026-08-25,defines: analyte,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,"Mg, Si, Fe, Ni, S, Na, Ca, Al","Mg, Si, Fe, Ni, S, Na, Ca, Al (element mapping)",N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-25,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technique per Analyte,Records which X-ray detection technique (EDS or WDS) was used to collect the measurement. Required when a procedure employs both EDS and WDS simultaneously. List in the same order as the Analyte field.,Basic,Read-Only,Controlled list,WDS | EDS | Other: specify | N/A | None,,2026-08-27,analyte,"Each element is assigned to the detector appropriate to its concentration range, line overlap situation, or required precision.",N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-ray Line,X-ray emission line measured.,Basic,Read-Only,Controlled list,Ka | Kb | La | Lb | Lg | Ma | Mb | Other: specify | N/A | None,,2026-08-27,channel,"Line choice affects sensitivity, matrix correction accuracy, and susceptibility to peak overlap and spectral interference.",N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
EDS Live Time per Point or Pixel,EDS spectral acquisition live time per analysis point or per pixel in seconds.,Basic,Editable,Numeric (s),"e.g., 20 | 60 | 120 | 0.005 (fast mapping)",,2026-08-27,(none),Longer live time improves counting statistics but increases beam damage risk and total acquisition time.,N,N,Y,Y,N,N,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,30 s live time per spot analysis,5 ms dwell time per pixel,N/A,N/A,N/A,20 to 200 s (per point),N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Step Size / Pixel Size,Centre-to-centre distance between adjacent measurement points (WDS mapping) or pixels (EDS mapping) in µm.,Basic,Editable,Numeric (µm) / Text,"e.g., '0.5 µm' | '1 µm' | '2.5 µm' | '10 µm (automated mineralogy)'",,2026-08-27,(none),"Defines the spatial sampling interval of the map and, together with the pixel-grid dimensions, determines the total mapped area. Smaller step sizes increase spatial resolution but extend acquisition time.",N,N,N,Y,N,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.5 µm,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
EDS Map Dimensions,Number of pixels in the EDS map in the X and Y directions. Based on the area of interest and selected pixel size.,N/A,Basic,Numeric pair (pixels x pixels),"e.g., 512x512 | 1024x768 | 2048x2048",,2026-08-27,(none),,N,N,N,Y,N,N,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1024 × 768 pixels,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Map Area,"Physical area covered by the map in µm² or mm², calculated as (map width in pixels × step size) × (map height in pixels × step size). Complements the map's pixel-grid dimensions by recording the physical scale of the mapped region.",N/A,Basic,Numeric + unit,'500 × 400 µm' | '0.2 mm²',,2026-08-27,(none),Useful for direct comparison across datasets acquired with different step sizes.,N,N,N,Y,N,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffracting Crystal,Analyzing crystal (monochromator).,Basic,Read-Only,Controlled list,LIF | LLIF | LIFL | LIFH | PET | LPET | PETL | PETH | TAP | TAPL | TAPH | LDE1 | LDE2 | LDE3 | RAP | KAP | Other: specify | Unknown | N/A | None,,2026-08-27,channel,Crystal choice determines the detectable wavelength range and dispersion.,N,N,N,N,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WDS Spectrometer Channel,"WDS spectrometer position(s) assigned to each analyte, one entry per assignment. An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup.",Advanced,Read-Only,Text (free),"e.g., 'Si=Sp1; Ti=Sp2; Cr=Sp2+Sp3 (aggregate intensity counting); Fe=Sp3' | 'Mg=Sp1; Ca=Sp4; Na=Sp5'",,2026-08-27,defines: channel per analyte,Different spectrometers may have different crystal configurations.,N,N,N,N,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sequence,"Order in which spectrometer assignments are acquired during point analysis. Not applicable to X-ray mapping, where all assigned spectrometers collect simultaneously at each pixel.",Advanced,Read-Only,Integer,"e.g., 1 | 2 | 3 | 4",,2026-08-27,channel,Relevant for minimizing beam damage (volatile elements measured first) and for sequential multi-channel setups.,N,N,N,N,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Proportional Counter / Detector,Type of detector used.,Advanced,Read-Only,Controlled list,High Pressure P10 Flow | Low Pressure P10 Flow | Xe Sealed | SDD | Si(Li) | Other: specify | Unknown | N/A | None,,2026-08-27,channel,Affects sensitivity and count rate linearity.,N,N,N,N,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WDS PHA Setting,Pulse height analyzer (PHA) setting for the WDS detector. Integral mode accepts all pulses above a threshold; Differential mode selects a narrow energy window to reject higher-order reflections and escape peaks.,Advanced,Read-Only,Controlled list,Integral | Differential | Other: specify | Unknown | N/A | None,,2026-08-12,channel,,N,N,N,N,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peak Counting Time,"Time spent counting X-ray intensity at the peak position, in seconds. Adjustments stay within procedure-defined bounds.",Basic,Editable,Numeric (s),"e.g., 10 | 20 | 30 | 60",,2026-08-27,channel,,N,N,N,N,Y,N,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Background Counting Time,"Total time spent counting at off-peak background position(s) in seconds, summed across all background positions.",Basic,Editable,Numeric (s),"e.g., 5 | 10 | 20",,2026-08-12,channel,,N,N,N,N,Y,N,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Background Position(s),"Location(s) of off-peak background measurement(s) relative to the peak, in mm or sin-theta, and whether on the high- or low-energy side.",Advanced,Editable,Text (free),"e.g., '+5 mm (High), -5 mm (Low)' | 'High only (+4 mm)' | 'MAN method (no off-peak positions)'",,2026-08-12,channel,,N,N,N,N,Y,N,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL Acquisition Mode,CL data collection strategy. Panchromatic: total light intensity collected by PMT across the full detector wavelength range. Spectral point: full CL spectrum at discrete point locations. Hyperspectral map: full CL spectrum acquired at each pixel of a raster scan.,Basic,Read-Only,Controlled list,Panchromatic | Spectral point | Hyperspectral map | Multi-channel pseudo-color | Multiple (specify) | Other: specify | N/A | None,,2026-08-11,(none),,N,N,N,N,N,N,Y,Y,N,N,N,,N/A,N/A,N/A,N/A,N/A,Panchromatic; Spectral point,N/A,Multi-channel pseudo-color,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Panchromatic imaging; hyperspectral analysis; monochromatic imaging,N/A,N/A,N/A,N/A
CL Wavelength Range,Detection wavelength range of the CL system in nm.,Basic,Read-Only,Numeric pair (nm),"e.g., '190-900 nm (PMT)' | '300-850 nm (CCD)' | '200-800 nm'",,2026-08-27,(none),The range is set by the detector sensitivity and any optical filters installed.,N,N,N,N,N,N,Y,Y,N,N,N,,N/A,N/A,N/A,N/A,N/A,N,N/A,"300–850 nm (UV ~300-400, Blue ~400-500, Green ~500-600, Red ~600-850)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A
CL Grating,"Diffraction grating specification for spectral or hyperspectral CL acquisition, including groove density and blaze wavelength. Not applicable to panchromatic-only acquisition.",Advanced,Read-Only,Text (free),"e.g., '1200 gr/mm, 500 nm blaze' | '300 gr/mm, 500 nm blaze' | '150 gr/mm (near-IR)' | 'N/A (panchromatic only)'",,2026-08-11,(none),,N,N,N,N,N,N,Y,Y,N,N,N,,N/A,N/A,N/A,N/A,N/A,"1200 gr/mm, focal length 0.3 m, F/4.2, resolution 0.5 nm, slit width 4 mm (Oxford MonoCL2)",N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A
CL Integration Time,"Acquisition time per pixel (hyperspectral map mode) or per spectrum (spectral point mode), in ms or s.",Basic,Editable,Numeric + unit,"e.g., '800 µs (hyperspectral map)' | '30 s (spectral point)' | '80 ms (panchromatic map)'",,2026-08-27,(none),Longer integration improves signal-to-noise but increases beam dose and acquisition time.,N,N,N,N,N,N,Y,Y,N,N,N,,N/A,N/A,N/A,N/A,N/A,N,N/A,80–500 ms per pixel (varied based on IR luminescence duration in carbonates),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A
Sample Tilt Angle,"Sample tilt angle for EBSD acquisition in degrees, measured from horizontal.",Basic,Read-Only,Numeric (degrees),"e.g., 70",,2026-08-27,(none),Standard EBSD geometry uses 70 degrees tilt toward the EBSD camera to maximise diffracted electron signal.,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,70 degrees,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Step Size,Distance between adjacent EBSD measurement points in the map in nm or µm. Must be smaller than the smallest grain of interest.,Basic,Editable,Numeric + unit,"e.g., '50 nm' | '200 nm' | '1 µm' | '5 µm'",,2026-08-27,(none),Only then are grain boundary positions and intragrain orientation gradients resolved.,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Frame Time,Acquisition time per EBSD diffraction pattern frame in milliseconds.,Advanced,Editable,Numeric (ms),"e.g., 15 | 50 | 100",,2026-08-27,(none),Longer frame time improves pattern quality and indexing rate but increases total acquisition time.,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Phase List,Mineral phases included in the EBSD reference pattern library for this procedure. Phases may be added for specific sample compositions beyond the expected suite for the target material.,Basic,Editable,Text (free),"e.g., 'Olivine (Fo90); enstatite; augite; plagioclase; ilmenite' | 'Troilite; pyrrhotite; kamacite; taenite'",,2026-08-27,(none),,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Hollisterite (C2/m FeAl3); kryachkoite (Cmc21 (Al,Cu)Fe6); stolperite (Pm3m AlCu)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Protective Coating Deposition,"Type and deposition conditions of the protective coating applied to the sample surface before FIB milling. E-beam deposition should be applied as the initial layer. Typical coatings: platinum (Pt) or carbon (C). State material, deposition method, beam conditions, and approximate thickness.",Basic,Editable,Text (free),"e.g., 'E-beam Pt (5 kV, 1.5 nA, ~500 nm) then Ga+ ion-beam Pt (30 kV, 0.3 nA, ~2 µm)' | 'E-beam C (5 kV) + ion-beam C (2-3 µm total)'",,2026-08-27,(none),It causes less surface damage than ion-beam deposition.,N,N,N,N,N,N,N,N,N,Y,Y,,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No coating applied; not sputtered with gold or other materials,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,12-µm wide × 4-µm tall carbon capping layer deposited on matrix areas,N,Electron-beam deposited carbon (~0.5–1 µm); followed by ion beam-deposited carbon (~2–3 µm capping layer),N/A,N/A,N/A,N,N
Coarse Milling Conditions,Ion beam voltage and current used for bulk material removal during FIB milling. For TEM specimen preparation: bulk trenching to isolate the lamella and intermediate thinning. For 3D tomography: face preparation and initial slice removal.,Basic,Editable,Text (free),"e.g., '30 kV, 2.5 nA (bulk trenching); 16 kV, 0.8 nA (intermediate thinning)'",,2026-08-11,(none),,N,N,N,N,N,N,N,N,N,Y,Y,,N/A,"30 kV, 10 pA Ga beam",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,"Standard stair step; 30 keV, currents 2.5 to 0.8 nA",Ga+ ion beam at 16–30 keV (coarse milling),Ga+ ion beam at 30 kV (initial milling); 16 kV (intermediate),N/A,N/A,N/A,N,N
Fine Polishing Conditions,Ion beam voltage and current for final thinning and surface polishing of the TEM lamella.,Basic,Editable,Text (free),"e.g., '5 kV, 0.3 nA; final polish: 2 kV, 72 pA' | '1 kV, 0.1 nA final step'",,2026-08-27,(none),"Low-voltage polishing (2 kV or below) minimises Ga implantation depth, surface amorphisation, and curtaining artifacts.",N,N,N,N,N,N,N,N,N,Y,N,,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,Various voltages down to 1 keV (polishing),Ga+ ion beam at 5 kV (final thinning) until ~100 nm thick,N/A,N/A,N/A,N,N
Foil Thickness,"Target thickness of the electron-transparent TEM lamella after final FIB polishing, in nanometres. Actual thickness may differ from target.",Basic,Editable,Numeric + unit,"e.g., '~100 nm' | '50-80 nm' | '100-200 nm'",,2026-08-27,(none),Typical range: 50-150 nm for standard TEM/STEM; 200-600 nm for XANES or tomography sections.,N,N,N,N,N,N,N,N,N,Y,N,,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,"<100 to 600 nm (variable, depending on targeted experiment)",~100 nm,N/A,N/A,N/A,N,N
Lift-out Method,Method used to transfer the FIB-prepared lamella to the TEM support grid. In-situ lift-out uses a micromanipulator inside the FIB-SEM chamber.,Basic,Read-Only,Controlled list,"In-situ (micromanipulator, Cu or Mo TEM half-grid) | Ex-situ | Other: specify | N/A | None",,2026-08-27,(none),It is the standard method for small or precious specimens.,N,N,N,N,N,N,N,N,N,Y,N,,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In-situ lift-out (standard stair step),N,In-situ lift-out; ion beam-deposited Pt weld to Cu half grids,N/A,N/A,N/A,N,N
