Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech",Wu+etal2023 | Analyte G2 + iCAP TQ ICP-MS/MS | IGGCAS
Dwell Time per Mass,"Count (dwell) time at the mass position, in milliseconds. Where the procedure defines it per sweep or per scan rather than per measurement, state that basis.",Basic,Editable,Numeric (ms) / Text,"e.g., 6 ms (most isotopes); 35 ms (¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁸Gd for REE work)",,2026-08-27,channel,"Longer dwell times improve counting statistics and lower detection limits but reduce the number of isotopes measurable within a given scan cycle time. For mapping, scan cycle time directly determines spatial resolution at a given scan speed: shorter cycle time = finer spatial resolution.",Y,Y,Y,,N,30 ms (most isotopes) / 10 ms (alternate; dual detector mode),N,N,N (not stated) [P4],N (not stated) [P4],"27Al 2 ms, 43Ca 2 ms, 89Y 1 ms, 90Zr 2 ms, 172Yb 1 ms, (172+82)Yb 100 ms, 175Lu 1 ms, (175+82)Lu 50 ms, (176+82)Hf 300 ms, (177+82)Hf 100 ms, (178+82)Hf 100 ms"
Total Integration Time per Output Data Point,"Total duty-cycle time for one complete mass-scan sweep — the sum of all per-isotope dwell times plus inter-mass settling times. Not recoverable from Dwell Time per Mass alone, because settling time is not captured there. Applies to sequential (quadrupole and single-collector sector-field) acquisition.",Basic,Editable,Numeric (s),"e.g., '0.284' | '0.31 s (24 masses, 10 ms dwell, 4 ms settling)'",,2026-08-27,(none),Sets the time resolution of the downhole signal.,Y,Y,N,,,,,,,,0.659 s
Background Count Time,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel.",Basic,Editable,Numeric (s),"e.g., '30 s (spot/transect)' | '10 s per raster line (mapping)' | '25 s (one gas blank map per GRM at session start)'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,N,25 s gas blank before each ablation,N (gas blank measured but duration not explicitly stated),N,50 s (background counted for 50 s before each LA-ICP-MS analysis) [P4],50 s (same as silicate protocol) [P4],"N — gas-blank correction applied in Iolite, duration not stated"
Multi-Run Sequential Analysis Design,"Whether the procedure uses a single acquisition pass or multiple sequential runs on the same sample location, each optimized for different analytical objectives. For multi-run designs, describe the number of runs, their purpose, key laser and instrument settings per run, and how outputs of one run feed into data reduction of another. Not applicable to raster mapping, where each spatial location is visited exactly once.",Advanced,Read-Only,Text (free),"e.g., Single run | Two sequential runs: run 1 (major elements, 30 µm circular, medium resolution) → run 2 (trace elements, 130 µm circular, low resolution; Cr from run 1 as IS) | Pre-ablation pass + single acquisition run",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,N,,Single spot per location (30 µm circular),Single spot per location (45 s ablation at 1 Hz),Single spot per location (~40 s ablation at 7 Hz),Single spot per location (sulfides; same acquisition parameters as glass but 20 µm spot),Single spot analysis per location [P4],Single spot analysis per location [P4],N
Analysis Location/Spot Coordinates,"Location of the analysis on the sample surface. For spot and transect analysis: stage coordinates (X, Y in µm) or a description relative to a named reference feature (e.g., mineral rim, inclusion boundary). For mapping: coordinates of the map corner(s) or centre, plus map dimensions.",N/A,Basic,Text (free),"e.g., 'X = 12350 µm, Y = 8760 µm (stage coordinates)' | '500 µm from metal-olivine rim toward core' | 'Map centre: X=15000, Y=9000 µm; area: 1450×600 µm'",Source: Laser Ablation module,2026-08-27,sample > sampling unit,Enables spatial reconstruction and co-registration with other analytical images.,Y,Y,Y,,N,N,N,N,N,N,N
Number of Replicates,"Number of replicate measurements performed on the same sample, or on the same nominal location where the technique is spatially resolved. For spot analysis this is the number of individual spots per grain or location; for transects, the number of replicate lines; for mapping, the number of map acquisitions of the same area; for solution work, the number of discrete replicate measurements acquired per sample solution.",Advanced,Basic,Integer,"e.g., 3 (three replicate spots per grain) | 1 (single transect) | 1 (single map)",,2026-08-27,(none),,Y,Y,Y,,"N (variable number of spots per grain; Mg, Si, P, S monitored to check for inclusions)",9 spot analyses in grid pattern for homogeneity testing; multiple analyses per fusion glass disk,N (variable per run),N (grain size >20 µm selected; number of analyzed grains variable),N (not stated),N (not stated),N
Transect Length,"Total length of the transect line analysed in micrometres. Scan speed is captured separately in Transect Rate, Mapping Rate or Step Size.",N/A,Basic,Numeric (µm),"e.g., 500 µm | 1200 µm | 3000 µm",Source: Laser Ablation module,2026-08-27,(none),Depends on the size of the feature of interest rather than being fixed in the procedure.,N,Y,N,,N/A,N/A,N/A,N/A,N/A (spot analysis),N/A (spot analysis),N
Mapping Area,"Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm². Scan speed, line spacing and spot size are fixed by the procedure; the map area covers the target feature.",N/A,Basic,Text (free),"e.g., '1450×600 µm (870,000 µm²)' | '200×200 µm' | '0.5 mm²'",Source: Laser Ablation module,2026-08-27,(none),The map area depends on the size of the grain or phase to be mapped.,N,N,Y,,N/A,N/A,N/A,N/A,N/A (spot analysis),N/A (spot analysis),N
,,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,2026-08-26,,,N,N,N,N,,,,,N,N,N
Internal Standard Approach,Method used to determine the internal standard (IS) concentration for each unknown sample.,Basic,Read-Only,Text (free),"e.g., 'Single element from EPMA (SiO₂ wt% used as IS)' | 'Sum-of-major-oxide normalization to 100% (Liu et al. 2008)' | 'Stoichiometry-derived (Ca fixed at 10.1 wt% for calcite)' | 'No IS — external calibration only'",Source: Laser Ablation module,2026-08-27,(none),Corrects for variable ablation yield between analyses.,Y,Y,Y,,Single element externally measured by EPMA: ⁶¹Ni concentration from EPMA at exact analysis location used as IS,"Two internal standards: Si from XRF SiO₂ (for Co, Ni, Cu, Zn); Al from XRF Al₂O₃ (for all other trace elements); non-matrix-matched external standards (NIST 612 + 614) used; fs laser minimizes matrix effects",Single element from EMP: Si (SiO₂ from EMP for silicate glass); NIST 610 as external standard,Single element from EMP: Fe (FeOT from EMP for sulfide); NIST 610 as external standard,Normalization to 100 wt% oxide total (for silicates and oxides) [P4],Single element IS: EMP CaO concentration used; LA-ICP-MS 40Ca counts normalized to CaO from EMP analysis at the same spot [P4],N
Internal Standard Element,"Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns. Where the element serves isotope-ratio work it must have a known isotopic composition and a mass close to the analyte's. Record 'None' together with the alternative used where no internal standard is applied.",Basic,Read-Only,Text (free),"e.g., '²⁹Si; SiO₂ wt% from EPMA' | '⁵³Cr; measured in preceding major-element run (run 1)' | 'None — sum of MgO+FeO+SiO₂+P₂O₅ = 100 wt% (Liu et al. 2008)' | For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference.",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,⁶¹Ni; concentration from EPMA measured at exact analysis spot location,"Si (SiO₂ from XRF) for Co, Ni, Cu, Zn; Al (Al₂O₃ from XRF) for all other 28 trace elements",Si from EMP (SiO₂ wt% for silicate glass),Fe from EMP (FeOT wt% for sulfide),"None (oxide sum normalization, 100 wt% total) [P4]",40Ca; CaO wt% from EMP at the analysis spot [P4],N
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated. Where a single strategy applies to all analytes, record that strategy. Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'.",Basic,Read-Only,Text (free),Single strategy: ⁴³Ca IS for all analytes (see Internal Standard fields); Multi-strategy: ⁴³Ca IS for major elements; NIST 610 external calibration for REEs; Fe+Ni+Co sum normalization for PGEs,Source: ICP-MS module,2026-08-26,analyte,,Y,Y,Y,,,,,,,,N
Elemental Fractionation Correction,"Method used to correct for laser-induced elemental fractionation (LIEF), including downhole fractionation during prolonged ablation, matrix-dependent fractionation between sample and calibration standard, and any specific correction algorithm applied. Reference the software function or publication.",Basic,Read-Only,Text (free),"e.g., 'Normalised to NIST SRM 612; no additional downhole correction' | 'Exponential downhole fractionation correction in Iolite using NIST SRM 612' | 'Linear time-drift correction applied per analysis'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,External calibration using calibration curve method with IVB iron meteorite standards; ⁶¹Ni as IS from EPMA corrects for ablation yield differences between sample and standard,Femtosecond laser substantially reduces elemental fractionation and matrix effects (stated); non-matrix-matched external standards (NIST 612 + 614) used successfully with fs laser (verified by GRM accuracy assessment),Femtosecond laser reduces LIEF; NIST 610 external standard; Si IS from EMP corrects for ablation yield,Femtosecond laser reduces LIEF; NIST 610 external standard; Fe IS from EMP corrects for ablation yield; micronuggets identified from Au signal spikes and excluded from integration,External calibration using NIST 610 glass standard analyzed before and after session; oxide-sum normalization corrects for ablation yield variation; no explicit downhole fractionation correction described [P4],External calibration using NIST 610; EMP CaO as IS corrects for ablation yield; no explicit downhole correction described [P4],N
Mass Bias Correction Strategy,"Strategy used to correct instrumental isotopic mass fractionation, also called mass bias or mass discrimination. Distinct from Elemental Fractionation Correction, which addresses inter-element fractionation during ablation and transport: this field addresses discrimination between isotopes of the same element, and applies wherever the procedure reports isotope ratios.",Basic,Read-Only,Text (free),"e.g., 'Standard-sample bracketing against NIST 612' | 'Co-aspirated Tl, exponential law' | 'None (elemental concentrations only)'",,2026-08-26,(none),,Y,Y,Y,,,,,,,,N
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,Source: ICP-MS module,2026-08-26,(none),A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.,Y,Y,Y,,,,,,,,2SE for single-spot ages; uncertainties on weighted-mean ages quoted at 2s
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),"e.g., Counting statistics only (1σ on integrated signal, Longerich et al. 1996) | SD of n replicate analyses used as combined uncertainty estimate | Full propagation: counting + calibration standard + IS uncertainty (specify formula)",Source: ICP-MS module,2026-08-26,reported property,,Y,Y,Y,,2SE of individual spot measurements reported,N (Iolite 4 internal uncertainty propagation implied),N,N,N (not stated) [P4],N (not stated) [P4],Uncertainty propagation workflow implemented in IsoplotR
Matrix Offset Correction (LIEF),Whether an empirical correction was applied to account for systematic differences in laser-induced elemental fractionation (LIEF) patterns between the external calibration standard and the sample matrix.,Advanced,Read-Only,Text (free),"e.g., 'Applied: 6.4% offset in Ca/Si determined by comparison with EPMA (Jenner & O'Neill 2012)' | 'Not applied; Ca used as IS to cancel LIEF offset' | 'Not applicable'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,N (fs laser minimizes LIEF; IVB iron meteorite standards used as matrix-matched reference),N (fs laser minimizes matrix effects),N (fs laser),N (fs laser),N (not stated; agreement within <10% between oxide-sum normalization and EMP-based IS noted as validation) [P4],N (not stated) [P4],N
Signal Integration Interval Method,"Method used to define which portion of the acquired signal is integrated for each reported measurement, and the rule for excluding unstable or anomalous portions. State whether the interval is the full acquisition, a stable sub-interval selected by inspection, or selected by an automated criterion, and name the criterion.",Basic,Read-Only,Controlled list / Text,Full acquisition | Stable interval selected by inspection | Automated threshold | Automated outlier rejection | Fixed time window | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,"Time-resolved signals monitored; analyses with elevated Mg, Si, P, S (inclusion indicators) excluded; stable signal intervals used for integration","Time-resolved signals inspected visually; flux blank contributions to pollution elements (V, Co, Zn, Ba, La, Ce, Ta, U) identified and subtracted; 9-spot grid homogeneity tested before analysis",Time-resolved LA-ICP-MS signal inspected; micronuggets identified from spikes in Au signal and excluded from integration to obtain smooth signals (verified by Fig. 1 in paper),Same approach as glass; micronugget identification from Au signal spikes critical for sulfide analyses,Time-lapse plots of each spot examined; only the plateau region used to quantify trace element abundances [P4],Time-lapse plots examined; only plateau region used (same as silicate protocol) [P4],N
Signal Integration Time,"The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition. Where the procedure computes it from an acquisition structure, record that basis.",N/A,Basic,Numeric (s),"e.g., 40 s | 60 s | Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",Source: ICP-MS module,2026-08-26,(none),It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded.,Y,Y,N,,N,45 s on-sample ablation (full ablation interval used for integration),~40 s (inferred from typical CetacAnalyte HE protocol; stable signal used),~40 s (same),N (not stated) [P4],N (not stated) [P4],N
Spike / Outlier Filtering Approach,"Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated. State where in the reduction sequence the filter is applied.",Advanced,Editable,Text (free),"e.g., 'Significant single spikes visually identified and removed in Iolite' | 'Statistical filter: data points >3σ from running mean removed' | 'No filtering applied' | 'Automated spike detection in SILLS'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,"Monitoring of Mg, Si, P, S to check for micro-inclusions (sulfides); analyses with elevated inclusion signals excluded entirely","Homogeneity index (H) applied to test element distribution; Co, Ni, Cu in high-Si glass (GSR-1) identified as near-LOD and flagged; flux blank contributions to pollution elements subtracted",Micronuggets identified from Au signal spikes in time-resolved spectra; excluded from integration (smooth signals = fully dissolved Au; Fig. 1 shows this criterion),Same approach as glass; Au spike identification critical for determining solubility vs. nugget contribution,N (not explicitly stated; implied by plateau-region selection excluding non-stable intervals) [P4],N (same as silicate protocol) [P4],N
Blank / Background Correction Method,"Method used to subtract background and, where relevant, procedural blank from the measured signal. State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied.",Basic,Read-Only,Controlled list / Text,Gas blank | On-peak zero | Solution blank | Procedural blank | On-peak zero + procedural blank | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,Gas blank measured before each spot; background period during single spot transient (rapid intensity rise and decay) used for background correction,Gas blank measured for 25 s before each ablation; background subtracted per isotope,N (background subtraction performed but method not explicitly described; implied from standard Agilent/iolite workflow),N (same as glass protocol),50 s background measurement before each analysis; background subtracted (method not explicitly described beyond counting duration) [P4],50 s background measurement before each analysis (same as silicate protocol) [P4],Gas-blank-corrected intensities calculated in Iolite v.3.7 from time-resolved intensities
Pulse/Analog Detector Nonlinearity Correction,"Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog (and Faraday, for triple-mode instruments) detection modes. Cross-calibration factors between detector modes must be confirmed, typically measured each session. Record 'Applied' and describe the method, the detector modes involved and the analytes affected; 'None' where a crossover exists on this instrument but no correction was made, giving the reason; and 'N/A' where the detector is pulse-counting only and no crossover exists.",Advanced,Editable,Controlled list / Text,Applied | N/A | None,,2026-08-31,(none),,Y,Y,Y,,N (quadrupole X-series 2; single detector mode),Applied: dual detector mode (30 ms / 10 ms dwell alternation),N,N,N (not stated) [P4],N (not stated) [P4],N
Spectral Interference Corrections Applied,"Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell. Detail for each affected mass is carried by Interfering Species and Interference Correction Method.",Basic,Read-Only,Controlled list / Text,"e.g., 'Yes — ⁸⁷Rb on ⁸⁷Sr, corrected from the ⁸⁵Rb monitor' | 'Yes — doubly-charged Er and Yb on the Sr and Rb masses' | 'No explicit corrections applied; medium resolution resolves the polyatomic interferences' | N/A | None",Source: ICP-MS module,2026-08-27,(none),,Y,Y,Y,,"No explicit corrections applied; monitoring of Mg, Si, P, S used to detect and exclude inclusion-contaminated analyses rather than correct for spectral interferences","Yes — fs laser substantially reduces oxide and matrix interferences; flux blank contributions to V, Co, Zn, Ba, La, Ce, Ta, U identified and subtracted",Yes (fs laser reduces interferences),Yes (fs laser reduces interferences),N (not stated) [P4],N (not stated) [P4],Yes — 176Lu and 176Yb on (176+82)Hf
Interfering Species,"The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam. Name each species and the mass it affects.",Basic,Read-Only,Text (free),"e.g., '⁸⁷Rb on ⁸⁷Sr; ¹⁷⁰Yb²⁺ on ⁸⁵Rb' | '⁴⁰Ar³¹P⁺ on ⁷¹Ga; ⁴⁴Ca¹⁶O⁺ on ⁶⁰Ni' | '¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu' | 'None'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,,"Sulfide inclusions detectable via ³³S signal; phosphide inclusions via ³¹P; silicate inclusions via ²⁴Mg, ²⁹Si (used to exclude contaminated analyses)","Li₂B₄O₇ flux blank contains V, Co, Zn, Ba, La, Ce, Ta, U at detectable levels; subtracted as blank contribution",N,N,N (not stated) [P4],N (not stated) [P4],"176Lu and 176Yb on the (176+82)Hf product mass, monitored via 175Lu and 172Yb"
Interference Correction Method,"Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard. Name the reference material used.",Basic,Read-Only,Text (free),"e.g., 'Mathematical correction: ⁸⁷Sr_corrected = ⁸⁷Sr_measured − f(⁸⁷Rb/⁸⁵Rb) × ⁸⁵Rb' | 'Cool plasma (800 W) reduces ⁴⁰Ar-based argides by >90% for ⁶⁰Ni and ⁷¹Ga' | 'KED mode (He collision gas 4 ml min⁻¹) suppresses polyatomic interferences'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,,"Exclusion-based approach: analyses with elevated Mg, Si, P, S (from silicate, phosphate, or sulfide inclusions) excluded entirely rather than applying mathematical corrections","Flux blank subtraction: blank contribution to each pollution element (V, Co, Zn, Ba, La, Ce, Ta, U) measured in procedure blanks and subtracted; LOQ for pollution elements = blank value + 10SD",N,N,N (not stated) [P4],N (not stated) [P4],"Reaction-rate correction: (176+82)Hf = (176+82)total - (176Lu/175Lu)true x (175+82)Lu_measured - (176Yb/172Yb)true x (172+82)Yb_measured, using 176Lu/175Lu = 0.02655 and 176Yb/172Yb = 0.5887; contributions expressed as pLu(%) and pYb(%)"
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements. For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used. Record 'None' where neither isotope dilution nor double-spike methods are applied.",Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A,Source: ICP-MS module,2026-08-30,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Memory Effect Mitigation,"Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one. Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions. At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved.",Advanced,Editable,Text (free),"e.g., 'Extended washout (≥60 s He flush) between high-concentration standards and unknowns' | 'Scan speed set so that washout time (<1 s) is shorter than pixel acquisition interval' | 'None required for this element suite'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N (single spot analyses; no sequential memory effect described),25 s washout between analyses (25 s gas blank → 45 s ablation → 25 s washout),N,N,N (not stated) [P4],N (not stated) [P4],N
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",Advanced,Editable,Text (free),"e.g., 'None' | '100% oxide sum normalization applied per pixel to enforce mass balance (Liu et al. 2008)' | 'Normalized to ⁸⁸Sr/⁸⁶Sr = 8.37521 for mass bias correction in Sr isotope analysis'",Source: Composition QC module,2026-08-27,reported property,,Y,Y,Y,,No post-acquisition normalization; calibration curve method using IVB standards provides direct quantification,No post-acquisition normalization beyond IS approach (two IS elements applied element-specifically),No post-acquisition normalization beyond IS (Si from EMP),No post-acquisition normalization beyond IS (Fe from EMP),100% oxide total normalization applied per analysis for silicates and oxides; NIST 610 used for external calibration before and after session [P4],No post-acquisition normalization; EMP CaO applied directly as IS; NIST 610 for external calibration [P4],"Two-step calibration: external correction of mass bias and fractionation against NIST SRM 610, then a matrix-induced correction against matrix-matched XN02 xenotime"
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-26,reported property,,Y,Y,Y,,,,,,,,N
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),,Source: Blank module,2026-08-26,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,Y,Y,Y,,,,,,,,N
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-26,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Y,Y,Y,,,,,,,,"Acquired and included counts both stated: 'A total of 246 spot analyses were undertaken in 20 analytical sessions over 3 months, 236 of which yielded a weighted-mean age of 515.4 +/- 1.2 Ma'. The rejection rule itself is not stated"
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-26,(none),,Y,Y,Y,,,,,,,,"NIST SRM 610 recommended values 176Lu/177Hf = 0.1379 +/- 0.0050 and 176Hf/177Hf = 0.282111 +/- 0.000009, as determined by ID-MC-ICP-MS; 176Lu/175Lu = 0.02655; 176Yb/172Yb = 0.5887; 177Hf/178Hf = 0.682; 176Lu half-life ~37.12 Ga"
,,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,2026-08-26,,,N,N,N,N,,,,,N,N,N
Primary Calibration Standard Name,"Name and reference material identifier of the primary reference material(s) against which the instrument is calibrated — converting raw signal intensities to concentrations, or anchoring an isotope ratio as the bracketing standard or zero-delta reference. Give the material name, its source or supplier, and a citation for the accepted values used. Where calibration instead uses the vendor's stored library or theoretical response factors rather than measured reference materials — 'standardless' or 'semi-quantitative' quantification — record that here, naming the library or model used. 'None' means no calibration was performed at all, which is a different answer.",Basic,Editable,Text (free),"e.g., 'NIST SRM 612 (Jochum et al. 2011, doi:10.1111/j.1751-908X.2011.00120.x)' | 'USGS BCR-2G (GeoReM preferred values, georem.mpch-mainz.gwdg.de)'",Source: Composition QC module,2026-08-30,analyte,Results calibrated against different published values for the same material are not directly comparable.,Y,Y,Y,,Warburton Range (IVB iron meteorite; Walker et al. 2008) — used as primary external standard and for calibration curve method,NIST SRM 612 + NIST SRM 614 (non-matrix-matched external standards); self-made BHVO-2 lithium borate glass (matrix-matched) tested as alternative but NIST 612+614 found sufficient with fs laser,NIST 610 (primary external standard; Jochum et al. 2011); Si from EMP as IS,NIST 610 (primary external standard); Fe from EMP as IS,NIST 610 glass standard [P4],NIST 610 glass standard [P4],NIST SRM 610
Calibration Standard Measurement Frequency,"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample.",Basic,Read-Only,Text (free),Before and after every 5 unknowns | Bracketing every 10 samples | Start and end of session only | N/A | None,Source: ICP-MS module,2026-08-30,(none),"For LA-ICP-MS, this defines the bracketing interval between calibration standard ablations used to monitor and correct for instrumental drift.",Y,Y,Y,,N,NIST SRM 612 and 614 measured as external standards within session; BHVO-2 and other GRMs as unknowns,NIST 610 as primary; NIST 612 and BCR-2G as monitoring standards,Same bracketing as silicate glass protocol,NIST 610 glass standard analyzed before and after every session [P4],NIST 610 analyzed before and after every session (same as silicate protocol) [P4],N
Secondary Reference Materials,"Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.",Basic,Editable,Text (free),"e.g., 'NIST SRM 610 (Jochum et al. 2011); GOR132-G (Jochum et al. 2006)' | 'BHVO-2G (GeoReM), BCR-2G (GeoReM)'",Source: Composition QC module,2026-08-27,defines: standard,,Y,Y,Y,,Tawallah Valley (IVB iron meteorite; Walker et al. 2008) — measured as secondary/check standard alongside unknowns,"AC-E (granite, CRPG), GSR-1 (granite, NRCG), JB-1b (basalt, GSJ), GSR-3 (basalt, NRCG), AGV-2 (andesite, USGS), W-2A (diabase, USGS) — 6 GRMs covering mafic to felsic rock types analyzed as unknowns; also NWA14526 (lunar basalt) and NWA13190 (shergottite) compared with SN-ICP-MS",NIST SRM 612 and BCR-2G (monitoring standards measured in same sessions),NIST SRM 612 and BCR-2G (same monitoring standard set as glass protocol),N (not stated) [P4],N (not stated) [P4],XN02 xenotime as a matrix-matched reference material to correct matrix-induced elemental fractionation of Lu/Hf between SRM 610 and the samples
