Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Budde+etal2016 | Neptune Plus | IfP Münster,Craddock+etal2008 | Thermo NEPTUNE | WHOI,Hopp+etal2021 | Neptune (Plus spec) | Univ Chicago,Hu+etal2022 | Neptune Plus | Univ Chicago,IbanezMejia+Tissot2020 | Nu Plasma II | MIT,Nie+Dauphas2019 | Neptune | Univ Chicago,Nowell+etal2008 | Neptune | Durham AHIGL,Nowell+etal2008 | Nu Plasma | NIGL,Pringle+Moynier2017 | Neptune Plus | IPGP,Schönbächler+etal2025 | Neptune Plus | ETH Zurich,vanKooten+etal2026 | Thermo Neoma | Univ Copenhagen,Broussard+etal2026 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | ETH Zurich
Baseline Measurement Approach,"Method and timing for measuring the ion beam baseline (on-peak zero) during acquisition, and the portion of the acquisition it is taken from. Three approaches are in use: deflecting the ion beam (beam-off or electrostatic deflector); aspirating an acid blank; or collecting a defined number of laser-off cycles at the start of the same block. State which, and how many cycles or how long.",Basic,Read-Only,Text (free),Beam deflector on-peak zero; 1 baseline block of 1 cycle (4.194 s) per measurement block | On-peak zero measured before each sample by aspirating 0.3 M HNO3 for 10 cycles | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-26,(none),"The choice depends on how sample reaches the plasma — an acid blank applies only to solution introduction, and for laser ablation no blank can be aspirated mid-ablation.",,40 on-peak-zero baseline integrations of 8.4 s preceding each measurement,N,"""On peak zero intensities from a blank solution measured at the beginning of each sequence were subtracted from all individual measurements""",N,"""On-peak-zero correction was done using the mean acid blank intensities before data processing to account for blank contribution as well as any 'memory' effects from the Aridus II sample introduction system during the run""",N,"Electronic baselines ""measured, on peak with the line of sight valve closed""; peak centering and baselines ""were not carried out at the start of each analysis to reduce measurement time and conserve sample but were repeated several times during an analytical session""",N,N,"Both: ""Electronic baselines were measured for 30 s prior to each analysis. An on-peak background correction was performed.""",On-peak baseline — Fe 25 x 16.7 s; Cr 75 s; Mg 25 x 16.7 s,N,N,N
Wash Time Between Samples,Duration of instrument rinse between successive sample solutions (seconds).,Basic,Read-Only,Numeric (s),120 | 180 | 210 | 300,Source: Solution Introduction module,2026-08-26,(none),"Controls carryover and memory effects. For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions.",,N,2 min for solution work (4 min for laser),210 s,300 s rinsing between bracketed measurements,N,"60 s wash in 0.45 M HNO3, with a 90 s take-up time","""Teflon-distilled (TD) 3 or 5 mol/l HCl acid was aspirated between analyses until the 192Os beam decreased to acceptable background levels""; not required in single-RM sessions",TD 3 mol/l HCl aspirated between analyses until the Os beam decreased to acceptable background levels,N,N,N,N,N,N
Analysis Sequence,"The repeating order in which calibration or bracketing standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session. Adjustments must maintain the bracketing strategy defined in the procedure.",Basic,Editable,Text (free),"SSB: sample bracketed by two standards (Std1–Sample–Std2) | Double-spike: spiked standards bracketing spiked samples | SSB + secondary RM every 5 samples | N/A | None | Other: specify | For SSB procedures, each sample is bracketed by two standards (standard–sample–standard); the bracketing standard is the same isotopic material as the zero-delta reference.",Source: ICP-MS module,2026-08-27,(none),,,"Bracketing runs of the Alfa Aesar solution standard; BHVO-2 digestions ""analyzed together with each set of samples""",N,"""Sample analyses were bracketed by measurements of the reference material IRMM-524a""","Standard-sample bracketing — ""On average, LREEs were measured nine times bracketed by OL-REE isotope standard spaced apart by 300-s rinsing time""","""Each sample measurement was individually bracketed by measurements of the ZrNIST solution spiked at the same level as our samples and matched in concentration (60 ng/g) as well as acid matrix""; each measurement preceded by an acid blank",Standard-sample bracketing,N,N,"Standard-sample bracketing; an external pure Rb ICP-MS solution ""analyzed as an external standard during each analytical session to monitor the reproducibility""","Standard sample bracketing against NIST SRM 3169; ""The Zr standard material NIST SRM 3169 was analyzed in each session""","Standard-sample bracketing, ""ten individual standard-bracketed sample analyses"" per reported value",Standard-sample bracketing against NIST SRM 3141a; BHVO-2 measured alongside the samples,"Standard-sample bracketing for all analyses; BHVO-2 ""analysed alongside all sample analyses""",N
Collision Gas Type,"Type of collision gas introduced into the collision/reaction cell in KED mode. Helium (He) is the standard collision gas for kinetic energy discrimination, being low in mass and chemically inert. Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Read-Only,Controlled list / Text,He | H2 | He+H2 | N/A | None,Source: collision/reaction cell module,2026-08-27,channel,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Collision Gas Flow Rate,"Flow rate of the collision gas, typically He, introduced into the collision/reaction cell in KED mode, in mL/min. Controls the degree of ion thermalization and KED efficiency; higher flow rates give greater interference suppression at the cost of analyte sensitivity. Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Editable,Numeric (mL/min),0.5 | 4.5 | 5.2 | N/A,Source: collision/reaction cell module,2026-08-27,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Cell Exit Discrimination Voltage,"Bias voltage applied at the collision/reaction cell exit to discriminate between analyte ions and low-energy polyatomic interferences in KED mode, in volts (V). A negative bias preferentially retards slow polyatomic ions while transmitting faster analyte ions, controlling the degree of polyatomic suppression. Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Editable,Numeric (V),−2 | −5 | N/A,Source: collision/reaction cell module,2026-08-27,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Reaction Gas Type,"Type of reactive gas introduced into the dynamic reaction cell (DRC) for interference removal through ion-molecule reactions. Common reaction gases include NH₃ (e.g., for Fe, Ca, K isotopes), O₂ (e.g., for As, Ge) and CH₄. Record 'None' if DRC mode is not used, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC or the instrument has no cell.",Advanced,Read-Only,Controlled list / Text,NH3 | O2 | CH4 | N/A | None,Source: collision/reaction cell module,2026-08-27,channel,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Reaction Gas Flow Rate,"Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC), in mL/min. Record 'None' if DRC mode is not used, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC or the instrument has no cell.",Advanced,Editable,Numeric (mL/min),N/A,Source: collision/reaction cell module,2026-08-27,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Internal Standard Element,"Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns. Where the element serves isotope-ratio work it must have a known isotopic composition and a mass close to the analyte's. Record 'None' together with the alternative used where no internal standard is applied.",Basic,Read-Only,Text (free),Cu (65Cu/63Cu for Fe procedures) | Ni (62Ni/58Ni for Fe procedures) | Tl (205Tl/203Tl for Pb procedures) | Cd (113Cd/111Cd for Sb procedures) | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,"N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element","N/A — mass bias corrected by standard-sample bracketing, internal normalization or a double spike rather than by an added internal standard element"
Internal Standard Concentration,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb). Record 'N/A' where Internal Standard Element is 'None'.,Advanced,Read-Only,Numeric (µg/L),"e.g., '5 µg/L In' | '10 µg/L Rh' | '1–10 µg/L (In, Rh, Re multi-element)' | '20 µg/L (high-dilution runs)'",Source: Solution Introduction module,2026-08-26,(none),,,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element,N/A — no added internal standard element
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The monitored ratio is procedure-dependent: ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use.",Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 0.5% | CeO+/Ce+ < 0.3%; BaO+/Ba+ (m/z 154/138) < 0.1% | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"Stricter oxide thresholds may be required for analytes sensitive to oxide interferences (e.g., BaO+ on REE isotopes).",,N,N,N,N,N,N,N,N,N,Argide and Ar-Ar-oxide interferences on 94Zr and 96Zr minimised by tuning; no numeric threshold stated,N,N,N,N
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),CeO+/Ce+ = 0.3% (threshold < 0.5% met) | BaO+/Ba+ = 0.07% (threshold < 0.1% met),Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Peak Flatness Method and Threshold,"Method used to verify that every collector sits on a flat region of its peak top simultaneously, and the acceptance threshold applied before analysis begins. Typically assessed by scanning across the peak plateau, or by comparing ratios measured at slightly offset mass positions.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),"Specific to simultaneous collection: a sequential instrument centres one mass at a time, whereas a multi-collector array must have all cups on flat peak tops at once or the measured ratio carries a peak-shape bias that no downstream correction removes.",,N,N,"Measurements made ""on the flat-topped peak shoulder"" in MR or HR mode; no numeric threshold stated",N,N,N,"Tuned for ""optimal peak shape""; mass calibration updated by peak-centering on the centre-cup mass 187Os. No numeric threshold stated",N,N,N,N,"Measurements taken ""on the left 'shoulder' of the peak""; no numeric threshold stated",N,N
Peak Flatness,"Peak flatness actually achieved in the session, assessed against the criterion registered by the procedure.",N/A,Basic,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),"Companion measured value to Peak Flatness Method and Threshold, following the criterion-versus-measurement split used for Oxide Production.",,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),"e.g., '23 ns (SEM behind L4)' | '20 ns each on the four ion counters' | 'N/A (Faraday cups only)'",Source: ICP-MS module,2026-08-26,channel,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,2026-08-26,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mass Bias Correction Strategy,"Primary strategy used to correct for instrumental isotopic mass fractionation. In solution MC-ICP-MS, instrumental mass bias is typically 3–5%/amu and must be corrected before isotope ratios can be interpreted geochemically. Four main strategies: (1) Sample-standard bracketing (SSB): alternating sample and isotopic standard measurements; bias interpolated linearly between bracketing measurements. (2) Double-spike: a mixture of two enriched isotopes of the analyte element added before digestion provides an internal monitor of both instrumental and chemical mass fractionation. (3) Internal normalization: an element of known isotopic composition added to samples and standards; measured ratio of normalizing element used to calculate the mass bias factor applied to analyte ratios. (4) SSB + internal normalization: both strategies applied simultaneously for redundant bias correction.",Basic,Read-Only,Text (free),SSB | Double-spike | Internal normalization | SSB + internal normalization | N/A | None | Other: specify,,2026-08-26,(none),,,"Internal normalization to 98Mo/96Mo = 1.453173 using the exponential law, plus bracketing against the Alfa Aesar standard",Standard-sample bracketing against matrix-matched purified S solutions,"Internal normalization to 57Fe/56Fe = 0.023095 or 57Fe/54Fe = 0.362549 using the exponential law, with IRMM-524a bracketing","Standard-sample bracketing against OL-REE standards — ""SSB is advantageous over the double-spike approach because one can distinguish mass-dependent fractionation from isotopic anomalies""","91Zr-96Zr double spike inversion, with ZrNIST bracketing after inversion",Standard-sample bracketing against NIST SRM984,Instrumental mass bias correction applied offline in Excel alongside abundance sensitivity and W/Re interference corrections,"""Samples were processed on-line for W and Re interferences and instrumental mass bias""","""Measurements were made using standard-sample bracketing to correct for instrumental mass bias""",Internal normalization to 94Zr/90Zr = 0.3381 using the exponential law; an initial Mo correction uses a mass bias relative to 91Zr/90Zr = 0.21798; results reported by standard sample bracketing to NIST SRM 3169,Standard-sample bracketing,Standard-sample bracketing against NIST SRM 3141a,"""To correct for instrument mass bias, the sample–standard bracketing technique was used for all analyses""",Standard-sample bracketing
Mass Fractionation Law,"Mathematical law used to parameterize instrumental isotope mass fractionation as a function of mass difference. The linear law assumes fractionation proportional to mass difference. The power law is an alternative formulation. For double-spike procedures, the law is embedded in the inversion algorithm and must be consistent between spike calibration and sample data reduction.",Basic,Read-Only,Controlled list,Exponential | Linear | Power | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-26,(none),The exponential law (Maréchal et al. 1999) is most widely used and theoretically best justified for MC-ICP-MS.,,Exponential law,N,Exponential law,N,Power-law form used in the double-spike inversion equation,N,N,N,N,Exponential law,N,N,N,N
Double-Spike Isotope Pair,The pair of enriched isotopes used to construct the double spike. Both isotopes must be naturally rare and free from isobaric interferences. The double spike composition must be accurately calibrated before use. Specify both isotope masses and the spike certificate or calibration reference. Record 'N/A' where the procedure does not use a double spike.,Basic,Read-Only,Text (free),233U–236U (IRMM-3636) | 117Sn–122Sn (in-house calibrated) | 57Fe–58Fe | 61Ni–62Ni | 204Pb–207Pb | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-26,(none),The pair is chosen to minimise error magnification in the inversion.,,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,91Zr-96Zr,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used
Double-Spike Mixing Ratio,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. The optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' where the procedure does not use a double spike.",Advanced,Editable,Text (free),~0.40 (spike fraction; optimal for 117Sn–122Sn) | ~0.5 spike:sample | N/A | None,Source: MC-ICP-MS module,2026-08-26,(none),An optimal mixing ratio minimises error propagation through the double-spike inversion.,,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,"0.43:0.57 spike-to-sample Zr mass ratio, described as optimal",N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used
Double-Spike Inversion Algorithm,"Mathematical algorithm used to simultaneously solve for the true sample isotope ratio and the mass fractionation factor from the measured spike-sample mixture. Common implementations: iterative Newton-Raphson solution, matrix algebraic approach, or published software (e.g., Rudge et al. 2009 Double Spike Toolbox). Specify the algorithm or software reference and version. Record 'N/A' where the procedure does not use a double spike.",Basic,Read-Only,Text (free),Rudge et al. (2009) Double Spike Toolbox | Iterative Newton-Raphson (Compston & Oversby 1969) | In-house spreadsheet implementing exponential-law inversion | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-26,(none),,,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,"""a minimization approach implemented in Mathematica, taking into account all ratios (i.e., 91/90Zr, 92/90Zr, 94/90Zr, and 96/90Zr) with different weighs being assigned to each based on their associated uncertainty"", cross-checked against two exact three-ratio solutions",N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used,N/A — no double spike used
Internal Normalization Element and Isotope Ratio,"Element and isotope ratio used as the internal normalization standard for mass bias correction. Specify the element, the monitored isotope ratio (e.g., 113Cd/111Cd for Sb measurements), and the certified or consensus value used for correction. Record 'N/A' where the procedure does not use internal normalization.",Basic,Read-Only,Text (free),60Ni/58Ni = 0.38579 (from IUPAC 2021) for Fe-Ni doping | 65Cu/63Cu = 0.44561 for Fe-Cu doping | 113Cd/111Cd = 0.95542 (Abouchami et al. 2012) for Sb | 205Tl/203Tl = 2.38714 for Pb | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-26,(none),"The measured ratio of the normalizing element is used to calculate the mass bias factor β using the chosen mass fractionation law, which is then applied to correct the analyte isotope ratios assuming β_norm ≈ β_analyte.",,98Mo/96Mo = 1.453173,N,"57Fe/56Fe = 0.023095 or 57Fe/54Fe = 0.362549, the certified ratios of IRMM-014",N,N,"N/A — Rb has two stable isotopes, so internal normalization is not possible; bracketing used instead",N,N,N/A — Rb has two stable isotopes; bracketing used instead,94Zr/90Zr = 0.3381 (Minster & Ricard 1981),N,N,N,N
Isotope Ratio Reported,"Specific isotope ratio pair(s) reported as primary data output. The denominator isotope is typically the reference mass used in the delta notation (e.g., 54Fe for Fe isotopes, 235U for U isotopes). Report all ratio pairs routinely calculated and reported.",Basic,Read-Only,Text (free),56Fe/54Fe and 57Fe/54Fe | 238U/235U | 122Sn/118Sn | 123Sb/121Sb | 206Pb/204Pb; 207Pb/204Pb; 208Pb/204Pb | N/A | None | Other: specify,,2026-08-26,reported property,,,iMo/96Mo,34S/32S and 33S/32S,Fe isotope ratios relative to IRMM-524a,N,"91/90Zr, 92/90Zr, 94/90Zr, 96/90Zr",87Rb/85Rb,"187Os/188Os, 186Os/188Os, 184Os/188Os","187Os/188Os, 186Os/188Os, 184Os/188Os",87Rb/85Rb,"91Zr/90Zr, 92Zr/90Zr, 96Zr/90Zr",N,N,"41K/39K, 65Cu/63Cu, 66Zn/64Zn",50Ti
delta or epsilon Value Reference Standard,"International or community-accepted isotopic reference standard used as the zero-delta anchor for expressing isotopic compositions in delta (δ, per mil) or epsilon (ε, per ten thousand) notation: δⁱX = [(ⁱX/ʲX)sample / (ⁱX/ʲX)reference − 1] × 1000‰. The reporting reference is a per-study or per-publication decision and is specified at analysis level. Specify the standard name, lot or batch number where applicable, and the certified or consensus isotope ratio used for normalization.",N/A,Basic,Text (free),IRMM-014 (Fe; Taylor et al. 1992) | CRM-112a / SRM-960 (U) | NIST SRM 981 (Pb) | NIST SRM 3102a (Sb) | Sn_IPGP (in-house Sn standard) | JMC Lyon (Zn) | N/A | None | Other: specify,,2026-08-26,analyte,,,Alfa Aesar solution standard,"V-CDT scale via IAEA-S-1, S-2, S-4 and NBS-123","IRMM-524a, ""that has an identical isotopic composition to IRMM-014""","OL-REE series, prepared in-house from high-purity ESPI oxide powder",ZrNIST,NIST SRM984,N,N,NIST SRM984 RbCl; the basalt geostandard BCR-2 used as an alternative bracketing standard in some sessions,NIST SRM 3169,"IRMM-014 (Fe), SRM979 (Cr), DTS-2b (Mg)",NIST SRM 3141a,"NIST-SRM 3141a (K), NIST-SRM 976 (Cu), JMC-Lyon (Zn)",N
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated. Where a single strategy applies to all analytes, record that strategy. Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'.",Basic,Read-Only,Text (free),"Not applicable (isotope ratios only) | Isotope dilution via double-spike inversion (concentrations co-determined with isotope ratios) | IUPAC isotope dilution equations (separate ID spike) | N/A | None | Other: specify | For procedures producing isotope ratios only (no concentration output), record 'Not applicable (isotope ratios only)'. | For double-spike procedures that simultaneously yield concentrations, record the ID calculation approach.",Source: ICP-MS module,2026-08-26,analyte,,,N,N,N,"One OL-REE series standard per REE, with separate cup configurations for Dy and Yb",N,N,N,N,N,N,"One bracketing standard per analyte — IRMM-014 for Fe, SRM979 for Cr, DTS-2b for Mg",N,"One bracketing standard per analyte — NIST-SRM 3141a for K, NIST-SRM 976 for Cu, JMC-Lyon for Zn; run concentrations also differ by analyte (200 ppb for K and Zn, 100 ppb for Cu)",N
Signal Integration Interval Method,"Method used to define which portion of the acquired signal is integrated for each reported measurement, and the rule for excluding unstable or anomalous portions. State whether the interval is the full acquisition, a stable sub-interval selected by inspection, or selected by an automated criterion, and name the criterion.",Basic,Read-Only,Controlled list / Text,Full acquisition | Stable interval selected by inspection | Automated threshold | Automated outlier rejection | Fixed time window | N/A | None,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Signal Integration Time,"The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition. Where the procedure computes it from an acquisition structure, record that basis.",N/A,Basic,Numeric (s),Calculated from blocks × cycles per block × integration time per cycle.,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Blank / Background Correction Method,"Method used to subtract background and, where relevant, procedural blank from the measured signal. State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied.",Basic,Read-Only,Controlled list / Text,Gas blank | On-peak zero | Solution blank | Procedural blank | On-peak zero + procedural blank | N/A | None,Source: ICP-MS module,2026-08-26,(none),"For isotope ratio procedures where procedural blank is minor relative to the sample signal, on-peak zero is often sufficient.",,On-peak-zero baseline integrations subtracted,N,On-peak zero from a blank solution subtracted from all measurements,N,On-peak-zero correction using mean acid blank intensities,N,"Corrections applied offline for abundance sensitivity, W and Re atomic interferences and instrumental mass bias",N,N,"""An on-peak background correction was performed""; background corrections averaged 0.3, 2 and 98 ppm for 91Zr/90Zr, 92Zr/90Zr and 96Zr/90Zr",On-peak baseline measurement preceding each analysis,N,N,N
Spike / Outlier Filtering Approach,"Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated. State where in the reduction sequence the filter is applied.",Advanced,Editable,Text (free),2σ exclusion on per-cycle ratios | Grubbs test | Visual inspection | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,"""any ratio outside 2σ was discarded""",N,N,N,N,N
Isobaric Interference Corrections Applied,"Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell. Detail for each affected mass is carried by Interfering Species and Interference Correction Method.",Basic,Read-Only,Controlled list / Text,Yes | No | N/A | None,Source: ICP-MS module,2026-08-26,(none),"In solution MC-ICP-MS, chemical separation is the primary interference mitigation; mathematical corrections address residual contributions.",,Yes — Zr and Ru on Mo masses,Yes — the paper is built around correcting isobaric interferences and mass bias for S,"Yes — 54Cr on 54Fe and 58Ni on 58Fe, plus argide molecular interferences","Yes — Er on Dy, and neighbouring-element isotopes generally",Yes — Mo on Zr,Yes — 87Sr on 87Rb,Yes — W and Re on Os,Yes — W and Re on Os,"Yes — 87Sr on 87Rb, Sr isotopes monitored","Yes — Mo and Ru on Zr, plus Fe- and Cr-argides and Ar-Ar-oxides","Yes — 49Ti, 51V and 56Fe monitored to correct interferences on Cr","Yes — 40Ar1H+ on 41K+, resolved by peak-shoulder measurement","Yes — ArH+ on K, lowered by dry plasma and a high-resolution slit",N
Interfering Species,"The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam. Name each species and the mass it affects.",Basic,Read-Only,Text (free),"54Cr+ on 54Fe+; 58Ni+ on 58Fe+ | 204Hg+ on 204Pb (corrected via 202Hg monitor) | 238U abundance sensitivity tail on 235U and 236U | None | N/A | Other: specify | Includes direct isobars (e.g., 54Cr+ on 54Fe+, 58Ni+ on 58Fe+), abundance sensitivity tailing (e.g., 238U tail on 235U and 236U in U isotope measurements), and hydride interferences (e.g., 238UH+ at mass 239).",Source: ICP-MS module,2026-08-26,channel,,,"Zr and Ru, monitored on 91Zr and 99Ru",N,"54Cr on 54Fe, 58Ni on 58Fe, and argide ions 40Ar13C+, 40Ar14N+, 40Ar16O+, 40Ar16O1H+ and 40Ar18O+",162Er and 164Er on 162Dy and 164Dy,"Mo, monitored on masses 95 and 98","87Sr on 87Rb, monitored at 88Sr",182W/184W/186W and 185Re/187Re,W and Re,87Sr on 87Rb; also double-charged Er and Yb isotopes,"95Mo, 99Ru, 101Ru; 40Ar2 16O+ and 40Ar2 14N+ on 96Zr+ and 94Zr+","49Ti, 51V, 56Fe on the Cr masses",40Ar1H+ on 41K+,ArH+ on K,N
Interference Correction Method,"Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard. Name the reference material used.",Basic,Read-Only,Text (free),Monitor mass correction: 202Hg signal × (204Hg/202Hg)natural to correct 204Pb | Abundance sensitivity tailing factor measured weekly from pure U standard | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,channel,,,Monitoring 91Zr and 99Ru,N,Simultaneous monitoring of 53Cr and 60Ni on 10^12 Ω amplifiers; argides resolved by measuring on the flat-topped peak shoulder in MR or HR mode,"Subconfiguration scaling — 166Er measured only in the subconfiguration, 163Dy in both; the 166Er/163Dy ratio is scaled onto the main configuration and multiplied by 162Er/166Er and 164Er/166Er to subtract the interferences","A doping calibration: ""Offset δ94/90ZrNIST = −63.4 · x"" where x is the total Mo/Zr atomic ratio; the reported data are uncorrected for residual Mo","Correction assuming a constant terrestrial 87Sr/88Sr = 0.085, with a sensitivity test over 0.0835–0.0885 showing a maximum shift of 0.008 permil","Monitor isotopes 184W, 186W and 187Re; abundance sensitivity determined by scanning the low mass tail of a 30 V 192Os beam using the SEM and fitting a curve to the tail — 0.5 to 1 ppm in the Os mass range","Online W and Re correction; abundance sensitivity greater than 1 ppm ""since the analyser pressure was higher at ~2 x 10^-8 mbar""",N,"Mo and Ru corrections calculated from the signals on mass 95, 99 and 101, with an initial Mo correction using a mass bias relative to 91Zr/90Zr = 0.21798","Simultaneous monitoring of 49Ti, 51V and 56Fe",N,N,N
