Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EDS Point Analysis (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | EDS Point Analysis (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Mapping (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Point Analysis (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Point Analysis (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Mapping (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Point Analysis (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (JEOL 7600F, NASA JSC, 15 kV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
Step Size / Pixel Size,"Centre-to-centre distance between adjacent measurement points (WDS mapping) or pixels (EDS mapping) in µm. Defines the spatial sampling interval of the map and, together with the pixel-grid dimensions, determines the total mapped area. Smaller step sizes increase spatial resolution but extend acquisition time.",Basic,Editable,Numeric + unit,"e.g., '0.5 µm' | '1 µm' | '2.5 µm' | '10 µm (automated mineralogy)'",,2026-08-12,(none),N,Y,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.5 µm,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
EDS Map Dimensions,Number of pixels in the EDS map in the X and Y directions. Determined at analysis time based on the area of interest and selected pixel size.,N/A,Basic,Numeric pair (pixels x pixels),"e.g., 512x512 | 1024x768 | 2048x2048",,2026-08-11,(none),N,Y,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1024 × 768 pixels,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Map Area,"Physical area covered by the map in µm² or mm², calculated as (map width in pixels × step size) × (map height in pixels × step size). Complements the map's pixel-grid dimensions by recording the physical scale of the mapped region; useful for direct comparison across datasets acquired with different step sizes.",N/A,Basic,Numeric + unit,'500 × 400 µm' | '0.2 mm²',,2026-08-12,(none),N,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffracting Crystal,Analyzing crystal (monochromator) used on each spectrometer assignment. Crystal choice determines the detectable wavelength range and dispersion.,Basic,Read-Only,Controlled list,LIF | LLIF | LIFL | LIFH | PET | LPET | PETL | PETH | TAP | TAPL | TAPH | LDE1 | LDE2 | LDE3 | RAP | KAP | Other: specify | Unknown | N/A | None,,2026-08-12,channel,N,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WDS Spectrometer Channel,"WDS spectrometer position(s) assigned to each analyte, one entry per assignment. An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup. Different spectrometers may have different crystal configurations.",Advanced,Read-Only,Text (free),"e.g., 'Si=Sp1; Ti=Sp2; Cr=Sp2+Sp3 (aggregate intensity counting); Fe=Sp3' | 'Mg=Sp1; Ca=Sp4; Na=Sp5'",,2026-08-12,defines: channel per analyte,N,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sequence,"Order in which spectrometer assignments are acquired during point analysis. Relevant for minimizing beam damage (volatile elements measured first) and for sequential multi-channel setups. Not applicable to X-ray mapping, where all assigned spectrometers collect simultaneously at each pixel.",Advanced,Read-Only,Integer,"e.g., 1 | 2 | 3 | 4",,2026-08-12,channel,N,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Proportional Counter / Detector,Type of detector used on each spectrometer assignment. Affects sensitivity and count rate linearity.,Advanced,Read-Only,Controlled list,High Pressure P10 Flow | Low Pressure P10 Flow | Xe Sealed | SDD | Si(Li) | Other: specify | Unknown | N/A | None,,2026-08-12,channel,N,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WDS PHA Setting,Pulse height analyzer (PHA) setting for the WDS detector. Integral mode accepts all pulses above a threshold; Differential mode selects a narrow energy window to reject higher-order reflections and escape peaks.,Advanced,Read-Only,Controlled list,Integral | Differential | Other: specify | Unknown | N/A | None,,2026-08-12,channel,N,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peak Counting Time,"Time spent counting X-ray intensity at the peak position, in seconds, on each spectrometer assignment. Procedure specifies standard values; analysts may adjust within procedure-defined bounds.",Basic,Editable,Numeric (s),"e.g., 10 | 20 | 30 | 60",,2026-08-12,channel,N,N,Y,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Background Counting Time,"Total time spent counting at off-peak background position(s) in seconds, summed across all background positions.",Basic,Editable,Numeric (s),"e.g., 5 | 10 | 20",,2026-08-12,channel,N,N,Y,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Background Position(s),"Location(s) of off-peak background measurement(s) relative to the peak, in mm or sin-theta, and whether on the high- or low-energy side.",Advanced,Editable,Text (free),"e.g., '+5 mm (High), -5 mm (Low)' | 'High only (+4 mm)' | 'MAN method (no off-peak positions)'",,2026-08-12,channel,N,N,Y,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5. Data Processing,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Matrix Correction Method,"X-ray matrix correction algorithm applied during quantitative EDS or WDS data reduction. For X-ray mapping, applies when raw count maps are converted to quantitative concentration maps.",Basic,Read-Only,Controlled list,XPP (Simplified PAP) | PAP (Pouchou & Pichoir Full) | ZAF | CITZAF (Armstrong 1995) | Phi-rho-z (EPQ-91) | Other: specify | Unknown | N/A | None,,2026-08-12,(none),Y,Y,Y,Y,,N/A,N/A,N/A,XPP (Simplified PAP),N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Mass Absorption Coefficients (MACs),"Database of mass absorption coefficients used in the matrix correction. MAC database choice affects accuracy particularly for light elements (B, C, N, O, F, Na).",Basic,Read-Only,Controlled list,LINEMU | CITZMU | MCMASTER | MAC30 | MACJTA | FFAST | Other: specify | Unknown | N/A | None,,2026-05-21,(none),Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Background Correction Method,Method used to estimate and subtract background X-ray intensity beneath the peak. For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model. For EDS: spectral background fitting or top-hat filter applied during spectral processing.,Basic,Editable,Controlled list,2-point off-peak linear | 2-point off-peak exponential | Mean Atomic Number (MAN) | EDS background fit | Top-hat filter | Other: specify | N/A | None,,2026-08-12,(none),Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Time-Dependent Intensity Correction,"Type of time-dependent intensity (TDI) correction applied to compensate for beam-induced volatilisation or migration of sensitive elements (e.g., Na, K, F in glasses, feldspars, carbonates). Most commonly applied in WDS point analysis; uncommon for EDS or X-ray mapping.",Advanced,Editable,Controlled list,None | Linear | Exponential | Double exponential | Other: specify | Unknown | N/A,,2026-08-11,analyte,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Analyte Estimation Method,"Whether elemental concentrations were calculated directly from measured X-ray intensities, or estimated by cation stoichiometry (e.g., oxygen calculated from cation proportions in silicates; carbon from stoichiometry in carbonates).",Advanced,Read-Only,Controlled list,Direct (measured) | Stoichiometry from cations | By difference | Other: specify | Unknown | N/A | None,,2026-08-11,analyte,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,Virtual standards preloaded within Oxford INCA Energy software,Virtual standards preloaded within Oxford INCA Energy software,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Halogen Correction on Oxygen,"Whether oxygen content was adjusted to account for halogen substitution (F and/or Cl replacing OH) in halogen-bearing phases such as apatite, amphibole, and mica, where oxygen is calculated by stoichiometry.",Advanced,Editable,Boolean,Yes | No | N/A,,2026-08-11,(none),Y,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDS Spectral Processing Type,"Method used to process EDS spectra and extract net peak intensities from raw spectral data. Applied before quantification (see Matrix Correction Method). Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.",Advanced,Read-Only,Controlled list,Background fitting | Peak deconvolution | Top-hat filter | Gaussian fit | Filter fit | Other: specify | Unknown | N/A | None,,2026-08-12,(none),Y,Y,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,Semi-quantitative analysis with virtual standards (Oxford INCA Energy); mineral phase determination from atomic % of constituent elements,Semi-quantitative analysis with virtual standards (Oxford INCA Energy); mineral phase determination from atomic % of constituent elements,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Blank Correction,"Method and reference material(s) used to determine and subtract blank signal contributions (e.g., carbon coat contribution to C signal, or background contamination for trace elements).",Advanced,Editable,Text (free),"e.g., 'Blank C signal subtracted using carbon-coated polished glass reference' | 'None'",,2026-08-11,analyte,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Normalization / Standards-Based Correction,Post-acquisition normalization applied using secondary reference materials to correct for session-to-session calibration drift.,Advanced,Editable,Text (free),"e.g., 'Normalization to accepted values of Kakanui kaersutite run as secondary standard' | 'None'",,2026-08-11,reported property,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
WDS Dead Time Correction,"Method used to correct for WDS proportional counter dead time at high count rates. Dead time errors are most significant for major elements with high count rates (e.g., Si, Fe, Ca). Unlike EDS dead time — which is hardware-managed and reported as a session QC percentage (see EDS Dead Time) — WDS dead time correction is a user-selectable algorithm in the data reduction software. No separate measured WDS dead time value is reported; the correction is applied transparently during intensity-to-concentration conversion.",Basic,Read-Only,Controlled list,Default constant (manufacturer) | Adjusted constant | High-precision (Probe for EPMA) | Logarithmic | Other: specify | Unknown | N/A | None,,2026-08-12,(none),N,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,,2026-08-12,reported property,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method, which is procedure-level: this field records what was actually measured. Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.",N/A,Basic,Text (free),,,2026-08-08,(none),Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value. Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Basic,Basic,Text (free),,,2026-08-08,(none),Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",,2026-08-12,(none),Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Primary Calibration Standard Name,"Name(s) of the primary reference material(s) used for intensity calibration in EDS or WDS quantification. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),"e.g., 'Smithsonian anorthite (Si, Al, Ca)' | 'Synthetic fayalite (Fe)' | 'Pure element standards (Cu, Al foil)' | 'Alloy standards (Micro-Analysis Consultants)'",,2026-08-11,analyte,Y,Y,Y,Y,,N/A,N/A,N/A,Oxford factory internal standards,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Secondary Reference Materials,"Quality-control reference material(s) analyzed alongside unknowns to verify calibration accuracy. Include material name, assessed elements, number of analyses (n), and measured vs. accepted values where available.",Basic,Editable,Text (free),"e.g., 'USNM San Carlos olivine (Mg, Fe, Si; n=5; within 2% of GeoReM)' | 'Kakanui kaersutite (multiple elements)'",,2026-08-12,defines: standard per analyte,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Interference Corrections Applied,"Whether a spectral interference correction was applied for each analyte. Common interferences include Ti Kb on V Ka, Cr Kb on Mn Ka, and Ba La on Ti Ka.",Basic,Read-Only,Boolean,Yes | No | N/A,,2026-08-12,analyte,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Interfering Elements,"Element(s) whose X-ray lines overlap with the measured peak for one or more analytes, requiring a correction.",Advanced,Read-Only,Text (free),"e.g., 'Ti Kb overlaps V Ka' | 'Cr Kb overlaps Mn Ka' | 'S Ka overlaps Mo La'",,2026-08-11,analyte,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Interference Correction Standard,Reference material used to quantify and calibrate the interference correction for each affected analyte.,Advanced,Read-Only,Text (free),"e.g., 'Synthetic TiO2 (for Ti Kb on V correction)' | 'Chromite USNM 117075 (for Cr Kb on Mn correction)'",,2026-08-11,analyte,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Detection Limit,"Method detection limit at 99% confidence, one per reported concentration variable (one per analyte, these being the same set). Include the method used and the resulting value for each.",Advanced,Basic,Text (free),"e.g., 'SiO2: 0.04 wt% (3-sigma counting statistics)' | 'Na2O: 0.03 wt%' | 'FeO: 0.05 wt%'",,2026-08-12,reported property,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,~0.5 wt% for most elements,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Detection Limit Method,Formula or approach used to calculate detection limits.,Basic,Read-Only,Text (free),"e.g., '3-sigma from counting statistics (Goldstein et al. 2018)' | 'Llovet et al. 2020 Eq. 4'",,2026-08-11,reported property,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Analytical Precision,"Reproducibility of repeated measurements on the same or equivalent reference material, expressed as 1-sigma relative standard deviation (%). Include reference material name, number of analyses (n), and value per analyte or element group.",Advanced,Basic,Text (free),"e.g., 'SiO2: 0.8% 1-sigma RSD (n=10, San Carlos olivine)' | 'FeO: 1.5%'",,2026-08-12,standard x reported property,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Analytical Accuracy,"Offset between measured and accepted reference values for secondary standards, expressed as percent relative bias. Include reference material, reference value source, and per-analyte value.",Advanced,Basic,Text (free),"e.g., 'SiO2: +0.5% relative to GeoReM accepted value (San Carlos olivine)' | 'FeO: -1.2%'",,2026-08-12,standard x reported property,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Counting Statistics Error,"1-sigma uncertainty propagated from counting statistics on peak and background intensities, for each reported concentration variable per analysis.",Advanced,Basic,Text (free),"e.g., 'SiO2: +-0.04 wt% (1-sigma)' | 'Na2O: +-0.03 wt% (1-sigma)'",,2026-08-12,sample > sampling unit x reported property,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
EDS Dead Time,"Percent dead time reported by the EDS detector during the session — the fraction of total acquisition time the detector spent processing rather than counting. EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric. Values above ~40% indicate excessive count rate and may degrade spectral quality and quantitative accuracy. Unlike WDS dead time (see WDS Dead Time Correction), no user-selectable correction algorithm is required.",N/A,Basic,Numeric (%),"e.g., 10 | 25 | <40",,2026-08-12,(none),Y,Y,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. Answers whether a reported aggregate is defensible as a single population. Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,,2026-08-08,reported property,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
