Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
Number of Replicates,"Number of replicate measurements performed on the same sample, or on the same nominal location where the technique is spatially resolved. For spot analysis this is the number of individual spots per grain or location; for transects, the number of replicate lines; for mapping, the number of map acquisitions of the same area; for solution work, the number of discrete replicate measurements acquired per sample solution.",Advanced,Basic,Integer,"e.g., 3 (three replicate spots per grain) | 1 (single transect) | 1 (single map)",,2026-08-27,(none),,Y,Y,Y,,"N (variable number of spots per grain; Mg, Si, P, S monitored to check for inclusions)",9 spot analyses in grid pattern for homogeneity testing; multiple analyses per fusion glass disk,N (variable per run),N (grain size >20 µm selected; number of analyzed grains variable),N (not stated),N (not stated)
Transect Length,"Total length of the transect line analysed in micrometres. Scan speed is captured separately in Transect Rate, Mapping Rate or Step Size.",N/A,Basic,Numeric (µm),"e.g., 500 µm | 1200 µm | 3000 µm",Source: Laser Ablation module,2026-08-27,(none),Depends on the size of the feature of interest rather than being fixed in the procedure.,N,Y,N,,N/A,N/A,N/A,N/A,N/A (spot analysis),N/A (spot analysis)
Mapping Area,"Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm². This is an analysis-level parameter because it depends on the size of the grain or phase to be mapped. The procedure fixes scan speed, line spacing, and spot size; the map area is chosen at analysis time to cover the target feature.",N/A,Basic,Text (free),"e.g., '1450×600 µm (870,000 µm²)' | '200×200 µm' | '0.5 mm²'",Source: Laser Ablation module,2026-08-27,(none),,N,N,Y,,N/A,N/A,N/A,N/A,N/A (spot analysis),N/A (spot analysis)
,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,2026-08-26,,,N,N,N,N,,,,,N,N
Internal Standard Approach,Method used to determine the internal standard (IS) concentration for each unknown sample.,Basic,Read-Only,Text (free),"e.g., 'Single element from EPMA (SiO₂ wt% used as IS)' | 'Sum-of-major-oxide normalization to 100% (Liu et al. 2008)' | 'Stoichiometry-derived (Ca fixed at 10.1 wt% for calcite)' | 'No IS — external calibration only'",Source: Laser Ablation module,2026-08-27,(none),Corrects for variable ablation yield between analyses.,Y,Y,Y,,Single element externally measured by EPMA: ⁶¹Ni concentration from EPMA at exact analysis location used as IS,"Two internal standards: Si from XRF SiO₂ (for Co, Ni, Cu, Zn); Al from XRF Al₂O₃ (for all other trace elements); non-matrix-matched external standards (NIST 612 + 614) used; fs laser minimizes matrix effects",Single element from EMP: Si (SiO₂ from EMP for silicate glass); NIST 610 as external standard,Single element from EMP: Fe (FeOT from EMP for sulfide); NIST 610 as external standard,Normalization to 100 wt% oxide total (for silicates and oxides) [P4],Single element IS: EMP CaO concentration used; LA-ICP-MS 40Ca counts normalized to CaO from EMP analysis at the same spot [P4]
Internal Standard Element,"Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns. Where the element serves isotope-ratio work it must have a known isotopic composition and a mass close to the analyte's. Record 'None' together with the alternative used where no internal standard is applied.",Basic,Read-Only,Text (free),"e.g., '²⁹Si; SiO₂ wt% from EPMA' | '⁵³Cr; measured in preceding major-element run (run 1)' | 'None — sum of MgO+FeO+SiO₂+P₂O₅ = 100 wt% (Liu et al. 2008)' | For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference.",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,⁶¹Ni; concentration from EPMA measured at exact analysis spot location,"Si (SiO₂ from XRF) for Co, Ni, Cu, Zn; Al (Al₂O₃ from XRF) for all other 28 trace elements",Si from EMP (SiO₂ wt% for silicate glass),Fe from EMP (FeOT wt% for sulfide),"None (oxide sum normalization, 100 wt% total) [P4]",40Ca; CaO wt% from EMP at the analysis spot [P4]
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated. Where a single strategy applies to all analytes, record that strategy. Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'.",Basic,Read-Only,Text (free),Single strategy: ⁴³Ca IS for all analytes (see Internal Standard fields); Multi-strategy: ⁴³Ca IS for major elements; NIST 610 external calibration for REEs; Fe+Ni+Co sum normalization for PGEs,Source: ICP-MS module,2026-08-26,analyte,,Y,Y,Y,,,,,,,
Elemental Fractionation Correction,"Method used to correct for laser-induced elemental fractionation (LIEF), including downhole fractionation during prolonged ablation, matrix-dependent fractionation between sample and calibration standard, and any specific correction algorithm applied. Reference the software function or publication.",Basic,Read-Only,Text (free),"e.g., 'Normalised to NIST SRM 612; no additional downhole correction' | 'Exponential downhole fractionation correction in Iolite using NIST SRM 612' | 'Linear time-drift correction applied per analysis'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,External calibration using calibration curve method with IVB iron meteorite standards; ⁶¹Ni as IS from EPMA corrects for ablation yield differences between sample and standard,Femtosecond laser substantially reduces elemental fractionation and matrix effects (stated); non-matrix-matched external standards (NIST 612 + 614) used successfully with fs laser (verified by GRM accuracy assessment),Femtosecond laser reduces LIEF; NIST 610 external standard; Si IS from EMP corrects for ablation yield,Femtosecond laser reduces LIEF; NIST 610 external standard; Fe IS from EMP corrects for ablation yield; micronuggets identified from Au signal spikes and excluded from integration,External calibration using NIST 610 glass standard analyzed before and after session; oxide-sum normalization corrects for ablation yield variation; no explicit downhole fractionation correction described [P4],External calibration using NIST 610; EMP CaO as IS corrects for ablation yield; no explicit downhole correction described [P4]
Mass Bias Correction Strategy,"Strategy used to correct instrumental isotopic mass fractionation, also called mass bias or mass discrimination. Distinct from Elemental Fractionation Correction, which addresses inter-element fractionation during ablation and transport: this field addresses discrimination between isotopes of the same element, and applies wherever the procedure reports isotope ratios.",Basic,Read-Only,Text (free),"e.g., 'Standard-sample bracketing against NIST 612' | 'Co-aspirated Tl, exponential law' | 'None (elemental concentrations only)'",,2026-08-26,(none),,Y,Y,Y,,,,,,,
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,Source: ICP-MS module,2026-08-26,(none),A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.,Y,Y,Y,,,,,,,
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),"e.g., Counting statistics only (1σ on integrated signal, Longerich et al. 1996) | SD of n replicate analyses used as combined uncertainty estimate | Full propagation: counting + calibration standard + IS uncertainty (specify formula)",Source: ICP-MS module,2026-08-26,reported property,,Y,Y,Y,,2SE of individual spot measurements reported,N (Iolite 4 internal uncertainty propagation implied),N,N,N (not stated) [P4],N (not stated) [P4]
Matrix Offset Correction (LIEF),Whether an empirical correction was applied to account for systematic differences in laser-induced elemental fractionation (LIEF) patterns between the external calibration standard and the sample matrix.,Advanced,Read-Only,Text (free),"e.g., 'Applied: 6.4% offset in Ca/Si determined by comparison with EPMA (Jenner & O'Neill 2012)' | 'Not applied; Ca used as IS to cancel LIEF offset' | 'Not applicable'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,N (fs laser minimizes LIEF; IVB iron meteorite standards used as matrix-matched reference),N (fs laser minimizes matrix effects),N (fs laser),N (fs laser),N (not stated; agreement within <10% between oxide-sum normalization and EMP-based IS noted as validation) [P4],N (not stated) [P4]
Signal Integration Interval Method,"Method used to define which portion of the acquired signal is integrated for each reported measurement, and the rule for excluding unstable or anomalous portions. State whether the interval is the full acquisition, a stable sub-interval selected by inspection, or selected by an automated criterion, and name the criterion.",Basic,Read-Only,Controlled list / Text,Full acquisition | Stable interval selected by inspection | Automated threshold | Automated outlier rejection | Fixed time window | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,"Time-resolved signals monitored; analyses with elevated Mg, Si, P, S (inclusion indicators) excluded; stable signal intervals used for integration","Time-resolved signals inspected visually; flux blank contributions to pollution elements (V, Co, Zn, Ba, La, Ce, Ta, U) identified and subtracted; 9-spot grid homogeneity tested before analysis",Time-resolved LA-ICP-MS signal inspected; micronuggets identified from spikes in Au signal and excluded from integration to obtain smooth signals (verified by Fig. 1 in paper),Same approach as glass; micronugget identification from Au signal spikes critical for sulfide analyses,Time-lapse plots of each spot examined; only the plateau region used to quantify trace element abundances [P4],Time-lapse plots examined; only plateau region used (same as silicate protocol) [P4]
Signal Integration Time,"The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition. Where the procedure computes it from an acquisition structure, record that basis.",N/A,Basic,Numeric (s),"e.g., 40 s | 60 s | Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",Source: ICP-MS module,2026-08-26,(none),It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded.,Y,Y,N,,N,45 s on-sample ablation (full ablation interval used for integration),~40 s (inferred from typical CetacAnalyte HE protocol; stable signal used),~40 s (same),N (not stated) [P4],N (not stated) [P4]
Spike / Outlier Filtering Approach,"Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated. State where in the reduction sequence the filter is applied.",Advanced,Editable,Text (free),"e.g., 'Significant single spikes visually identified and removed in Iolite' | 'Statistical filter: data points >3σ from running mean removed' | 'No filtering applied' | 'Automated spike detection in SILLS'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,"Monitoring of Mg, Si, P, S to check for micro-inclusions (sulfides); analyses with elevated inclusion signals excluded entirely","Homogeneity index (H) applied to test element distribution; Co, Ni, Cu in high-Si glass (GSR-1) identified as near-LOD and flagged; flux blank contributions to pollution elements subtracted",Micronuggets identified from Au signal spikes in time-resolved spectra; excluded from integration (smooth signals = fully dissolved Au; Fig. 1 shows this criterion),Same approach as glass; Au spike identification critical for determining solubility vs. nugget contribution,N (not explicitly stated; implied by plateau-region selection excluding non-stable intervals) [P4],N (same as silicate protocol) [P4]
Blank / Background Correction Method,"Method used to subtract background and, where relevant, procedural blank from the measured signal. State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied.",Basic,Read-Only,Controlled list / Text,Gas blank | On-peak zero | Solution blank | Procedural blank | On-peak zero + procedural blank | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,Gas blank measured before each spot; background period during single spot transient (rapid intensity rise and decay) used for background correction,Gas blank measured for 25 s before each ablation; background subtracted per isotope,N (background subtraction performed but method not explicitly described; implied from standard Agilent/iolite workflow),N (same as glass protocol),50 s background measurement before each analysis; background subtracted (method not explicitly described beyond counting duration) [P4],50 s background measurement before each analysis (same as silicate protocol) [P4]
Pulse/Analog Detector Nonlinearity Correction,Whether a correction was applied for nonlinear response at the transition between pulse-counting and analog detector modes.,Advanced,Editable,Controlled list / Text,Not applicable (instrument uses pulse counting only) | Applied: describe method and elements affected | Not applied (crossover threshold not reached for any element) | Not applied (known bias accepted) | N/A | None,,2026-08-26,(none),,Y,Y,Y,,N (quadrupole X-series 2; single detector mode),Applied: dual detector mode (30 ms / 10 ms dwell alternation),N,N,N (not stated) [P4],N (not stated) [P4]
Isobaric Interference Corrections Applied,"Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell. Detail for each affected mass is carried by Interfering Species and Interference Correction Method.",Basic,Read-Only,Controlled list / Text,Yes | No | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,"No explicit corrections applied; monitoring of Mg, Si, P, S used to detect and exclude inclusion-contaminated analyses rather than correct for spectral interferences","Yes — fs laser substantially reduces oxide and matrix interferences; flux blank contributions to V, Co, Zn, Ba, La, Ce, Ta, U identified and subtracted",Yes (fs laser reduces interferences),Yes (fs laser reduces interferences),N (not stated) [P4],N (not stated) [P4]
Interfering Species,"The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam. Name each species and the mass it affects.",Basic,Read-Only,Text (free),"e.g., '⁸⁷Rb on ⁸⁷Sr; ¹⁷⁰Yb²⁺ on ⁸⁵Rb' | '⁴⁰Ar³¹P⁺ on ⁷¹Ga; ⁴⁴Ca¹⁶O⁺ on ⁶⁰Ni' | '¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu' | 'None'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,,"Sulfide inclusions detectable via ³³S signal; phosphide inclusions via ³¹P; silicate inclusions via ²⁴Mg, ²⁹Si (used to exclude contaminated analyses)","Li₂B₄O₇ flux blank contains V, Co, Zn, Ba, La, Ce, Ta, U at detectable levels; subtracted as blank contribution",N,N,N (not stated) [P4],N (not stated) [P4]
Interference Correction Method,"Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard. Name the reference material used.",Basic,Read-Only,Text (free),"e.g., 'Mathematical correction: ⁸⁷Sr_corrected = ⁸⁷Sr_measured − f(⁸⁷Rb/⁸⁵Rb) × ⁸⁵Rb' | 'Cool plasma (800 W) reduces ⁴⁰Ar-based argides by >90% for ⁶⁰Ni and ⁷¹Ga' | 'KED mode (He collision gas 4 ml min⁻¹) suppresses polyatomic interferences'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,,"Exclusion-based approach: analyses with elevated Mg, Si, P, S (from silicate, phosphate, or sulfide inclusions) excluded entirely rather than applying mathematical corrections","Flux blank subtraction: blank contribution to each pollution element (V, Co, Zn, Ba, La, Ce, Ta, U) measured in procedure blanks and subtracted; LOQ for pollution elements = blank value + 10SD",N,N,N (not stated) [P4],N (not stated) [P4]
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements. For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used. Record 'None' where neither isotope dilution nor double-spike methods are applied.",Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N
Memory Effect Mitigation,"Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one. Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions. At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved.",Advanced,Editable,Text (free),"e.g., 'Extended washout (≥60 s He flush) between high-concentration standards and unknowns' | 'Scan speed set so that washout time (<1 s) is shorter than pixel acquisition interval' | 'None required for this element suite'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N (single spot analyses; no sequential memory effect described),25 s washout between analyses (25 s gas blank → 45 s ablation → 25 s washout),N,N,N (not stated) [P4],N (not stated) [P4]
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",Advanced,Editable,Text (free),"e.g., 'None' | '100% oxide sum normalization applied per pixel to enforce mass balance (Liu et al. 2008)' | 'Normalized to ⁸⁸Sr/⁸⁶Sr = 8.37521 for mass bias correction in Sr isotope analysis'",Source: Composition QC module,2026-08-27,reported property,,Y,Y,Y,,No post-acquisition normalization; calibration curve method using IVB standards provides direct quantification,No post-acquisition normalization beyond IS approach (two IS elements applied element-specifically),No post-acquisition normalization beyond IS (Si from EMP),No post-acquisition normalization beyond IS (Fe from EMP),100% oxide total normalization applied per analysis for silicates and oxides; NIST 610 used for external calibration before and after session [P4],No post-acquisition normalization; EMP CaO applied directly as IS; NIST 610 for external calibration [P4]
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),"e.g., ID-TIMS: EARTHTIME ET535 or ET2535 tracer, calibrated per Condon et al. (2015) and McLean et al. (2015), with stated uncertainty | LA-ICP-MS: matrix-matched primary zircon RM of independently known age (91500, GJ-1, Plesovice) used for downhole-fractionation and Pb/U calibration, with the accepted age and its source",Source: Calibration Factor module,2026-08-26,reported property,,Y,Y,Y,,,,,,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),"e.g., 'Total procedural Pb blank 0.6 +/- 0.3 pg; blank Pb composition 206Pb/204Pb = 18.55, 207Pb/204Pb = 15.50, 208Pb/204Pb = 38.08 (long-term lab average, n = 42)' | 'Gas blank 120 counts/s at mass 206, subtracted per analysis'",Source: Blank module,2026-08-26,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,Y,Y,Y,,,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),"e.g., '30 grains analysed, 24 included; excluded 4 discordant beyond -5% to +10% and 2 with Pb*/Pbc < 20' | 'All analyses included, no filter applied'",Source: Aggregation module,2026-08-26,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Y,Y,Y,,,,,,,
Age Calculation Method,"The equation used to convert the measured quantities into an age or date, together with a citation for that equation. Name the equation unambiguously; where a procedure supports more than one, state which is used and under what conditions. Distinct from Age Model and Software, which records how multiple analyses are combined into a single reported result.",Basic,Read-Only,Text (free),"e.g., 206Pb/238U and 207Pb/235U date equations (Jaffey et al. 1971 decay constants) | 207Pb/206Pb date | Wetherill concordia intercept | Tera-Wasserburg concordia intercept | 238U/206Pb-207Pb/206Pb isochron",Source: Geochronology module,2026-08-26,reported property,Required by every geochronology reporting standard surveyed (Condon et al. 2024; Schaen et al. 2021; Rooney et al. 2024; Flowers et al. 2024; Kohn et al. 2024; Mahan et al. 2023).,Y,Y,Y,,,,,,,
Reported Date Type,"The kind of date or age the procedure reports. Where more than one type is reported, list all, separated by semicolons.",Basic,Editable,Controlled list,Weighted mean 206Pb/238U | Weighted mean 207Pb/235U | Weighted mean 207Pb/206Pb | Concordia upper intercept | Concordia lower intercept | Tera-Wasserburg intercept | Single-grain date | Isochron date | Other: specify | N/A | None,Source: Geochronology module,2026-08-26,reported property,"Most dating systems derive several different date types from the same measurements, so a reported age is ambiguous without this. Kohn et al. (2024) carry this as a named required item (""fission-track age type""); the equivalent distinction is required by all five other standards surveyed.",Y,Y,Y,,,,,,,
Inherited or Initial Signal Correction,"How any non-radiogenic, inherited or pre-existing component of the measured signal was accounted for, including the composition assumed, its source, and its uncertainty. Record 'None' where the measured quantity accumulates from zero and no such component exists.",Basic,Editable,Text (free),"e.g., Stacey & Kramers (1975) two-stage model Pb at the interpreted age | 204Pb-based correction | 207Pb-based correction | 208Pb-based correction | Tera-Wasserburg anchored lower intercept | measured Pb from co-genetic K-feldspar | None (Pb*/Pbc sufficiently high that correction is negligible; state the threshold)",Source: Geochronology module,2026-08-26,reported property,"Applies to five of the six dating systems surveyed; fission track is the sole genuine exception, as tracks accumulate from zero. The value actually applied is frequently sample-specific (a two-stage model composition evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), so a revision to the assumed composition should not require registering a new procedure. Same reasoning as Rule 5's Constants and Reference Values Used.",Y,Y,Y,,,,,,,
Radiogenic Fraction of Measured Signal,"The proportion of the measured signal that is radiogenic, as opposed to inherited, initial or otherwise non-radiogenic. Measured companion to Inherited or Initial Signal Correction.",N/A,Basic,Text (free),"Reported for U-Pb as Pb*/Pbc, the ratio of radiogenic to common Pb. e.g., '1250' | '18' | 'range 12-340 across 24 analyses'",Source: Geochronology module,2026-08-26,reported property,"It indicates how strongly the reported age depends on the assumed non-radiogenic composition — a result derived from a low radiogenic fraction is sensitive to that assumption in a way a high-fraction result is not, and that sensitivity is invisible from the age and its uncertainty alone. Follows the criterion-versus-measurement split used for Oxide Production.",Y,Y,Y,,,,,,,
Age Model,"The statistical model used to combine individual analyses into a single reported age, including any criteria governing which model is applied. Record the model only — the software implementing it belongs in Data Reduction Software (Group 3), whose scope already extends to age calculation; where reduction and age regression use different packages, list both there.",Basic,Editable,Text (free),"e.g., Weighted mean with MSWD-based uncertainty expansion | York (1969) regression | IsoplotR Model-1, escalating to Model-3 where MSWD exceeds the stated cutoff | Bayesian / Monte Carlo age model",Source: Geochronology module,2026-08-26,reported property,This is a methodological choice that changes the result: a Model-1 and a Model-3 regression of the same data yield different ages and different uncertainties. Required in some form by all six geochronology reporting standards surveyed.,Y,Y,Y,,,,,,,
Age Datum / Reference Epoch,"The zero point from which the reported age is measured, where this is not the present day, and the date it corresponds to. Record 'Present day' where the conventional datum applies. Where the datum is not the present, record it explicitly: year of sample collection for luminescence, end of irradiation for 40Ar/39Ar decay corrections.",Advanced,Basic,Text (free),Present day (the conventional datum for U-Pb; state explicitly rather than leaving blank),Source: Geochronology module,2026-08-26,reported property,Required in these cases by Mahan et al. (2023) and Schaen et al. (2021).,Y,Y,Y,,,,,,,
Intermediate Daughter Disequilibrium Correction,"Correction for initial disequilibrium in intermediate daughter products of the U decay chains — principally 230Th, and where relevant 231Pa — together with the Th/U or Pa/U partitioning value assumed and its source. Record 'None' with a justification where no correction was applied.",Advanced,Read-Only,Text (free),"e.g., '230Th correction applied, Th/U(magma) = 2.8 assumed from whole-rock' | '230Th and 231Pa corrections applied (Crowley et al. 2007)' | 'None (sample older than 100 Ma; effect below stated uncertainty)'",Source: U-Pb module,2026-08-26,(none),"Unique to U-Pb among dating systems, because the chains are long enough for intermediate-daughter disequilibrium at crystallisation to bias the 206Pb/238U date, most severely in young samples. Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required.",Y,Y,Y,,,,,,,
Discordance Definition and Values,"How discordance between the 206Pb/238U, 207Pb/235U and 207Pb/206Pb chronometers is defined for this procedure, and the discordance values obtained. State the formula used. The rule for excluding discordant analyses, and how many were excluded, belong in Analysis Inclusion and Rejection Criteria.",Advanced,Read-Only,Text (free),"e.g., '100 x (1 - [206Pb/238U date] / [207Pb/206Pb date])' | '2-sigma concordia ellipse overlap' | 'discordance -3% to +7% across 24 analyses'",Source: U-Pb module,2026-08-26,pair: reported property,"Genuinely specific to U-Pb: it is the only system in routine use with two independent decay schemes in the same mineral, so agreement between them is an internal consistency test no other system can run. Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required. Several definitions are in circulation and they are not interchangeable.",Y,Y,Y,,,,,,,
Error Correlation Between Reported Quantities,"The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.",Advanced,Basic,Numeric (dimensionless) / Text,"e.g., 'rho(206Pb/238U, 207Pb/235U) = 0.83, from the data reduction software error propagation' | 'rho = 0.31 (double-spike inversion covariance)'",,2026-08-27,pair: reported property,Concordia and isochron regressions cannot be reconstructed without it.,Y,Y,Y,,,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-26,(none),,Y,Y,Y,,,,,,,
,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,2026-08-26,,,N,N,N,N,,,,,N,N
Primary Calibration Standard Name,"Name and reference material identifier of the primary reference material(s) against which the instrument is calibrated — converting raw signal intensities to concentrations, or anchoring an isotope ratio as the bracketing standard or zero-delta reference. Give the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),"e.g., 'NIST SRM 612 (Jochum et al. 2011, doi:10.1111/j.1751-908X.2011.00120.x)' | 'USGS BCR-2G (GeoReM preferred values, georem.mpch-mainz.gwdg.de)'",Source: Composition QC module,2026-08-27,analyte,,Y,Y,Y,,Warburton Range (IVB iron meteorite; Walker et al. 2008) — used as primary external standard and for calibration curve method,NIST SRM 612 + NIST SRM 614 (non-matrix-matched external standards); self-made BHVO-2 lithium borate glass (matrix-matched) tested as alternative but NIST 612+614 found sufficient with fs laser,NIST 610 (primary external standard; Jochum et al. 2011); Si from EMP as IS,NIST 610 (primary external standard); Fe from EMP as IS,NIST 610 glass standard [P4],NIST 610 glass standard [P4]
Calibration Standard Measurement Frequency,"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample.",Basic,Read-Only,Text (free),Before and after every 5 unknowns | Bracketing every 10 samples | Start and end of session only | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"For LA-ICP-MS, this defines the bracketing interval between calibration standard ablations used to monitor and correct for instrumental drift.",Y,Y,Y,,N,NIST SRM 612 and 614 measured as external standards within session; BHVO-2 and other GRMs as unknowns,NIST 610 as primary; NIST 612 and BCR-2G as monitoring standards,Same bracketing as silicate glass protocol,NIST 610 glass standard analyzed before and after every session [P4],NIST 610 analyzed before and after every session (same as silicate protocol) [P4]
