Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),"e.g., '30 grains analysed, 24 included; excluded 4 discordant beyond -5% to +10% and 2 with Pb*/Pbc < 20' | 'All analyses included, no filter applied'",Source: Aggregation module,2026-08-26,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Y,Y,Y,
Mass Fractionation Law,"Mathematical law used to parameterize instrumental isotope mass fractionation as a function of mass difference. The linear law assumes fractionation proportional to mass difference. The power law is an alternative formulation. For double-spike procedures, the law is embedded in the inversion algorithm and must be consistent between spike calibration and sample data reduction.",Basic,Read-Only,Controlled list,Exponential | Linear | Power | N/A | None,Source: MC-ICP-MS module,2026-08-30,(none),The exponential law (Maréchal et al. 1999) is most widely used and theoretically best justified for MC-ICP-MS.,Y,Y,Y,
Internal Normalization Element and Isotope Ratio,"Element and isotope ratio used as the internal normalization standard for mass bias correction. Specify the element, the monitored isotope ratio (e.g., 113Cd/111Cd for Sb measurements), and the certified or consensus value used for correction. Record 'N/A' where the procedure does not use internal normalization.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),"The measured ratio of the normalizing element is used to calculate the mass bias factor β using the chosen mass fractionation law, which is then applied to correct the analyte isotope ratios assuming β_norm ≈ β_analyte.",Y,Y,Y,
Double-Spike Isotope Pair,The pair of enriched isotopes used to construct the double spike. Both isotopes must be naturally rare and free from isobaric interferences. The double spike composition must be accurately calibrated before use. Specify both isotope masses and the spike certificate or calibration reference. Record 'N/A' where the procedure does not use a double spike.,Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),The pair is chosen to minimise error magnification in the inversion.,Y,Y,Y,
Double-Spike Mixing Ratio,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. The optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' where the procedure does not use a double spike.",Advanced,Editable,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),An optimal mixing ratio minimises error propagation through the double-spike inversion.,Y,Y,Y,
Double-Spike Inversion Algorithm,"Mathematical algorithm used to simultaneously solve for the true sample isotope ratio and the mass fractionation factor from the measured spike-sample mixture. Common implementations: iterative Newton-Raphson solution, matrix algebraic approach, or published software (e.g., Rudge et al. 2009 Double Spike Toolbox). Specify the algorithm or software reference and version. Record 'N/A' where the procedure does not use a double spike.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Age Calculation Method,"The equation used to convert the measured quantities into an age or date, together with a citation for that equation. Name the equation unambiguously; where a procedure supports more than one, state which is used and under what conditions. Distinct from Age Model and Software, which records how multiple analyses are combined into a single reported result.",Basic,Read-Only,Text (free),"e.g., 206Pb/238U and 207Pb/235U date equations (Jaffey et al. 1971 decay constants) | 207Pb/206Pb date | Wetherill concordia intercept | Tera-Wasserburg concordia intercept | 238U/206Pb-207Pb/206Pb isochron",Source: Geochronology module,2026-08-26,reported property,Required by every geochronology reporting standard surveyed (Condon et al. 2024; Schaen et al. 2021; Rooney et al. 2024; Flowers et al. 2024; Kohn et al. 2024; Mahan et al. 2023).,Y,Y,Y,
Reported Date Type,"The kind of date or age the procedure reports. Where more than one type is reported, list all, separated by semicolons.",Basic,Editable,Controlled list,Weighted mean 206Pb/238U | Weighted mean 207Pb/235U | Weighted mean 207Pb/206Pb | Concordia upper intercept | Concordia lower intercept | Tera-Wasserburg intercept | Single-grain date | Isochron date | N/A | None,Source: Geochronology module,2026-08-30,reported property,"Most dating systems derive several different date types from the same measurements, so a reported age is ambiguous without this. Kohn et al. (2024) carry this as a named required item (""fission-track age type""); the equivalent distinction is required by all five other standards surveyed.",Y,Y,Y,
Inherited or Initial Signal Correction,"How any non-radiogenic, inherited or pre-existing component of the measured signal was accounted for, including the composition assumed, its source, and its uncertainty. Record 'None' where the measured quantity accumulates from zero and no such component exists.",Basic,Editable,Text (free),"e.g., Stacey & Kramers (1975) two-stage model Pb at the interpreted age | 204Pb-based correction | 207Pb-based correction | 208Pb-based correction | Tera-Wasserburg anchored lower intercept | measured Pb from co-genetic K-feldspar | None (Pb*/Pbc sufficiently high that correction is negligible; state the threshold)",Source: Geochronology module,2026-08-26,reported property,"Applies to five of the six dating systems surveyed; fission track is the sole genuine exception, as tracks accumulate from zero. The value actually applied is frequently sample-specific (a two-stage model composition evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), so a revision to the assumed composition should not require registering a new procedure. Same reasoning as Rule 5's Constants and Reference Values Used.",Y,Y,Y,
Radiogenic Fraction of Measured Signal,"The proportion of the measured signal that is radiogenic, as opposed to inherited, initial or otherwise non-radiogenic. Measured companion to Inherited or Initial Signal Correction.",N/A,Basic,Text (free),"Reported for U-Pb as Pb*/Pbc, the ratio of radiogenic to common Pb. e.g., '1250' | '18' | 'range 12-340 across 24 analyses'",Source: Geochronology module,2026-08-26,reported property,"It indicates how strongly the reported age depends on the assumed non-radiogenic composition — a result derived from a low radiogenic fraction is sensitive to that assumption in a way a high-fraction result is not, and that sensitivity is invisible from the age and its uncertainty alone. Follows the criterion-versus-measurement split used for Oxide Production.",Y,Y,Y,
Age Model,"The statistical model used to combine individual analyses into a single reported age, including any criteria governing which model is applied. Record the model only — the software implementing it belongs in Data Reduction Software (Group 3), whose scope already extends to age calculation; where reduction and age regression use different packages, list both there.",Basic,Editable,Text (free),"e.g., Weighted mean with MSWD-based uncertainty expansion | York (1969) regression | IsoplotR Model-1, escalating to Model-3 where MSWD exceeds the stated cutoff | Bayesian / Monte Carlo age model",Source: Geochronology module,2026-08-26,reported property,This is a methodological choice that changes the result: a Model-1 and a Model-3 regression of the same data yield different ages and different uncertainties. Required in some form by all six geochronology reporting standards surveyed.,Y,Y,Y,
Age Datum / Reference Epoch,"The zero point from which the reported age is measured, where this is not the present day, and the date it corresponds to. Record 'Present day' where the conventional datum applies. Where the datum is not the present, record it explicitly: year of sample collection for luminescence, end of irradiation for 40Ar/39Ar decay corrections.",Advanced,Basic,Text (free),Present day (the conventional datum for U-Pb; state explicitly rather than leaving blank),Source: Geochronology module,2026-08-26,reported property,Required in these cases by Mahan et al. (2023) and Schaen et al. (2021).,Y,Y,Y,
Intermediate Daughter Disequilibrium Correction,"Correction for initial disequilibrium in intermediate daughter products of the U decay chains — principally 230Th, and where relevant 231Pa — together with the Th/U or Pa/U partitioning value assumed and its source. Record 'None' with a justification where no correction was applied.",Advanced,Read-Only,Text (free),"e.g., '230Th correction applied, Th/U(magma) = 2.8 assumed from whole-rock' | '230Th and 231Pa corrections applied (Crowley et al. 2007)' | 'None (sample older than 100 Ma; effect below stated uncertainty)'",Source: U-Pb module,2026-08-26,(none),"Unique to U-Pb among dating systems, because the chains are long enough for intermediate-daughter disequilibrium at crystallisation to bias the 206Pb/238U date, most severely in young samples. Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required.",Y,Y,Y,
Discordance Definition and Values,"How discordance between the 206Pb/238U, 207Pb/235U and 207Pb/206Pb chronometers is defined for this procedure, and the discordance values obtained. State the formula used. The rule for excluding discordant analyses, and how many were excluded, belong in Analysis Inclusion and Rejection Criteria.",Advanced,Read-Only,Text (free),"e.g., '100 x (1 - [206Pb/238U date] / [207Pb/206Pb date])' | '2-sigma concordia ellipse overlap' | 'discordance -3% to +7% across 24 analyses'",Source: U-Pb module,2026-08-26,pair: reported property,"Genuinely specific to U-Pb: it is the only system in routine use with two independent decay schemes in the same mineral, so agreement between them is an internal consistency test no other system can run. Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required. Several definitions are in circulation and they are not interchangeable.",Y,Y,Y,
Error Correlation Between Reported Quantities,"The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.",Advanced,Basic,Numeric (dimensionless) / Text,"e.g., 'rho(206Pb/238U, 207Pb/235U) = 0.83, from the data reduction software error propagation' | 'rho = 0.31 (double-spike inversion covariance)'",,2026-08-27,pair: reported property,Concordia and isochron regressions cannot be reconstructed without it.,Y,Y,Y,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-26,(none),,Y,Y,Y,
,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,2026-08-26,,,N,N,N,N
Primary Calibration Standard Name,"Name and reference material identifier of the primary reference material(s) against which the instrument is calibrated — converting raw signal intensities to concentrations, or anchoring an isotope ratio as the bracketing standard or zero-delta reference. Give the material name, its source or supplier, and a citation for the accepted values used. Where calibration instead uses the vendor's stored library or theoretical response factors rather than measured reference materials — 'standardless' or 'semi-quantitative' quantification — record that here, naming the library or model used. 'None' means no calibration was performed at all, which is a different answer.",Basic,Editable,Text (free),"e.g., 'NIST SRM 612 (Jochum et al. 2011, doi:10.1111/j.1751-908X.2011.00120.x)' | 'USGS BCR-2G (GeoReM preferred values, georem.mpch-mainz.gwdg.de)'",Source: Composition QC module,2026-08-30,analyte,Results calibrated against different published values for the same material are not directly comparable.,Y,Y,Y,
Calibration Standard Measurement Frequency,"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample.",Basic,Read-Only,Text (free),Before and after every 5 unknowns | Bracketing every 10 samples | Start and end of session only | N/A | None,Source: ICP-MS module,2026-08-30,(none),"For LA-ICP-MS, this defines the bracketing interval between calibration standard ablations used to monitor and correct for instrumental drift.",Y,Y,Y,
Secondary Reference Materials,"Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.",Basic,Editable,Text (free),"e.g., 'NIST SRM 610 (Jochum et al. 2011); GOR132-G (Jochum et al. 2006)' | 'BHVO-2G (GeoReM), BCR-2G (GeoReM)'",Source: Composition QC module,2026-08-27,defines: standard,,Y,Y,Y,
Detection Limit,"Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",Advanced,Basic,Numeric + unit / Text,"e.g., '0.003 ng g⁻¹ (La), 0.005 ng g⁻¹ (Ce) (3σ background; Longerich et al. 1996)' | 'Range: 0.005–23.5 µg g⁻¹ across all measured isotopes (Pettke et al. 2012)'",Source: Composition QC module,2026-08-27,reported property,,Y,Y,Y,
Detection Limit Method,"Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",Basic,Read-Only,Controlled list / Text,3σ blank | 3σ background | 3σ counting statistics | 3× blank mean | Poisson statistics | N/A | None,Source: Composition QC module,2026-08-27,reported property,,Y,Y,Y,
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Required when concentrations near the LOD are reported.,Advanced,Basic,Controlled list / Text,10σ blank | 10σ background | 10× LOD | 3.3× LOD | S/N ≥ 10 | N/A | None,Source: ICP-MS module,2026-08-27,reported property,Concentrations between LOD and LOQ are detectable but not reliably quantifiable.,Y,Y,Y,
Counting Statistics Error,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately.",Advanced,Basic,Text (free),"e.g., '2SE predicted from counting statistics over 45 cycles' | '~0.6% (1 sigma), counting statistics plus propagated uncertainties' | 'N/A'",Source: Composition QC module,2026-08-27,sample > sampling unit x reported property,"Where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",Y,Y,Y,
Internal (Within-Measurement) Analytical Precision and Assessment Method,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it. State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to. Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there.",Advanced,Basic,Text (free),"e.g., '2SE = 2SD/sqrt(n), n = 45 cycles' | '+/-0.001-0.002 (2SE) on 206Pb/204Pb' | '~2.6% (2SE) on single-spot ages' | 'N/A'",Source: ICP-MS module,2026-08-26,sample > sampling unit x reported property,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three.",Y,Y,Y,
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analytical session and the method used to assess it. Report both the assessment method and the precision values. The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI). Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses.",Basic,Basic,Text (free),"e.g., '1σ RSD = 1.5% for Ba, 2.3% for La (n=5 on NIST SRM 612 per session)' | 'Mapping: 4% 1σ RSD across 3 GRM map areas at session start and end (n=3)'",Source: ICP-MS module,2026-08-26,standard x reported property,,Y,Y,Y,
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it. Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported.",Advanced,Basic,Text (free),"e.g., '2σ RSD = 3% for Eu/Eu* on GOR132-G across 12 sessions over 8 months' | '1σ RSD = 2% for most REEs on BHVO-2G across 17 sessions over 3 years (n=85 analyses)'",Source: ICP-MS module,2026-08-26,standard x reported property,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.,Y,Y,Y,
Analytical Accuracy and Assessment Method,"Offset between measured and accepted values for secondary reference materials, and the method used to assess it. Specify the reference material and the source of its accepted values, the number of analyses, and the quantities assessed. Report systematic biases and their likely causes. Express the offset in the form appropriate to what the procedure reports - percent relative bias for concentrations, or deviation in delta or ratio units for isotopic quantities.",Basic,Basic,Text (free),"e.g., 'Within ±5% of GeoReM preferred values for most REEs on GOR132-G (n=15); +8% for Nb (known matrix sensitivity)' | '±3% for all elements on BHVO-2G vs. GeoReM (n=20)'",Source: ICP-MS module,2026-08-26,standard x reported property,,Y,Y,Y,
,,,,,,,,,,,,,
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. The procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),"e.g., 'MSWD = 1.13 (n = 24), probability of fit 0.31' | 'MSWD = 4.2; excess scatter attributed to protracted crystallisation, Model-3 regression applied'",Source: Aggregation module,2026-08-26,reported property,Answers whether a reported aggregate is defensible as a single population. The value cannot be known before the analysis.,Y,Y,Y,
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-08-26,(none),,Y,Y,Y,
