Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama,GilDiaz+etal2020 | Agilent 8800 QQQ | FHNW Basel,GilDiaz+etal2020 | Thermo iCAP-TQ | lab not stated,GilDiaz+etal2020 | Thermo XSeries 2 | KIT Karlsruhe,LopezGarcia+etal2026 | Thermo iCAP TQ | Institute of Science Tokyo
Blank / Background Correction Method,"Method used to subtract background and, where relevant, procedural blank from the measured signal. State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied.",Basic,Read-Only,Controlled list / Text,Gas blank | On-peak zero | Solution blank | Procedural blank | On-peak zero + procedural blank | N/A | None,Source: ICP-MS module,2026-08-26,(none),,,N,On-peak zero (stated implicitly; calibration standards include procedural blank equivalent),N,N,N,N,N,N,N
Spike / Outlier Filtering Approach,"Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated. State where in the reduction sequence the filter is applied.",Advanced,Editable,Text (free),2σ exclusion | Grubbs test | Visual inspection | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N
Pulse/Analog Detector Nonlinearity Correction,"Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog detection modes. For Q-ICP-MS instruments with dual-mode SEM detectors, a cross-calibration factor is measured and applied at the pulse-to-analog crossover threshold. Accurate cross-calibration is critical for analytes spanning a wide concentration range in the same session.",Advanced,Editable,Controlled list / Text,Applied: cross-calibration factor measured per session and applied at crossover threshold | Not applied (all signals in pulse-counting mode) | Not applicable (pulse-counting only) | N/A | None,,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N
Isobaric Interference Corrections Applied,"Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell. Detail for each affected mass is carried by Interfering Species and Interference Correction Method.",Basic,Read-Only,Controlled list / Text,Yes | No | N/A | None,Source: ICP-MS module,2026-08-26,(none),,,"Y (114,115Sn+ on 114Cd+/115In+; stated section 3.1)",Y (7Li18O on 25Mg; 46Ti on 46Ca; 40Ar26Mg on 66Zn; 87Rb on 87Sr; stated Table 1 footnote),Y (95Mo16O+ and 71Ga40Ar+ on 111Cd; 97Mo16O+/113In+ on 113Cd; 115Sn+ on 115In+; stated section 2),N,N (ID-IS inherently corrects for interferences; stated section 2.1),"Yes — oxygen shift used to move the analyte away from interferences, including doubly-charged REE on 77Se","Yes — 86Sr40Ar, 110Cd16O and 110Pd16O on 126Te, and 126Xe from the acid blank","Yes — 40Ar37Cl on Se, minimised by the He:H2 collision mixture",N
Interfering Species,"The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam. Name each species and the mass it affects.",Basic,Read-Only,Text (free),"ArCl+ on 75As | MoO+ on Cd isotopes | Ba2+ on Zn isotopes | None | N/A | Other: specify | For Q-ICP-MS, common interferences include ArCl+ on 75As, MoO+ species on Cd isotopes, and BaO+ on Eu.",Source: ICP-MS module,2026-08-26,channel,,,114Sn+ on 114Cd+; 115Sn+ on 115In+ (stated section 3.1),7Li18O+ on 25Mg; 46Ti on 46Ca; 40Ar26Mg+ on 66Zn; 87Rb+ on 87Sr (Table 1 footnote),95Mo16O+ and 71Ga40Ar+ on 111Cd; 97Mo16O+ and 113In+ on 113Cd; 115Sn+ on 115In+ (stated section 2),N,N,Doubly-charged rare earth elements on 77Se,"86Sr40Ar, 110Cd16O, 110Pd16O on 126Te; 126Xe from 2% HNO3 analytical blanks",40Ar37Cl,N
Interference Correction Method,"Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard. Name the reference material used.",Basic,Read-Only,Text (free),Interference standard solutions (Burney–Neal approach) | Mass-balance equations | Empirical correction factors from pure element solutions | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,channel,,,Empirical correction factors from pure 118Sn solution (stated section 3.1),Empirical correction factors (stated Table 1 footnote),Ratio-based correction using 95Mo and 118Sn monitors (stated section 2),N,N,Mass shift away from the interference rather than mathematical correction,"Corrections established with respective monoelemental solutions, each influencing <0.1% (Filella and Rodushkin, 2018)",Collision-cell suppression using the He:H2 mixture,N
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements. For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used. Record 'None' where neither isotope dilution nor double-spike methods are applied.",Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,None,None,IUPAC isotope dilution equations with ID-IS internal standard normalization (stated section 2),None,IUPAC isotope dilution equations (ID-IS method; stated section 2.1),N,N,N,"ID-IS method of Kagami and Yokoyama (2021); isotope dilution for Ti, Zr, Mo, Hf and W"
Memory Effect Mitigation,"Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one. Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions. At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved.",Advanced,Editable,Text (free),Extended rinse between high-concentration samples and unknowns; flagged in sequence log | Replicate first measurement discarded if preceded by high-concentration standard | None required for this analyte suite | N/A | None,Source: ICP-MS module,2026-08-26,(none),,,Alternating 5% HNO3 + 0.1% HF and 3% HNO3 washout for B and Ta (stated section 3.1),60 s wash between samples (stated Table 1),>=200 s in 0.5 mol/l HNO3; 200 s HF wash after Mo standard (stated section 2),N,~3 min washout; ~3 min uptake stabilization (stated section 2.1.1),N,N,N,N
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,Source: ICP-MS module,2026-08-26,(none),A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.,,"RSD% -- ""The RSD is the relative standard deviation in percent""; n = 4-7 per reference material","RSD% -- ""RSD% (relative standard deviation) = [SD of measurements/average ratio]*100%""","RSD% (n = 5) and RPD (relative percentage difference) -- both used; ""RPD, relative percentage difference""","N -- no uncertainty convention stated for the elemental (Q-ICP-MS) data; the ""2SD, n = 4"" in Methods applies to the delta-66Zn MC-ICP-MS results",RSD% with observed ranges in parentheses,Mean +/- SD,Mean +/- SD,N,N — replicate averages (n = 5) and associated uncertainties stated to be in the supplementary material
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),Quadrature propagation | Monte Carlo | ISO GUM | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,reported property,,,N,N,N,N,N,N,N,N,N
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a monitor element's certified value in the calibration standard).",Advanced,Editable,Text (free),CI chondrite normalization | Primitive mantle normalization | None | N/A | Other: specify,,2026-08-26,reported property,,,N,N,N,N,N,N,N,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-26,reported property,,,"Partially -- ""Drift corrections are carried out using Rh as an internal standard and by repeatedly analyzing a calibration solution as a drift monitor over the duration of a run""; ""The isotope interferences of 114,115Sn+ on 114Cd+ and 115In+ were calibrated through the measurement of 118Sn+"". No factor value or its uncertainty stated","Correction factor CF for the 40Ar26Mg interference on 66Zn: ""In this case, CF is 0.0022""; ""Generally, CF values are around ~0.002""; ""CF was calculated daily by Ks defined by 0.075M HNO3 and two (one each of Mg and Zn) diluted standards"". Calibration slopes and intercepts applied to convert intensity ratios to element/Ca ratios","Relative concentration factors f_G and S_Gi (""the ratio of the concentration in the solution to the signal intensity of the measured isotope"") in the ID-IS equation, obtained from calibrator solutions measured before and after the sample; mass discrimination correction ""based on the mean elemental ratios obtained from the calibrator solution measurements""; MoO+/Mo+ from a Mo standard run ""after every sixth sample"". No numeric factor values reported","Partially -- ""A mixture of certified standards was measured across a range of concentrations to convert count measurements into solution concentrations"". No factor value, determination detail or uncertainty stated","Recovery-yield factors ""determined by the calibration curve and the ID methods using ICP-QMS""; Nb and Ta yields ""obtained by ID-IS method""; ""Errors in the yield determination are estimated to be ~7%; thus >~93% is considered to be the perfect yield""",N,N,N,N
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),,Source: Blank module,2026-08-26,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,,"Per-element blanks in ppb with standard deviation, n = 5 (e.g. B 0.39 +/- 0.26; Zn 0.80 +/- 0.56; Pb 0.043 +/- 0.020; V 0.50 +/- 0.38)","Reported as blank contribution relative to typical foraminiferal test ratios: ""<1% for Ca, Mg, Sr and Li; higher blanks were observed for Cd (<2%), and U (<5%) ... and for Zn (<4%)""; ""The B blank was substantially decreased to ~5% by the employment of a quartz spray chamber, compared with ~30% when using a glass spray chamber""","""Total dissolution blanks for the ultrasonic bath and bomb digestions were similar at <16 pg for each element (n = 4)""; per-element blanks Cd 16 pg, In <0.2 pg, Tl 4 pg, Bi 3 pg",N,"Blanks in spike solutions (pg g-1) and total procedural blank (pg) tabulated per element; ""Blank effects for Ti, Zr, Mo, Hf and Ta from the Ca-Al-Mg solutions and the total procedure were <0.2% and negligible. The blank effects for Sn and Sb ... were 0.4-9% and 0.2-6%"" [sec 2.4]; ""Blank corrections using the values shown in Table 4 were applied to all analyses. The blank corrections were usually <1% in basalt and andesite analyses and <4% in peridotite reference materials"" [sec 3.6]",N,Three blanks run for each extraction; 126Xe contribution from 2% HNO3 analytical blanks noted,N,N — blank data stated to be in the supplementary material; Ta and W blank contributions exceeded 30%
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-26,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",,"Partially -- replicate counts stated per reference material (n = 6, 5, 7, 4, 4; blanks n = 5). No acceptance or rejection rule, and no acquired-versus-included count, stated","Partially -- number of replicate analyses stated per ratio (n = 120, 88, 32, 70, 50). No acceptance or rejection rule stated","Partially -- n = 5 (evaporation test), n = 4 (dissolution blanks), ""an average of eight sessions"" for detection limits. No acceptance or rejection rule stated. 113Cd was excluded as a determination channel -- ""113Cd was not used for Cd determination, because the correction of 113In was far larger than the MoO correction"" -- which is a channel decision, not an analysis-inclusion decision",N,"Partially -- ""Orgueil and Allende were analyzed 4 times and twice from the sample digestion, respectively. ... As the sample amounts used were small, and the carbonaceous chondrites are heterogeneous, analytical results for each run are shown in the table"" alongside the averages. No acceptance or rejection rule stated",N,N,N,"Explicit rule and outcome: 'Although the abundances of Ta and W were measured, the data for these elements were excluded from the results due to high blank contributions (>30%) during the ICP-MS analysis'"
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-26,(none),,,N,"Natural isotopic abundances used to select isotopes and derive correction factors: the Li standard ""was artificially depleted of 7Li (92.32% vs 92.48% for natural)""; ""The natural abundance of 11B (80.17%) is also different from values of foraminiferal samples which are expected to be 80.40-80.43% if assumed to have d11B ratios of 25-27 permil"", giving ""correction factors (0.9983 for Li and 0.9968-0.9971 for B)""; 111Cd 12.8%, 112Cd 24.1%, 114Cd 28.7%, 238U 99.3%","""113In/115In = 0.0448 (Rosman and Taylor 1998)"" used in the In correction; ""For a 94Mo/95Mo value of 0.58"" and MoOH+/MoO+ ""a value of ~0.15 was obtained"", both used in the Mo-oxide correction",N,"Partially -- the ID equation is built on spike and natural isotope ratios, and the mixed standard solution is referenced to the B isotope ratio standard of Makishima et al. (1997). No constant values or their sources are tabulated",N,N,N,N
6. Quality Control & Uncertainty,,,,,,,2026-08-26,,,N,N,N,N,N,N,N,N,N,N
Primary Calibration Standard Name,"Name and reference material identifier of the external calibration standard used to convert signal intensities to elemental concentrations. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),NIST SRM 1640a | Merck multi-element solution | Lab-prepared single-element standard mix | N/A | None | Other: specify,,2026-08-26,(none),,,Multi-element calibration solution (not formally named; stated section 3.1),Series of matrix-matched standards at 100 ppm Ca (not formally named; stated section 2),"Multi-element calibrator solution (Cd, In, Tl, Bi, Sm; not formally named; stated section 2)",Mixture of certified standards (not formally named; stated Methods),Multi-element standard solution (not formally named; stated section 2.1.1),N,N,N,XSTC-13 and a custom solution for the calibration-curve elements; MISA05-1 (AccuStandard Inc.) for Group-3
Calibration Standard Measurement Frequency,"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample.",Basic,Read-Only,Text (free),Before and after every 3 samples | Bracketing every 5 samples | Start and end of session only | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,Every two samples (stated section 2.1.1),N,N,N,N
Secondary Reference Materials,Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and expected-value source.,Basic,Editable,Text (free),BHVO-2 | BCR-2 | AGV-2 | W-2a | N/A | None | Other: specify,,2026-08-26,defines: standard,,,"AGV-1, BHVO-1, G-2, SCO-1, GSR-5 (stated Table 2)",N (inter-lab comparison used; no certified RM listed as secondary standard),"JB-2, JB-3, JA-1, JA-2, JA-3, JP-1, BHVO-1, AGV-1, PCC-1, DTS-1, NIST SRM 610/612/614/616, carbonaceous chondrites (stated in text)",N,USGS and GSJ geological reference materials and carbonaceous chondrites (stated Table 5),N,NCS 73307 stream sediment,CRM-TMDW drinking water and NIST 1643f freshwater,"Smithsonian Allende powder (20 mg), dissolved and measured n = 5 under the same procedure"
Detection Limit,"Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set). Specify units (µg/g or µg/L) and whether values are procedure-typical estimates or session-specific measured values.",Advanced,Basic,Numeric + unit / Text,,,2026-08-26,reported property,,,N,N,"Analyte-specific (pg/ml level; e.g., Cd 0.04 pg/ml, In 0.5 pg/ml, Tl 0.5 pg/ml, Bi 0.6 pg/ml; stated Table 1)",N,N,N,LOD 0.1 ng L-1 (N = 10); selective-extraction Te concentrations 5-fold (F2) to 200-fold (F4) above LOD,LOD 0.01 ug L-1 (N = 10),N
Detection Limit Method,Method used to calculate detection limits for each reported concentration variable.,Basic,Read-Only,Controlled list / Text,3σ blank | 3σ background | 3σ counting statistics | 3× blank mean | Poisson statistics | N/A | None,,2026-08-26,reported property,,,N,N,3 sigma blank (stated section 2),N,N,N,N,N,N
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported.,Advanced,Basic,Controlled list / Text,10σ blank | 10σ background | 10× LOD | 3.3× LOD | S/N ≥ 10 | N/A | None,Source: ICP-MS module,2026-08-26,reported property,,,N,N,N,N,N,N,N,N,N
Counting Statistics Error,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately: where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",Advanced,Basic,Text (free),"e.g., '2SE predicted from counting statistics over 45 cycles' | '~0.6% (1 sigma), counting statistics plus propagated uncertainties' | 'N/A'",,2026-08-26,sample > sampling unit x reported property,,,N,N,N,N,N,N,N,N,N
Internal (Within-Measurement) Analytical Precision and Assessment Method,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it. State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to. Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there.",Advanced,Basic,Text (free),"e.g., '2SE = 2SD/sqrt(n), n = 45 cycles' | '+/-0.001-0.002 (2SE) on 206Pb/204Pb' | '~2.6% (2SE) on single-spot ages' | 'N/A'",Source: ICP-MS module,2026-08-26,sample > sampling unit x reported property,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three.",,N,N,N,N,N,N,N,N,N
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analytical session and the method used to assess it. Report both the assessment method and the precision values. The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI). Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses.",Basic,Basic,Text (free),RSD of replicate standard measurements | RSD of secondary RM replicates | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,standard x reported property,,,%RSD of repeated standard measurements (stated section 3.1),N,%RSD of repeated standard and RM analyses (stated section 2),N,N,N,N,N,N
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it. Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported.",Advanced,Basic,Text (free),RSD of secondary RM across sessions | Control chart | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,standard x reported property,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.,,N,N,N,N,N,N,N,N,N
Analytical Accuracy and Assessment Method,"Offset between measured and accepted values for secondary reference materials, and the method used to assess it. Specify the reference material and the source of its accepted values, the number of analyses, and the quantities assessed. Report systematic biases and their likely causes. Express the offset in the form appropriate to what the procedure reports - percent relative bias for concentrations, or deviation in delta or ratio units for isotopic quantities.",Basic,Basic,Text (free),Percent recovery of secondary RM | Z-score | Bias from certified value | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,standard x reported property,,,"% recovery relative to USGS/GSCA certified/consensus values (stated section 3.2, Tables 2-3)",Comparison with published inter-lab values for Me/Ca ratios (stated section 3),% recovery relative to certified/consensus values for USGS/GSJ/NIST RMs (stated section 3),N,% recovery relative to USGS/GSJ certified values (stated section 3),Recovery on NCS 73307 total digestions 94 +/- 17% (N = 3),Recoveries: NIST 1643f 95 +/- 5% (N = 5) in KED mode and 89 +/- 10% (N = 5) in O2 mode; NCS 73307 99 +/- 14% (N = 4) in KED and 70 +/- 19% (N = 4) in O2 mode,Recoveries 98-... % on CRM-TMDW and NIST 1643f,N
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. The procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,Source: Aggregation module,2026-08-26,reported property,Answers whether a reported aggregate is defensible as a single population. The value cannot be known before the analysis.,,N,"N for the quantity this field defines. A calibration-curve fit statistic is reported -- ""The calibration curves determined from multiple standards are linear and R2 are usually greater than 0.999"" -- which measures the fit of the calibration, not whether scatter among contributing analyses exceeds analytical uncertainty",N,N,N,N,N,N,N
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-08-26,(none),,,Autolens used (not guard electrode; stated section 3.1); 3 sweeps/reading x 3 readings = 9 sweeps/replicate; 48 trace elements analyzed,Peak hopping scan mode explicitly stated in Table 1 [NOTE: no dedicated Signal Collection Mode field in TAPP v2; Phase 4 flag]; pulse counting detection; autolens on (Table 1); 0.03 mm ID pump tubing for ~60 uL/min uptake,Dwell times in Table 1 expressed as ms per 1 s cycle time; octopole CRC present but no gas used (PML practice); 149Sm used as both ID spike and internal standard,He KED applied only for masses 23-75; above mass 75 no KED (stated Methods); coupled to MC-ICP-MS Neptune Plus for Zn isotopes on same dissolved aliquots,Pseudo-flow injection (pFI) acquisition: 30 s / 48 scans / 1 pt per mass; 0.5 mol/l HF as carrier and wash; shield torch on; Pt cones; self-aspiration PFA-20,N,N,N,N
