Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,TEM Imaging,STEM Imaging,Electron Diffraction,Literature Assessment,Chaves2023 | Synthetic magnetite | TEM+STEM imaging + EDS,Zega2025 | Bennu particles | STEM+EDS+SAED (U of A HF5000),Zega2025 | Bennu particles | STEM+EDS (UCB TitanX),Zega2025 | Bennu particles | TEM+STEM+EDS+SAED (Goethe Talos F200X),Zega2025 | Bennu particles | STEM+EDS+HRTEM+SAED (JSC JEOL 2500SE),Matsumoto2021 | Lunar soil | BF/DF TEM + ADF-STEM + SAED (Jena FEI Tecnai G2 FEG),Matsumoto2021 | Lunar soil | TEM + EDS quantitative (Kyushu JEOL JEM-3200FSK),Matsumoto2021 | Lunar soil | STEM-EDS mapping + HR-STEM (Kyushu JEOL JEM-ARM200F),KellerBerger2014 | Itokawa regolith grains | STEM + EDS spectrum imaging (JSC JEOL 2500SE),Zeng2024 | Chang'e-5 lunar glass bead | HAADF-STEM + EDS mapping (Guangdong FEI Talos F200S),Dobrica2022 | Antarctic micrometeorite 03-36-46 | STEM + nanodiffraction + EDS (UH Manoa Titan G2),Dobrica2022 | Antarctic micrometeorite 03-36-46 | STEM-EDS hyperspectral mapping (Mol. Foundry TitanX),Singerling2025 | Bennu OREX-800045-102 | BF-TEM + HAADF-STEM + SAED + EDS (Goethe TS Talos F200X G2),Thompson2020 | Murchison CM2 (laser-irradiated) | BF/DF-STEM + HRTEM + STEM-EDX (JSC JEOL 2500SE),Xing2023 | REVIEW: TEM methods for nanoscale mineralogy in NEPS | No original protocol data,Seifert2026 | Bennu OREX-803173-100 apatite | BF/DF-STEM + EDS (JSC JEOL 2500SE),"Seifert2026 | Bennu OREX-803173-100 apatite | HAADF-STEM + dual EDS + TEM/SAED (K-ALFAA UA Hitachi HF5000, probe Cs-corrected)",Cymes2023 | Apollo 17 soil 71501 pyroxene (1pyx + 2pyx) | BF/EFTEM + SAED + HRTEM (NRL JEOL JEM-2200FS),Cymes2023 | Apollo 17 soil 71501 pyroxene (1pyx + 2pyx) | HAADF-STEM + Dual EELS + EDS (NRL Nion UltraSTEM200-X),Mo2022 | Chang'E-5 lunar soil CE5C0400YJFM00505 | HAADF-STEM + EDS (SINANO CAS FEI Talos F200X),Mo2022 | Chang'E-5 lunar soil CE5C0400YJFM00505 | TEM-EELS (Shanghai Institute of Ceramics CAS Hitachi HF5000)
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'TEM Imaging' | 'STEM Imaging' | 'Electron Diffraction' | 'STEM Imaging; Electron Diffraction',Source: Core module,2026-08-25,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
Accelerating Voltage,Electron beam accelerating voltage in kilovolts (kV). Justify any deviation from the standard operating voltage.,Basic,Editable,Numeric (kV),"e.g., 60 | 80 | 100 | 120 | 200 | 300",,2026-08-27,(none),"For beam-sensitive materials (organic matter, phyllosilicates), 60–80 kV may be used to stay below the displacement threshold for C, N, O, and S. Key parameter for the beam damage regime.",Y,Y,Y,,200 kV,200 keV,80–300 keV (range; specific voltage per dataset not stated),200 kV,200 kV,N,N,N,200 kV,200 kV,300 kV,200 kV (EDS maps acquired at 200 kV; instrument range 80–300 kV),200 kV,200 kV,N/A,200 kV,200 kV,200 keV,200 keV,200 kV,200 kV
Analytical Sub-mode,Sub-mode(s) of imaging or diffraction performed under this procedure. Multiple values apply when the procedure covers more than one sub-mode within a given analytical mode.,Basic,Editable,Controlled list / Text,BF-TEM | DF-TEM | HRTEM | EFTEM (TEM Imaging); HAADF | ABF | BF-STEM | ADF | MAADF (STEM Imaging); SAED | CBED | Nanobeam diffraction | Precession ED | 4D-STEM (Electron Diffraction) | N/A | None,,2026-08-30,(none),,Y,Y,Y,,BF-TEM; HRTEM (TEM Imaging); HAADF-STEM (STEM Imaging),HAADF-STEM; BF-STEM (STEM Imaging); BF-TEM; HRTEM (TEM Imaging); SAED (Electron Diffraction),HAADF-STEM (STEM Imaging),HAADF-STEM (STEM Imaging); BF-TEM (TEM Imaging); SAED (Electron Diffraction),BF-STEM; DF-STEM (STEM Imaging); HRTEM (TEM Imaging); SAED (Electron Diffraction),BF-TEM; DF-TEM; ADF-STEM; SAED (Electron Diffraction),BF-TEM; ADF-STEM; STEM-EDS (line profiles; quantitative),HAADF-STEM (ADF imaging); STEM-EDS (spectrum image map); HR-STEM,BF-STEM; DF-STEM; HRTEM (TEM Imaging); SAED (Electron Diffraction); STEM-EDS (spectrum imaging),BF-TEM; HAADF-STEM; STEM-EDS (X-ray mapping),"DF-STEM; BF-STEM; BF-TEM; HRTEM (TEM Imaging); Nanodiffraction (STEM mode, near-parallel probe); SAED (Electron Diffraction)",HAADF-STEM (Z-contrast); STEM-EDS (hyperspectral map),BF-TEM; HAADF-STEM; SAED (Electron Diffraction); STEM-EDS (point; map),BF-STEM; DF-STEM; HRTEM; STEM-EDS spectrum imaging (maps + line profiles),N/A,BF-STEM; DF-STEM; HAADF-STEM; STEM-EDS mapping,BF-STEM; DF-STEM; HAADF-STEM; TEM (BF-TEM); SAED; STEM-EDS mapping,"BF-TEM; EFTEM (Ca M-edge, 35 eV loss, 10-eV slit); SAED; HRTEM",HAADF-STEM; STEM-EELS spectrum imaging; STEM-EDS spectrum imaging,HAADF-STEM; STEM-EDS mapping; BF-TEM (FFT lattice fringe analysis),HAADF-STEM; TEM-EELS point analysis; TEM-EELS line scan
TEM Objective Aperture,Objective aperture diameter used to select the imaging beam condition in TEM mode.,Advanced,Editable,Text (free),"e.g., '20 µm (BF-TEM, blocks diffracted beams)' | '10 µm displaced to select 002 reflection (DF-TEM)' | 'None (HRTEM)'",,2026-08-27,(none),"In BF-TEM, a small aperture blocks diffracted beams to enhance mass-thickness contrast; in DF-TEM, the aperture is displaced to select a specific diffracted beam; in HRTEM, no aperture is typically used.",Y,N,N,,N,N,N/A,N,N,N,N,N,N,N,N,N/A,N,N,N/A,N,N,N,N/A,N,N/A
EFTEM Energy Window,"Energy window(s) used for EFTEM elemental mapping: center energy, width, and acquisition method (three-window or jump-ratio). Record 'N/A' where EFTEM is not listed in Analytical Sub-mode.",Advanced,Editable,Text (free),"e.g., 'C K-edge: pre-edge 1 at 260–270 eV, pre-edge 2 at 272–279 eV, post-edge at 283–293 eV (three-window method)' | 'Fe L2,3: center 710 eV, 30 eV window (jump-ratio)' | N/A",,2026-08-11,(none),,Y,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 eV (Ca M-edge EFTEM centered at 35 eV energy loss),N/A,N/A,N/A
HAADF Collection Angles,Inner and outer collection angles of the HAADF detector in milliradians (mrad). Inner angle can be derived from camera length and detector geometry.,Advanced,Editable,Text (free),"e.g., '50–200 mrad' | '70–180 mrad' | 'inner ~50 mrad (outer not specified)'",,2026-08-27,(none),"The inner angle determines the boundary between diffracted and thermally diffuse scattered electrons; larger inner angles yield stronger Z-contrast and reduced Bragg contrast. In HAADF-STEM a shorter camera length increases the inner angle, yielding more thermally diffuse (Z-contrast) and less Bragg-diffraction signal. The inner angle is the most critical.",N,Y,N,,N,N,N,Inner 58 mrad (HAADF),N,N,N,N,N,N,N,N,Convergence semi-angle 10.5 mrad; inner collection semi-angle 58 mrad,N,N/A,N,N,N/A,N,N,N
Convergence Semi-Angle,Semi-angle of the converged electron probe in milliradians.,Basic,Read-Only,Numeric (mrad),"e.g., 24 (standard Cs-corrected STEM) | 0.1 (near-parallel, 4D-STEM fine-grained phases) | 9.5 (nanobeam diffraction)",,2026-08-27,(none),"Controls probe size (smaller angle = larger probe but less coherent), depth of field, and in 4D-STEM, the size of diffraction discs vs. spatial resolution. For near-parallel-beam 4D-STEM (e.g., phyllosilicate phase mapping), values as small as 0.1 mrad are used.",N,Y,Y,,N,N,N,10.5 mrad,N,N,N,N,N,N,0.1–0.3 mrad (for nanodiffraction in STEM mode),N,10.5 mrad,N,N/A,N,N,N/A,N,N,N
STEM Probe Diameter,"Nominal or measured diameter of the focused electron probe at the sample, reported in nm. Related to, but distinct from, Convergence Semi-Angle: the two quantities are connected via aberration coefficients, defocus, and probe current, which are not always published. Report whichever is known; if both are known, report both fields. Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.",Advanced,Editable,Numeric (nm),0.1 nm (aberration-corrected Nion UltraSTEM); 2 nm (JEOL 2500SE STEM-EDS); 4 nm (JEOL 2500SE nanobeam),,2026-08-27,(none),Serves as a direct spatial resolution proxy for STEM imaging and STEM-EDS/EELS analysis.,N,Y,N,,N,N,N,N,N,N,N,N,4 nm,N,N,N,N,2 nm,N/A,N,N,N/A,0.1 nm,N,N
STEM Probe Current,Probe current in picoamperes (pA) or nanoamperes (nA). Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.,Advanced,Editable,Numeric (pA or nA),"e.g., '200 pA' | '0.2 nA' | '40 pA (low-dose, organic matter)'",,2026-08-27,(none),"Higher current improves EDS/EELS signal but increases beam damage risk, especially for organic matter and hydrous minerals.",N,Y,N,,N,N,<0.25 nA,N,N,N,N,N,9 nA,1–2 nA (stated as beam current for analysis conditions),N,N,N,N,N/A,N,N,N/A,40 pA,N,100 pA
Dwell Time per Pixel,"Time spent acquiring signal at each pixel during STEM scanning in milliseconds. For dose-sensitive materials, minimize dwell and compensate with frame averaging. Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used. For 4D-STEM dwell time see '4D-STEM Dwell Time per Probe Position'.",Basic,Editable,Numeric + unit,"e.g., '8 µs' | '50 µs' | '1 ms'",,2026-08-30,(none),Longer dwell improves signal-to-noise but increases total specimen dose.,N,Y,N,,N,8 µs (EDS spectrum image frame time per pixel),N,N,50 µs,N,N,N,50 µs/pixel,N,N,N,N,50 µs (kept short to prevent beam damage),N/A,N,N,N/A,N,N,N
STEM Scan Dimensions,Number of pixels in the STEM scan frame (X × Y pixels). Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.,Advanced,Editable,Numeric pair (pixels x pixels),"e.g., 512x512 | 1024x1024 | 2048x2048",,2026-08-27,(none),"Combined with calibrated pixel size, defines the field of view.",N,Y,N,,N,512×512 pixels (EDS spectrum images),N,N,256×200 pixels (EDS spectrum images),N,N,N,256 × 204 pixels (typical; optimized to limit over- or under-sampling with 4-nm probe),N,N,N,N,N,N/A,N,N,N/A,N,N,N
STEM Frame Averaging,Number of frames averaged (with drift correction if applicable) to produce the final STEM image. Also governs STEM-EDS and STEM-EELS acquisition where those detectors are used.,Advanced,Editable,Text (free),"e.g., '1 (single frame)' | '4 frames averaged' | 'drift-corrected sum of 10 frames (SmartAlign or equivalent)'",,2026-08-27,(none),Averaging reduces noise while limiting per-frame dose.,N,Y,N,,N,N,Sequential acquisition several minutes to >1 h; combined using Python (light-element volatilization control),N,Successive frames until counting statistics <1% for major elements,N,N,N,Multiple consecutive spectrum image layers accumulated (target: >10% counting statistics per pixel for major elements),N,N,N,N,Successive scans accumulated until major element counts achieved 1% counting statistics,N/A,N,N,N/A,N,N,N
Camera Length,Nominal camera length in millimeters used for diffraction pattern acquisition. Must be calibrated to convert pixel distances to d-spacings. Calibration to absolute d-spacings is required — see 'Diffraction Calibration Reference'.,Basic,Editable,Numeric (mm),"e.g., 100 | 150 | 200 | 300 | 600",,2026-08-27,(none),"In STEM mode, also sets HAADF/ABF detector collection angles. Camera length choice affects HAADF Z-contrast purity: a shorter camera length (e.g. 30 mm) shifts the inner angle toward thermal diffuse scatter; a longer one (e.g. 150 mm) admits more Bragg scatter. Controls the mapping between reciprocal-space scattering angle and detector position.",N,Y,Y,,N/A,N,N/A,N,N,N,N/A,N/A,N,N/A,295 mm (stated for nanodiffraction),N/A,N,N/A,N/A,N,N,N,N/A,N/A,N/A
Selected-Area Aperture Size,"Diameter of the selected-area aperture used in SAED mode, defining the specimen region that contributes to the diffraction pattern.",Advanced,Editable,Text (free),"e.g., '10 µm aperture (projects to ~0.5 µm on specimen)' | '40 µm aperture' | 'None (CBED, nanobeam, or 4D-STEM mode)'",,2026-08-11,(none),,N,N,Y,,N/A,N,N/A,N,N,N,N/A,N/A,N,N/A,N,N/A,N,N/A,N/A,N,N,100 nm (SAED aperture),N/A,N/A,N/A
Precession Angle,"Precession semi-angle in degrees for precession electron diffraction (PED). Not applicable to SAED, CBED, or standard 4D-STEM. Record 'N/A' where Precession ED is not listed in Analytical Sub-mode.",Advanced,Editable,Numeric (degrees),"e.g., 0.5 | 1.0 | 1.5 | N/A (not PED)",,2026-08-27,(none),Hollow-cone illumination reduces dynamical diffraction effects and produces more kinematical-like intensities.,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4D-STEM Scan Grid and Area,Number of probe positions in the 4D-STEM dataset (scan pixels × scan pixels) and the physical area covered. Probe step size is the physical area divided by scan pixel count. Record 'N/A' where 4D-STEM is not listed in Analytical Sub-mode.,Advanced,Editable,Text (free),"e.g., '128×128 probe positions over ~1×1 µm' | '256×256 over 500×500 nm (step size ~2 nm)' | N/A",,2026-08-11,(none),,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4D-STEM Dwell Time per Probe Position,Time spent acquiring each diffraction pattern in the 4D-STEM dataset in milliseconds. Record 'N/A' where 4D-STEM is not listed in Analytical Sub-mode.,Advanced,Editable,Numeric (ms),"e.g., 3.5 | 10 | 20 | N/A",,2026-08-27,(none),"Longer dwell improves signal-to-noise for weakly diffracting phases (e.g., smectite 001 reflection at ~1.24 nm) but increases total specimen dose; risk of beam damage to phyllosilicates and organic matter must be balanced against data quality.",N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diffraction Camera Length Calibration Method,Method used to calibrate the camera length constant and convert pixel distances in diffraction patterns to d-spacings or reciprocal lattice vectors.,Advanced,Editable,Controlled list / Text,"External standard (Au film, d111=0.2355 nm) | External standard (Al film) | In-situ Pt nanocrystals | Known phase in specimen (internal standard) | Manufacturer calibration constant | CIPS software | Unknown | N/A | None",,2026-08-30,(none),,N,N,Y,,N/A,N,N/A,"External standard (AGAR S106 cross grating, 3 mm)",N,N,N/A,N/A,N,N/A,N,N/A,External standard: Cross Grating 3 mm S106 from AGAR (image magnification and camera constant calibrations),N/A,N/A,N/A,N,N,N/A,N/A,N/A
EDS Acquisition Mode,"Spatial acquisition sub-strategy for EDS measurements: stationary-beam point acquisition, line scan (beam stepped along a transect at defined intervals), or area map / spectrum image (beam rastered over a pixel grid). Specifies how the beam is positioned during data collection within the declared analytical mode. Record 'N/A' where the procedure has no EDS detector. 'Point' covers what the literature also calls spot or point-spectrum analysis. 'Map' and 'Spectrum image' are distinct acquisitions, not synonyms: a map may retain element intensities alone, whereas a spectrum image retains a full spectrum at every pixel and can be requantified afterwards — record which was acquired. Where more than one mode was used, join them with '; ' rather than looking for a combined member.",Basic,Editable,Controlled list,Point | Line scan | Map | Spectrum image | Simultaneous EDS+EELS | N/A | None,,2026-08-31,(none),,Y,Y,N,,Line scan; Spectrum image (map),Spectrum image (map),Spectrum image (map),N,Spectrum image (map),N/A,Line scan; quantitative point analysis,Spectrum image (map),Spectrum image (map); line profile,Spectrum image (map),N,Spectrum image (hyperspectral map),Spectrum image (map); point analysis,Spectrum imaging (spatially resolved maps and line profiles); successive accumulated scans,N/A,Spectrum imaging (EDS elemental maps); false-color RGB maps,Spectrum imaging (EDS elemental maps); false-color maps,N/A,Spectrum imaging (SI): simultaneous EELS + EDS at each pixel; both low-loss and core-loss EELS collected,EDS chemical mapping (Fe distribution),N/A
EDS Live Time per Point or Pixel,"EDS spectral acquisition live time per analysis point (point/line mode) or per pixel (spectrum image) in seconds. Also referred to as ""EDS Acquisition Time"" in EPMA and some SEM-EDS contexts, where the per-pixel distinction is less relevant. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).",Advanced,Editable,Numeric (s),"e.g., 30 | 60 | 120 (point analysis) | 0.008 (per pixel in spectrum image map) | N/A",,2026-08-11,(none),,Y,Y,N,,N,N,N,N,N,N/A,N,N,N,N,N,N,N,N,N/A,N,N,N/A,N,N,N/A
EDS Energy Range,Energy range of EDS spectrum acquisition in keV. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).,Advanced,Editable,Text (free),"e.g., '0–20 keV (2048 channels)' | '0–10 keV (1024 channels)' | N/A",,2026-08-11,(none),,Y,Y,N,,N,20 keV (2048 channels),N,N,N,N/A,N,N,N,N,N,N,N,N,N/A,N,N,N/A,N,N,N/A
Matrix Correction Method,"X-ray matrix correction algorithm applied during quantitative EDS or WDS data reduction. For X-ray mapping, applies when raw count maps are converted to quantitative concentration maps. Where the k-factors or calibration constants themselves came from — measured standards, a vendor library, or theoretical cross-sections — is a separate question answered by this technique's calibration-standard field, not here; a procedure may be both absorption-corrected and standardless.",Basic,Read-Only,Controlled list / Text,Cliff-Lorimer (k-factor) | ζ-factor (zeta-factor) | Absorption-corrected Cliff-Lorimer | N/A | None,,2026-08-30,(none),,Y,Y,N,,Cliff-Lorimer (k-factor),N,N,N,Cliff-Lorimer (k-factor from well-characterized standards; Thermo System7),N/A,Cliff-Lorimer (thin film approximation); k-factors calibrated from reference standards,N,N,Brown–Powell ionization cross-section model (implemented in Velox 2.14),N,N,Cliff-Lorimer (k-factor) method; no absorption corrections,N,"EDS described as ""mostly semiquantitative""; standard-based quantification (matched thickness/composition standard) achieves ~0.1% error; quantitative EDS rarely performed without standards",N,N,N/A,Cliff-Lorimer method with detector-specific k-factors; no absorption correction (sample thin); pyroxene compositions calculated with assumed O stoichiometry of 60%,N,N/A
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),"e.g., 'Fe, O, Si, Mg, Ca, Al' | 'Fe, O, C, N' | 'Fe, O, Si, Mg, Ca, Al, Ti (EDS); Fe, O (EELS)'",Source: Analyte module,2026-08-25,defines: analyte,,Y,Y,N,,"Fe, O","Si, Mg, Al, Fe (sheet silicates); Fe, S, Ni (sulfides); C, Si, Fe (carbonates/nanoglobules)",N/A,N/A,N,N/A,"Fe, S, Ni","Fe, S, O, Si, Ca, Mg, Pt","Si, Mg, Fe, S, Al, Ca, Ti, O","Ti, O, Fe (also Cu Kα, Cu Kβ from TEM grid detected)","Mg, Ca, Fe, Mn, Si, C, O, S, P","Mg, Ca, Fe, Mn, Si, Al, Cr, C, O, S, P (from Table 1)","Na, Ca, C, O, Mg, Fe, Si, F, Cl (from Table 1 and A1)","Fe; Ni; S; Si; O; Mg; Ca (EDX maps of irradiated matrix, olivine, and sulfide sections)",N/A,Ca; P; Na; Mn; O; Mg; Si; F; Cl; Fe,Ca; P; Na; Mn; O; Mg; Si; F; Cl; Fe,N/A,Ca; Mg; Fe; Si; O; Al; Ti,Fe; O,Fe
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-25,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
EELS Acquisition Mode,Mode of EELS data acquisition. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).,Basic,Editable,Controlled list,Point spectrum | Line scan | Spectrum image (SI) | Dual-EELS (simultaneous low- and high-loss) | Simultaneous EDS+EELS | N/A | None,,2026-08-30,(none),,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dual EELS spectrum imaging (simultaneous low-loss and core-loss),N/A,Point analysis and line scan EELS
EELS Edges,"Ionization edge(s) acquired by EELS, specified by element symbol and edge label (e.g., Fe L2,3; O K). Provides the EELS-specific counterpart to the Analyte field: while Analyte lists elements, EELS Edges documents which ionization edges were used and their approximate energy loss positions. The edge list may be narrowed at analysis time. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).",Basic,Editable,Text (free),"e.g., 'Fe L2,3 (707 eV), O K (532 eV)' | 'C K (283 eV), N K (401 eV), O K (532 eV)' | 'Fe L2,3 (707 eV), Mg K (1305 eV), Si K (1839 eV)' | N/A",,2026-08-27,defines: channel per analyte,,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fe L2,3 edge (700–735 eV); O K-edge (528–550 eV)",N/A,"Fe L3,2 edge (~707–709 eV; L3 peak at 707.7 eV for Fe⁰, 707.2 eV for Fe²⁺, 709.0 eV for Fe³⁺)"
EELS Collection Semi-Angle,Semi-angle of the EELS spectrometer entrance aperture in milliradians. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).,Basic,Read-Only,Numeric (mrad),"e.g., 34 | 60 | 100 | N/A",,2026-08-27,(none),Controls the fraction of inelastically scattered electrons collected and the spectral background level.,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Power-law background removal,N/A,N
EELS Energy Dispersion,Energy dispersion of the EELS spectrometer in eV per channel. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).,Advanced,Read-Only,Numeric (eV/channel),"e.g., 0.01 | 0.05 | 0.1 | 0.5 | N/A",,2026-08-27,(none),Controls the energy range acquired per readout and the effective energy resolution trade-off.,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Double-arctan continuum removal (for Fe L2,3 white-line integration)",N/A,N
EELS Energy Resolution,"Full-width at half-maximum (FWHM) of the zero-loss peak in eV, measured at operating conditions. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).",Advanced,Read-Only,Numeric (eV FWHM),"e.g., 0.3 (monochromated, cold-FEG) | 0.7 | 1.0 | 1.5 (non-monochromated LaB6) | N/A",,2026-08-27,(none),Reflects combined electron source energy spread and monochromator effect (if active). Critical for ELNES fine-structure interpretation.,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,0.5–0.7
EELS Acquisition Time per Spectrum,Exposure time per individual EELS spectrum (or per pixel for spectrum images) in seconds. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).,Basic,Editable,Numeric (s),"e.g., 0.5 | 1 | 5 | 30 | N/A",,2026-08-11,(none),,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fe (L2,3); O (K)",N/A,"Fe (L3,2)"
EELS Energy Loss Range,"Energy loss range acquired, defined by onset energy and width in eV. The target range covers the registered analyte edges; the actual range acquired may differ. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).",Basic,Editable,Text (free),"e.g., 'Low-loss: 0–100 eV; Core-loss: 250–750 eV (C K and Fe L2,3)' | 'Core-loss: 680–730 eV (Fe L2,3 only)' | 'Core-loss: 270–310 eV (C K-edge ELNES for carbonate identification)' | N/A",,2026-08-27,(none),,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fe (L2,3); O (K)",N/A,"Fe (L3,2)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
5. Data Processing,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
