Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
Oxide Production,"Actual oxide production ratio measured during this analytical session, using the method specified in the procedure-level field ""Oxide Production Method and Threshold"". Report the measured value and confirm it met the procedure threshold.",N/A,Basic,Text (free),"e.g., 'ThO⁺/Th⁺ = 0.3% (threshold <0.5% met)' | 'ThO⁺/Th⁺ = 0.08%' | 'CeO⁺/Ce⁺ = 0.7% (threshold <1.0% met)'",,2026-07-24,Y,Y,Y,,N,N,N,N,N,N,N,N,ThO/Th = measured at <0.3%; U/Th = 0.95–1.05 (on NIST SRM 612),N,N,N (not stated) [P4],N (not stated) [P4]
Doubly-Charged Species Monitor,The mass ratio monitored to estimate doubly-charged ion (M²⁺) formation during instrument tuning. Doubly-charged ions appear at half the mass of the parent ion and can cause isobaric interferences on analytes in that mass region. The monitor species and the mass positions monitored should be stated explicitly. Analogous to Oxide Production Method and Threshold for oxide monitoring.,Advanced,Editable,Text (free),¹³⁸Ba²⁺/¹³⁸Ba⁺ (m/z 69/138); Ce²⁺/Ce⁺ (m/z 70/140); ²³⁸U²⁺/²³⁸U⁺ (m/z 119/238),,2026-05-14,Y,Y,Y,,,,,,,,,,,,,,
Doubly-Charged Species Production,"Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here. Report both the threshold and the measured value where possible.",Advanced,Editable,Text (free),"<1% (threshold); 0.4% (measured, ¹³⁸Ba²⁺/¹³⁸Ba⁺); N (not reported)",,2026-07-24,Y,Y,Y,,,,,,,,,,,,,,
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions. These constraints are part of the procedure and cannot be varied by the analyst.",Advanced,Read-Only,Text (free),"e.g., '≥30 min warm-up after sample change; sessions ≤8 h after tuning' | '3–4 h warm-up; no session duration limit'",,2026-07-24,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N (not stated) [P4],N (not stated) [P4]
Analysis Sequence,"Repeating order of primary calibration standard(s), quality control standard(s), and unknown analyses within a measurement session. Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.",Basic,Editable,Text (free),"e.g., '1 primary std / 1 QC / 10 unknowns' | '2/4/15' | 'Calibration at start and end; unknowns in between'",,2026-07-24,Y,Y,Y,,Standards at start of session → raster unknowns → repeat → standards at end; separate session for Ge spot analyses,(i) Gas blanks → (ii) all glass GRMs for external calibration → (iii) 1–3 cosmic spherule unknowns → (iv) blanks → (v) all glass GRMs again,GRM block (3–5×) → unknowns → GRM block (3–5×); same structure for run 1 and run 2,MPI-DING and USGS GRMs at beginning → unknowns → repeated GRM at end,"BCR-2g, BHVO-2g, BIR-1g measured as calibration standards; Marjalahti as in-session control",IVB meteorite standards (Warburton Range external + Tawallah Valley secondary) measured alongside unknowns; exact bracketing not described,NIST SRM 612(×3) → North Chile(×3) → unknowns(×10) → NIST SRM 612(×2) → North Chile(×2) → unknowns(×10) → … (bracketing every 15),Background (1 min) → NIST SRM 612(×3) → North Chile(×3) → unknown map (30 min) → North Chile(×3) → NIST SRM 612(×3) → background,Gas blank (25 s) → ablation (45 s) → washout (25 s); NIST 612 and 614 as external standards; BHVO-2 and 6 GRMs measured as unknowns,NIST 610 as primary standard measured in session; NIST 612 and BCR-2G as monitoring standards; unknowns bracketed by standards,Same bracketing as silicate glass protocol,NIST 610 glass standard analyzed before and after every session; unknowns in between [P4],Same as silicate protocol [P4]
Analyte,"Isotopes (mass/charge) this procedure is designed to measure. Defines the scope of the procedure and enables matching of procedures to analytical needs. At analysis level, record the specific isotopes actually measured in the session — this may be a subset of the procedure scope if certain masses were excluded due to interference issues or detector limitations.",Basic,Editable,Text (free),"e.g., 'Major elements: ²⁵Mg, ²⁸Si, ⁴⁴Ca, ⁵⁷Fe; Trace elements: ⁴⁵Sc, ⁵¹V, ⁵³Cr ... ²³⁸U' | 'All REE: ¹³⁹La–¹⁷⁵Lu'",,2026-07-24,Y,Y,Y,,"³¹P, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁷¹Ga, ⁷⁴Ge, ⁷⁵As, ⁹⁵Mo, ¹⁰²Ru, ¹⁰³Rh, ¹⁰⁶Pd, ¹²⁰Sn, ¹²¹Sb, ¹⁸²W, ¹⁸⁵Re, ¹⁹⁰Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (23 elements; 31P, 51V, 53Cr, 55Mn, 57Fe, 59Co, 60Ni, 63Cu, 71Ga for spot Ge runs)","²⁵Mg, ²⁷Al, ²⁹Si, ³¹P, ⁴⁵Sc, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁶⁰Ni, ⁷¹Ga, ¹³⁹La, ¹⁵³Eu, ¹⁹⁵Pt (14 nuclides)","Run 1 (major): ²⁵Mg, ²⁹Si, ³¹P, ⁴⁴Ca, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe (7 nuclides; medium resolution); Run 2 (trace): ⁷Li, ⁴⁵Sc, ⁵¹V, ⁵³Cr, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La–¹⁷⁵Lu (all REE), ¹⁸⁰Hf, ¹⁸¹Ta, ¹⁸²W, ¹⁸⁵Re, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au, ²³²Th, ²³⁸U (36 nuclides)","²³Na, ²⁵Mg, ²⁷Al, ²⁹Si, ³¹P, ³⁹K, ⁴⁴Ca, ⁴⁵Sc, ⁴⁷Ti, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁸⁵Rb, ⁸⁸Sr, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La–¹⁷⁵Lu (all REE), ¹⁸⁰Hf, ¹⁸¹Ta, ²⁰⁸Pb, ²³²Th, ²³⁸U (43 nuclides)","²⁵Mg, ²⁷Al, ³¹P, ⁴³Ca, ⁴⁴Ca, ⁴⁵Sc, ⁴⁷Ti, ⁴⁹Ti, ⁵¹V, ⁵²Cr, ⁵³Cr, ⁵⁹Co, ⁶⁰Ni, ⁶¹Ni, ⁶²Ni, ⁶⁴Zn, ⁶⁶Zn, ⁶⁹Ga, ⁷¹Ga (19 nuclides)","⁵⁹Co, ¹⁰¹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (9 HSE isotopes); ²⁴Mg, ²⁹Si, ³¹P, ³³S monitored for inclusion detection; ⁶¹Ni as internal standard","⁵²Cr, ⁵⁷Fe, ⁵⁹Co, ⁶¹Ni, ⁶⁵Cu, ⁶⁹Ga, ⁷²Ge, ⁷⁵As, ⁹⁹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸²W, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (17 isotopes); low relative abundance isotopes chosen for Ni and Fe (analog mode)","⁵²Cr, ⁵⁷Fe, ⁵⁹Co, ⁶¹Ni, ⁶⁵Cu, ⁶⁹Ga, ⁷²Ge, ⁷⁵As, ⁹⁹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸²W, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (same 17 isotopes as spot protocol)","²¹Sc, ⁵¹V, ⁵²Cr, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁶⁹Ga, ⁸⁵Rb, ⁸⁸Sr, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La, ¹⁴⁰Ce, ¹⁴¹Pr, ¹⁴⁶Nd, ¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁷Gd, ¹⁵⁹Tb, ¹⁶³Dy, ¹⁶⁵Ho, ¹⁶⁶Er, ¹⁶⁹Tm, ¹⁷²Yb, ¹⁷⁵Lu, ¹⁷⁸Hf, ¹⁸¹Ta, ²³²Th, ²³⁸U (32 trace elements)","¹⁹⁷Au, ⁶³Cu (primary targets); all detected via Agilent 7900 (exact isotope list not fully stated)","¹⁹⁷Au, ⁶³Cu (primary targets; Si and Fe from EMP as internal standards)","N (not explicitly listed in methods; results text mentions Sc, V, Ti, Co, Ni, REEs measured in silicates; full isotope list not stated) [P4, P7, P11]",N (not explicitly listed in methods; merrillite REE La-Lu at 14–414 ppm range mentioned in results; full isotope list not stated) [P12]
Monitored Isotopes,"Specific isotope(s) monitored per analyte element in this procedure, including any interference-monitor masses. Analyte-specific field.",Basic,Read-Only,Text (free),⁷Li | ²⁵Mg | ⁵⁶Fe | ²⁰⁸Pb | N/A | None | Other: specify,Analyte-Specific,2026-07-24,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from Analyte and Monitored Isotopes, which record what was acquired. A procedure may acquire many masses and report a small number of derived quantities; without this field a data consumer cannot tell which columns of a dataset the procedure is accountable for.",Basic,Read-Only,Text (free),"e.g., 'Element concentrations in ug/g; 2SE per analyte' | '207Pb/206Pb, 206Pb/238U, 207Pb/235U (radiogenic, common-Pb corrected), absolute ratios with 2-sigma'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Mass Resolution per Analyte,Mass resolution mode assigned to each analyte in this procedure. The selected resolution determines which polyatomic interferences are physically resolved by the magnetic sector. Per-analyte assignments are documented here; the overall mode(s) used in the procedure are recorded in Mass Resolution Setting (Group 3). Analyte-specific field.,Basic,Read-Only,Text (free),"LR: Ag, Cd, Sb, Tl, Bi; MR: Ga, Ge, Mo, In, Sn, W | All LR (m/Δm ≈ 300) | N/A | None | Other: specify",SF-ICP-MS only; Analyte-Specific,2026-07-24,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
E-scan Range,"Electric scan range used for peak acquisition, expressed as percentage of the centre mass (%). Varies the accelerating voltage to cover masses in the vicinity of the set magnetic mass without re-scanning the magnet. Record 'N/A' if E-scan acquisition mode is not used.",Advanced,Read-Only,Numeric (%),15% | 10% | N/A,SF-ICP-MS only,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Triple Scanning Mode,"Whether each mass peak is scanned three times per cycle and the results averaged (Y/N). Used to reduce noise from short-term magnetic field instabilities on sector-field instruments. In LA-SF-ICP-MS, triple scanning affects the effective integration time per cycle and should be reported. Record 'N/A' if not applicable to the instrument.",Advanced,Read-Only,Controlled list,Y | N | N/A | None | Other: specify,SF-ICP-MS only,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Signal Collection Mode,"Mode used to collect ion signal across the monitored masses. In peak hopping mode, the quadrupole jumps sequentially between pre-set mass positions and dwells at each peak; in scanning mode, the quadrupole sweeps continuously across a defined mass range. Peak hopping is standard for multi-element trace analysis as it maximises integration time at each mass.",Basic,Read-Only,Controlled list,Peak hopping | Scanning | N/A | None | Other: specify,Q-ICP-MS only,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from Pulse/Analog Detector Nonlinearity Correction, which cross-calibrates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),"e.g., '23' | '23 ns (determined from NIST 612 at varying spot size, checked quarterly)'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Collision Gas Type,Type of collision gas introduced into the collision/reaction cell in KED mode. Helium (He) is the standard collision gas for kinetic energy discrimination due to its low mass and chemical inertness. Record 'None' if the CRC is in STD mode or not installed.,Basic,Read-Only,Text (free),He (helium) | None | N/A | Other: specify,Q-ICP-MS only,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Collision Gas Flow Rate,"Flow rate of the collision gas (typically He) introduced into the collision/reaction cell, in mL/min. Controls the degree of ion thermalization and KED efficiency. Record 'None' if the CRC is in STD mode.",Basic,Editable,Numeric (mL/min),3.5 mL/min | 4.0 mL/min | None (STD mode),Q-ICP-MS only,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Cell Exit Discrimination Voltage,"Bias voltage applied at the collision/reaction cell exit to discriminate between analyte ions and low-energy polyatomic interferences in KED mode, in volts (V). A negative bias preferentially retards slow polyatomic ions while transmitting faster analyte ions. Record 'None' if the CRC is in STD mode.",Basic,Editable,Numeric (V),−5 V | −8 V | None (STD mode),Q-ICP-MS only,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Reaction Gas Type,"Type of reactive gas introduced into the dynamic reaction cell (DRC) for interference removal through ion-molecule reactions. Common reaction gases include NH₃ (e.g., for Fe, Ca, K isotopes) and O₂ (e.g., for As, Ge). Record 'None' if DRC mode is not used.",Advanced,Read-Only,Text (free),NH₃ | O₂ | CH₄ | None | N/A | Other: specify,Q-ICP-MS only,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Reaction Gas Flow Rate,"Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC), in mL/min.",Advanced,Editable,Numeric (mL/min),0.4 mL/min | 0.8 mL/min | None,Q-ICP-MS only,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Dwell Time per Mass,"Count time (dwell time) per mass position for each measured isotope in milliseconds. Longer dwell times improve counting statistics and lower detection limits but reduce the number of isotopes measurable within a given scan cycle time. For mapping, scan cycle time directly determines spatial resolution at a given scan speed: shorter cycle time = finer spatial resolution.",Basic,Editable,Text (free),"e.g., 6 ms (most isotopes); 35 ms (¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁸Gd for REE work)",Analyte-Specific,2026-06-17,Y,Y,Y,,N (dwell times not reported),0.01 s (10 ms) per nuclide; samples per peak: 10; duty cycle time: 1.944 s (14 nuclides),Run 1 (major): 0.01 s per nuclide; samples per peak: 18; duty cycle: 2.069 s; Run 2 (trace): 0.01 s per nuclide; samples per peak: 7; duty cycle: 2.062 s,"0.01 s per nuclide; samples per peak: 5; duty cycle: 1.813 s; mass window 150% for ²³Na–⁴⁷Ti, 100% for all other nuclides",N (parameters lost; 10–50 ms varies by isotope per paper text),N,0.02 s per isotope; 100 samples per peak; 10 runs; 60 passes; total measurement time 120 s per analysis,0.02 s per isotope; 100 samples per peak (same as spot protocol),30 ms (most isotopes) / 10 ms (alternate; dual detector mode),N,N,N (not stated) [P4],N (not stated) [P4]
Total Integration Time per Output Data Point,"Total duty-cycle time for one complete mass-scan sweep — the sum of all per-isotope dwell times plus inter-mass settling times. Sets the time resolution of the downhole signal, and is not recoverable from Dwell Time per Mass alone because settling time is not captured there. Applies to sequential (quadrupole and single-collector sector-field) acquisition.",Basic,Editable,Numeric (s),"e.g., '0.284' | '0.31 s (24 masses, 10 ms dwell, 4 ms settling)'",,2026-08-08,Y,Y,N,,,,,,,,,,,,,,
Background Count Time,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment.",Basic,Editable,Numeric (s),"e.g., '30 s (spot/transect)' | '10 s per raster line (mapping)' | '25 s (one gas blank map per GRM at session start)'",,2026-05-06,Y,Y,Y,,N (gas blank measured before analyses but duration not reported),Scans for gas blank: 10 per line (before each mapping line); 80 scans during ablation,Run 1: 5 gas blank scans; 24 ablation scans; Run 2: 5 gas blank scans; 24 ablation scans,8 gas blank scans; 11 ablation scans (25 cycles measurement: 15 s blank + 20 s ablation + 10 s washout),N (parameters lost; gas blank measured before each analysis per paper text),N,20 s background measurement (laser shutter closed) before each 40 s ablation,60 s background measurement before mapping session start; 3 measurements each for NIST and North Chile after background,25 s gas blank before each ablation,N (gas blank measured but duration not explicitly stated),N,50 s (background counted for 50 s before each LA-ICP-MS analysis) [P4],50 s (same as silicate protocol) [P4]
Multi-Run Sequential Analysis Design,"Whether the procedure uses a single acquisition pass or multiple sequential runs on the same sample location, each optimized for different analytical objectives. For multi-run designs, describe the number of runs, their purpose, key laser and instrument settings per run, and how outputs of one run feed into data reduction of another. Not applicable to raster mapping, where each spatial location is visited exactly once.",Advanced,Read-Only,Text (free),"e.g., Single run | Two sequential runs: run 1 (major elements, 30 µm circular, medium resolution) → run 2 (trace elements, 130 µm circular, low resolution; Cr from run 1 as IS) | Pre-ablation pass + single acquisition run",,2026-07-24,Y,Y,N,,N (single raster acquisition; Ge spot separate session),N/A (mapping; no sequential multi-run),"Three-stage sequential design on same olivine location:
(1) Pre-ablation pass (2 J cm⁻², 150 µm square, 300 µm s⁻¹) to remove surface contamination;
(2) Run 1 — major elements (30 µm circular, MR M/ΔM=4000, 20 Hz, 7 nuclides);
(3) Run 2 — trace elements (130 µm circular, LR M/ΔM=300, 40 Hz, 36 nuclides; Cr from run 1 as IS)",Single spot analysis run per location (25 cycles: 15 s blank + 20 s ablation + 10 s washout); 3 replicates,Single spot per location (75 µm circular),Single spot per location (30 µm circular),Single acquisition run (20 spot analyses per sample under repeatability conditions),N/A (mapping),Single spot per location (45 s ablation at 1 Hz),Single spot per location (~40 s ablation at 7 Hz),Single spot per location (sulfides; same acquisition parameters as glass but 20 µm spot),Single spot analysis per location [P4],Single spot analysis per location [P4]
Analysis Location/Spot Coordinates,"Location of the analysis on the sample surface. For spot and transect analysis: stage coordinates (X, Y in µm) or a description relative to a named reference feature (e.g., mineral rim, inclusion boundary). For mapping: coordinates of the map corner(s) or centre, plus map dimensions. Enables spatial reconstruction and co-registration with other analytical images.",N/A,Basic,Text (free),"e.g., 'X = 12350 µm, Y = 8760 µm (stage coordinates)' | '500 µm from metal-olivine rim toward core' | 'Map centre: X=15000, Y=9000 µm; area: 1450×600 µm'",,2026-05-06,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Number of Replicates,Number of replicate analyses performed on the same sample (or same nominal location for spot analysis) in this session. For spot analysis: number of individual spot analyses per grain or location. For transect: number of replicate transect lines. For mapping: number of map acquisitions of the same area (usually 1).,N/A,Basic,Integer,"e.g., 3 (three replicate spots per grain) | 1 (single transect) | 1 (single map)",,2026-05-06,Y,Y,Y,,N (number not stated explicitly; multiple irons analyzed),N (single map per olivine crystal section per sample),3 replicate analyses per grain (3× run 1 + 3× run 2 on same location),Multiple phosphate grains per meteorite; number varies by section,N (variable number of spots per sample),"N (variable number of spots per grain; Mg, Si, P, S monitored to check for inclusions)",20 spot analyses per meteorite under repeatability conditions; additional measurements on different days,1 map per meteorite (single 30-min mapping acquisition),9 spot analyses in grid pattern for homogeneity testing; multiple analyses per fusion glass disk,N (variable per run),N (grain size >20 µm selected; number of analyzed grains variable),N (not stated),N (not stated)
Transect Length,"Total length of the transect line analysed in micrometres. This is an analysis-level parameter because it depends on the size of the feature of interest rather than being fixed in the procedure. The procedure fixes scan speed (captured in Transect Rate, Mapping Rate or Step Size); transect length is determined at analysis time based on grain or feature size.",N/A,Basic,Numeric (µm),"e.g., 500 µm | 1200 µm | 3000 µm",,2026-07-24,N,Y,N,,N/A,N/A,Line scan length: 400 µm (runs 1 and 2; 34 runs adjusted to measure 400 µm line + blank + washout),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A (spot analysis),N/A (spot analysis)
Mapping Area,"Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm². This is an analysis-level parameter because it depends on the size of the grain or phase to be mapped. The procedure fixes scan speed, line spacing, and spot size; the map area is chosen at analysis time to cover the target feature.",N/A,Basic,Text (free),"e.g., '1450×600 µm (870,000 µm²)' | '200×200 µm' | '0.5 mm²'",,2026-07-24,N,N,Y,,"Raster over ""a few millimeters"" of polished iron slab surface (area not precisely stated)","Each map: 1450×600 µm = 870,000 µm²; total of 8 PMG olivines mapped",N/A (line scan + spot; not 2D raster),N/A,N/A,N/A,N/A,Augusto Pestana: 30 min mapping session (area not explicitly stated; 150 µm spot at 10 µm s⁻¹),N/A,N/A,N/A,N/A (spot analysis),N/A (spot analysis)
,,,,,,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,,N,N,N,N,,,,,,,,,,,,N,N
Internal Standard Approach,"Method used to determine the internal standard (IS) concentration for each unknown sample, used to correct for variable ablation yield between analyses. The approach is a fundamental procedure design choice that cannot be changed by analysts.",Basic,Read-Only,Text (free),"e.g., 'Single element from EPMA (SiO₂ wt% used as IS)' | 'Sum-of-major-oxide normalization to 100% (Liu et al. 2008)' | 'Stoichiometry-derived (Ca fixed at 10.1 wt% for calcite)' | 'No IS — external calibration only'",,2026-07-24,Y,Y,Y,,Standardization techniques followed those of Humayun (2012) [Section 2.2; specific IS approach not restated in this paper],Sum-of-major-oxide normalization: MgO+FeO+SiO₂+P₂O₅ = 100 wt% per pixel (Liu et al. 2008 approach; no EPMA required for IS),Run 1 (major elements): sum-of-oxide normalization (MgO+FeO+SiO₂+P₂O₅=100 wt%; Liu et al. 2008); Run 2 (trace elements): single element IS from Run 1 (⁵³Cr concentration from major element run used as IS for trace element run),Sum-of-major-oxide normalization to 100 wt% (Liu et al. 2008; Appendix C3),Single element from EPMA: ²⁵Mg; the EMPA data used as the standardizing values,Single element externally measured by EPMA: ⁶¹Ni concentration from EPMA at exact analysis location used as IS,Fe+Ni+Co sum normalization to 100% using iolite 3D Trace Elements DRS (eliminates need for independent EPMA IS),Fe+Ni+Co sum normalization to 100% (same DRS as spot protocol; mandatory for multi-phase mapping without prior IS knowledge),"Two internal standards: Si from XRF SiO₂ (for Co, Ni, Cu, Zn); Al from XRF Al₂O₃ (for all other trace elements); non-matrix-matched external standards (NIST 612 + 614) used; fs laser minimizes matrix effects",Single element from EMP: Si (SiO₂ from EMP for silicate glass); NIST 610 as external standard,Single element from EMP: Fe (FeOT from EMP for sulfide); NIST 610 as external standard,Normalization to 100 wt% oxide total (for silicates and oxides) [P4],Single element IS: EMP CaO concentration used; LA-ICP-MS 40Ca counts normalized to CaO from EMP analysis at the same spot [P4]
Internal Standard Element,"Element(s) used as the internal standard, and how the IS concentration value was determined for unknown samples. For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference.",Basic,Read-Only,Text (free),"e.g., '²⁹Si; SiO₂ wt% from EPMA' | '⁵³Cr; measured in preceding major-element run (run 1)' | 'None — sum of MgO+FeO+SiO₂+P₂O₅ = 100 wt% (Liu et al. 2008)'",,2026-07-24,Y,Y,Y,,N (not stated in this paper; standardization follows Humayun (2012)),No single IS element; oxide sum normalization (MgO+FeO+SiO₂+P₂O₅) used as virtual IS per pixel,Run 1: No single IS; oxide sum normalization; Run 2: ⁵³Cr (concentration from Run 1 major-element analysis on 30 µm spot used as IS for 130 µm spot trace element run),No single IS; oxide sum normalization to 100 wt%,²⁵Mg (indexing element; Mg concentration from EMPA),⁶¹Ni; concentration from EPMA measured at exact analysis spot location,No single IS; Fe+Ni+Co mass fractions normalized to 100% via iolite 3D DRS (yield correction factors applied for NIST SRM 612 relative to North Chile),No single IS; Fe+Ni+Co=100% normalization (same as spot protocol),"Si (SiO₂ from XRF) for Co, Ni, Cu, Zn; Al (Al₂O₃ from XRF) for all other 28 trace elements",Si from EMP (SiO₂ wt% for silicate glass),Fe from EMP (FeOT wt% for sulfide),"None (oxide sum normalization, 100 wt% total) [P4]",40Ca; CaO wt% from EMP at the analysis spot [P4]
Per-Analyte Calibration Strategy,"Documents cases where different analytes or analyte groups within the same session are calibrated using different strategies — for example, one element used as the internal standard while trace elements are calibrated by an external reference material, or different primary standards applied to different mass ranges or mineral phases. If a single calibration strategy applies uniformly to all analytes, state that here and refer to Internal Standard Approach and Normalization / Standards-Based Correction for details. Free text; list analyte-specific strategies as needed.",Basic,Read-Only,Text (free),Single strategy: ⁴³Ca IS for all analytes (see Internal Standard fields); Multi-strategy: ⁴³Ca IS for major elements; NIST 610 external calibration for REEs; Fe+Ni+Co sum normalization for PGEs,Analyte-Specific,2026-05-14,Y,Y,Y,,,,,,,,,,,,,,
