Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas"
Multi-Run Sequential Analysis Design,"Whether the procedure uses a single acquisition pass or multiple sequential runs on the same sample location, each optimized for different analytical objectives. For multi-run designs, describe the number of runs, their purpose, key laser and instrument settings per run, and how outputs of one run feed into data reduction of another. Not applicable to raster mapping, where each spatial location is visited exactly once.",Advanced,Read-Only,Text (free),"e.g., Single run | Two sequential runs: run 1 (major elements, 30 µm circular, medium resolution) → run 2 (trace elements, 130 µm circular, low resolution; Cr from run 1 as IS) | Pre-ablation pass + single acquisition run",,2026-08-26,(none),,Y,Y,N,,N (single raster acquisition; Ge spot separate session),N/A (mapping; no sequential multi-run),"Three-stage sequential design on same olivine location:
(1) Pre-ablation pass (2 J cm⁻², 150 µm square, 300 µm s⁻¹) to remove surface contamination;
(2) Run 1 — major elements (30 µm circular, MR M/ΔM=4000, 20 Hz, 7 nuclides);
(3) Run 2 — trace elements (130 µm circular, LR M/ΔM=300, 40 Hz, 36 nuclides; Cr from run 1 as IS)",Single spot analysis run per location (25 cycles: 15 s blank + 20 s ablation + 10 s washout); 3 replicates,Single spot per location (75 µm circular),Single acquisition run (20 spot analyses per sample under repeatability conditions),N/A (mapping)
Analysis Location/Spot Coordinates,"Location of the analysis on the sample surface. For spot and transect analysis: stage coordinates (X, Y in µm) or a description relative to a named reference feature (e.g., mineral rim, inclusion boundary). For mapping: coordinates of the map corner(s) or centre, plus map dimensions.",N/A,Basic,Text (free),"e.g., 'X = 12350 µm, Y = 8760 µm (stage coordinates)' | '500 µm from metal-olivine rim toward core' | 'Map centre: X=15000, Y=9000 µm; area: 1450×600 µm'",Source: Laser Ablation module,2026-08-26,sample > sampling unit,Enables spatial reconstruction and co-registration with other analytical images.,Y,Y,Y,,N,N,N,N,N,N,N
Number of Replicates,"Number of replicate measurements performed on the same sample, or on the same nominal location where the technique is spatially resolved. For spot analysis this is the number of individual spots per grain or location; for transects, the number of replicate lines; for mapping, the number of map acquisitions of the same area; for solution work, the number of discrete replicate measurements acquired per sample solution. The procedure registers an intended count where it has one; the analysis records the count actually acquired.",Advanced,Basic,Integer,"e.g., 3 (three replicate spots per grain) | 1 (single transect) | 1 (single map)",,2026-08-26,(none),,Y,Y,Y,,N (number not stated explicitly; multiple irons analyzed),N (single map per olivine crystal section per sample),3 replicate analyses per grain (3× run 1 + 3× run 2 on same location),Multiple phosphate grains per meteorite; number varies by section,N (variable number of spots per sample),20 spot analyses per meteorite under repeatability conditions; additional measurements on different days,1 map per meteorite (single 30-min mapping acquisition)
Transect Length,"Total length of the transect line analysed in micrometres. Scan speed is captured separately in Transect Rate, Mapping Rate or Step Size.",N/A,Basic,Numeric (µm),"e.g., 500 µm | 1200 µm | 3000 µm",Source: Laser Ablation module,2026-08-26,(none),Depends on the size of the feature of interest rather than being fixed in the procedure.,N,Y,N,,N/A,N/A,Line scan length: 400 µm (runs 1 and 2; 34 runs adjusted to measure 400 µm line + blank + washout),N/A,N/A,N/A,N/A
Mapping Area,"Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm². This is an analysis-level parameter because it depends on the size of the grain or phase to be mapped. The procedure fixes scan speed, line spacing, and spot size; the map area is chosen at analysis time to cover the target feature.",N/A,Basic,Text (free),"e.g., '1450×600 µm (870,000 µm²)' | '200×200 µm' | '0.5 mm²'",,2026-08-26,(none),,N,N,Y,,"Raster over ""a few millimeters"" of polished iron slab surface (area not precisely stated)","Each map: 1450×600 µm = 870,000 µm²; total of 8 PMG olivines mapped",N/A (line scan + spot; not 2D raster),N/A,N/A,N/A,Augusto Pestana: 30 min mapping session (area not explicitly stated; 150 µm spot at 10 µm s⁻¹)
,,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,2026-08-26,,,N,N,N,N,,,,,,,
Internal Standard Approach,"Method used to determine the internal standard (IS) concentration for each unknown sample, used to correct for variable ablation yield between analyses. The approach is a fundamental procedure design choice that cannot be changed by analysts.",Basic,Read-Only,Text (free),"e.g., 'Single element from EPMA (SiO₂ wt% used as IS)' | 'Sum-of-major-oxide normalization to 100% (Liu et al. 2008)' | 'Stoichiometry-derived (Ca fixed at 10.1 wt% for calcite)' | 'No IS — external calibration only'",,2026-08-26,(none),,Y,Y,Y,,Standardization techniques followed those of Humayun (2012) [Section 2.2; specific IS approach not restated in this paper],Sum-of-major-oxide normalization: MgO+FeO+SiO₂+P₂O₅ = 100 wt% per pixel (Liu et al. 2008 approach; no EPMA required for IS),Run 1 (major elements): sum-of-oxide normalization (MgO+FeO+SiO₂+P₂O₅=100 wt%; Liu et al. 2008); Run 2 (trace elements): single element IS from Run 1 (⁵³Cr concentration from major element run used as IS for trace element run),Sum-of-major-oxide normalization to 100 wt% (Liu et al. 2008; Appendix C3),Single element from EPMA: ²⁵Mg; the EMPA data used as the standardizing values,Fe+Ni+Co sum normalization to 100% using iolite 3D Trace Elements DRS (eliminates need for independent EPMA IS),Fe+Ni+Co sum normalization to 100% (same DRS as spot protocol; mandatory for multi-phase mapping without prior IS knowledge)
Internal Standard Element,"Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns. Where the element serves isotope-ratio work it must have a known isotopic composition and a mass close to the analyte's. Record 'None' together with the alternative used where no internal standard is applied.",Basic,Read-Only,Text (free),"e.g., '²⁹Si; SiO₂ wt% from EPMA' | '⁵³Cr; measured in preceding major-element run (run 1)' | 'None — sum of MgO+FeO+SiO₂+P₂O₅ = 100 wt% (Liu et al. 2008)' | For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference.",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N (not stated in this paper; standardization follows Humayun (2012)),No single IS element; oxide sum normalization (MgO+FeO+SiO₂+P₂O₅) used as virtual IS per pixel,Run 1: No single IS; oxide sum normalization; Run 2: ⁵³Cr (concentration from Run 1 major-element analysis on 30 µm spot used as IS for 130 µm spot trace element run),No single IS; oxide sum normalization to 100 wt%,²⁵Mg (indexing element; Mg concentration from EMPA),No single IS; Fe+Ni+Co mass fractions normalized to 100% via iolite 3D DRS (yield correction factors applied for NIST SRM 612 relative to North Chile),No single IS; Fe+Ni+Co=100% normalization (same as spot protocol)
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated. Where a single strategy applies to all analytes, record that strategy. Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'.",Basic,Read-Only,Text (free),Single strategy: ⁴³Ca IS for all analytes (see Internal Standard fields); Multi-strategy: ⁴³Ca IS for major elements; NIST 610 external calibration for REEs; Fe+Ni+Co sum normalization for PGEs,Source: ICP-MS module,2026-08-26,analyte,,Y,Y,Y,,,,,,,,
Elemental Fractionation Correction,"Method used to correct for laser-induced elemental fractionation (LIEF), including downhole fractionation during prolonged ablation, matrix-dependent fractionation between sample and calibration standard, and any specific correction algorithm applied. Reference the software function or publication.",Basic,Read-Only,Text (free),"e.g., 'Normalised to NIST SRM 612; no additional downhole correction' | 'Exponential downhole fractionation correction in Iolite using NIST SRM 612' | 'Linear time-drift correction applied per analysis'",,2026-08-26,(none),,Y,Y,Y,,Multi-point external calibration using series of iron meteorite reference materials (North Chile Filomena as primary standard for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba for Ru/Rh/Pd/Re/Os/Ir/Pt; NIST SRM 1263a V-Cr steel for V/Cr/Fe/Co/Ni/Cu/As/Mo/W/Au),Internal normalization to MgO+FeO+SiO₂+P₂O₅ oxide sum corrects for point-to-point ablation yield variation; additional pixel-by-pixel normalization fixes oxide sum to 100 wt%,Run 1: Oxide sum normalization corrects for ablation yield variation; external calibration using glass GRMs (NIST + USGS + MPI-DING); Run 2: Cr from run 1 as IS corrects for ablation yield; external calibration with expanded glass GRM set,Oxide sum normalization to 100 wt% corrects for ablation yield and matrix effects; external calibration with MPI-DING and USGS glass GRMs,"External calibration using BCR-2g, BHVO-2g, BIR-1g; ²⁵Mg IS from EPMA corrects for ablation yield variation; no explicit downhole fractionation correction described",External calibration using North Chile iron meteorite + NIST SRM 612 glass (yield correction applied in iolite 3D DRS for NIST relative to North Chile); ordinary least-squares fitting per 15 min calibration block; Fe+Ni+Co normalization eliminates need for independent EPMA IS,Same calibration approach as spot protocol (iolite 3D DRS; same yield correction)
Mass Bias Correction Strategy,"Strategy used to correct instrumental isotopic mass fractionation, also called mass bias or mass discrimination. Distinct from Elemental Fractionation Correction, which addresses inter-element fractionation during ablation and transport: this field addresses discrimination between isotopes of the same element, and applies wherever the procedure reports isotope ratios.",Basic,Read-Only,Text (free),"e.g., 'Standard-sample bracketing against NIST 612' | 'Co-aspirated Tl, exponential law' | 'None (elemental concentrations only)'",,2026-08-26,(none),,Y,Y,Y,,,,,,,,
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,Source: ICP-MS module,2026-08-26,(none),A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.,Y,Y,Y,,,,,,,,
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),"e.g., Counting statistics only (1σ on integrated signal, Longerich et al. 1996) | SD of n replicate analyses used as combined uncertainty estimate | Full propagation: counting + calibration standard + IS uncertainty (specify formula)",Source: ICP-MS module,2026-08-26,reported property,,Y,Y,Y,,Standard deviation (SD) across individual integration cycles of raster scans; uncertainty propagation not formally described,Longerich et al. (1996) equation (3SD/S × √(1/Nb + 1/Na)),Longerich et al. (1996) for LOD; uncertainty for concentrations not formally described,Longerich et al. (1996) for LOD; uncertainty not formally described,N,N (iolite 4 computes uncertainty internally via Longerich et al. 1996),N (same as spot protocol)
Matrix Offset Correction (LIEF),Whether an empirical correction was applied to account for systematic differences in laser-induced elemental fractionation (LIEF) patterns between the external calibration standard and the sample matrix.,Advanced,Read-Only,Text (free),"e.g., 'Applied: 6.4% offset in Ca/Si determined by comparison with EPMA (Jenner & O'Neill 2012)' | 'Not applied; Ca used as IS to cancel LIEF offset' | 'Not applicable'",,2026-08-26,(none),,Y,Y,Y,,N (no matrix offset correction; iron meteorite standards used to minimize matrix mismatch),N (oxide sum normalization approach is inherently matrix-independent within olivine composition range),N,N,N,N (yield correction in iolite DRS addresses relative sensitivity differences between NIST SRM 612 and North Chile),N (same as spot protocol)
Signal Integration Interval Method,"Method used to define which portion of the acquired signal is integrated for each reported measurement, and the rule for excluding unstable or anomalous portions. State whether the interval is the full acquisition, a stable sub-interval selected by inspection, or selected by an automated criterion, and name the criterion.",Basic,Read-Only,Controlled list / Text,Full acquisition | Stable interval selected by inspection | Automated threshold | Automated outlier rejection | Fixed time window | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N (raster averages; selection method not described),"Manual visual inspection of time-resolved signal per line; anomalous spikes (inclusions, cracks, veinlets) excluded; P-rich veinlet regions identified and excluded from olivine averages","Time-resolved signals inspected manually; unstable intervals at start and end discarded; Cr heterogeneities and inclusion signals (elevated P, Ca, Co, Ni) identified and excluded from integration","Anomalous time steps excluded (inclusions, cracks, heterogeneity); manual inspection","Time steps with enhanced P, Ca, Co, Ni, Zn count rates (indicating inclusions or cracks) excluded from integration; manual inspection",Time-resolved LA-ICP-MS signals inspected per analysis; background interval (20 s) and ablation interval (40 s) selected; no automated spike exclusion described,Same procedure as spot protocol; signal integration for mapping not separately described
Signal Integration Time,"The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition. Where the procedure computes it from an acquisition structure, record that basis.",N/A,Basic,Numeric (s),"e.g., 40 s | 60 s | Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",Source: ICP-MS module,2026-08-26,(none),It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded.,Y,Y,N,,N/A (mapping) / ~20 s (Ge spots: 20 s ablation at 50 Hz),N/A (mapping),Run 1: ~50 s (34 runs covering 400 µm line + 10 s blank + washout); Run 2: same structure; actual integrated signal window within run not separately stated,20 s (spot ablation time; full ablation interval used for integration after exclusion of anomalous steps),N (parameters lost),40 s (full ablation interval used; background subtracted separately),N/A (mapping)
Spike / Outlier Filtering Approach,"Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated. State where in the reduction sequence the filter is applied.",Advanced,Editable,Text (free),"e.g., 'Significant single spikes visually identified and removed in Iolite' | 'Statistical filter: data points >3σ from running mean removed' | 'No filtering applied' | 'Automated spike detection in SILLS'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,"N (raster scans; ""failed to yield useful Ge abundances"" for Klamath Falls noted — implying visual quality control)",Manual identification and exclusion of P-rich veinlet pixels from olivine averages; anomalous spikes from inclusions excluded per line,"Manual inspection; analyses with elevated P, Ca, Co, Ni (phosphate or metal inclusions) excluded; Cr heterogeneities also flagged",Anomalous time steps excluded during manual inspection,"Time steps with enhanced P, Ca, Co, Ni, Zn excluded (inclusions and heterogeneities); Grubb's test applied to EPMA data for outlier detection",N (no explicit spike filtering described beyond background subtraction),N (mapping; iolite 3D DRS handles background; no per-pixel spike filtering described)
Blank / Background Correction Method,"Method used to subtract background and, where relevant, procedural blank from the measured signal. State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied.",Basic,Read-Only,Controlled list / Text,Gas blank | On-peak zero | Solution blank | Procedural blank | On-peak zero + procedural blank | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,Gas blank measured before each raster analysis; mean background subtracted,Gas blank measured before each ablation line (10 scans of gas blank per mapping line); average background subtracted from each corresponding ablation line,Gas blank measured before each analysis (5 scans); average background value preceding each analysis subtracted from corresponding data,Gas blank measured before each spot analysis (8 scans); average background subtracted,Gas blank measured before each analysis (laser shutter closed); time steps with background-level signals excluded during data reduction,Background signal measured for 20 s (laser shutter closed) before each 40 s ablation; background mean subtracted per isotope in iolite,Background (1 min) measured at session start; additional 3 measurements of NIST and North Chile used for calibration (background included in regression line for gas blank)
Pulse/Analog Detector Nonlinearity Correction,Whether a correction was applied for nonlinear response at the transition between pulse-counting and analog detector modes.,Advanced,Editable,Controlled list / Text,Not applicable (instrument uses pulse counting only) | Applied: describe method and elements affected | Not applied (crossover threshold not reached for any element) | Not applied (known bias accepted) | N/A | None,,2026-08-26,(none),,Y,Y,Y,,Applied: triple mode detection at 65% duty cycle (pulse counting + analog + Faraday); specific cross-calibration not described,Applied: triple mode detection; cross-calibration between pulse-counting and analog modes performed,Applied: Run 1 medium resolution with Faraday for major elements; Run 2 low resolution; cross-calibration performed,Applied: triple mode detection,N (parameters lost),"Applied: triple mode detector (pulse counting, analog, Faraday); low relative abundance isotopes chosen for Ni and Fe to allow analog mode measurement of major matrix elements",Applied (same as spot)
Isobaric Interference Corrections Applied,"Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell. Detail for each affected mass is carried by Interfering Species and Interference Correction Method.",Basic,Read-Only,Controlled list / Text,Yes | No | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,Yes — ⁹⁹Ru used instead of ¹⁰¹Ru to avoid ⁴⁰Ar⁶¹Ni⁺ interference; isotope selection minimizes other interferences,Yes — cool plasma conditions (800 W) applied to reduce argide-based interferences (³⁶Ar²⁴Mg⁺ on ⁶⁰Ni; ⁴⁰Ar³¹P⁺ on ⁷¹Ga); oxide-based interferences minimized by dry plasma and tuning; mathematical corrections in some cases (Table C1),Yes — cool plasma not applicable (normal plasma); argide corrections less critical; oxide interferences monitored; spectral interference list in Table C1,Yes — same instrument settings; interference corrections as per Table C1,N (parameters lost; medium resolution mode implies interference resolution by mass),"Yes — isotope selection to minimize interferences (e.g., ⁹⁹Ru instead of ¹⁰¹Ru to avoid ⁴⁰Ar⁶¹Ni⁺; low abundance isotopes for Fe and Ni)",Yes (same as spot protocol)
Interfering Species,"The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam. Name each species and the mass it affects.",Basic,Read-Only,Text (free),"e.g., '⁸⁷Rb on ⁸⁷Sr; ¹⁷⁰Yb²⁺ on ⁸⁵Rb' | '⁴⁰Ar³¹P⁺ on ⁷¹Ga; ⁴⁴Ca¹⁶O⁺ on ⁶⁰Ni' | '¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu' | 'None'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,,⁴⁰Ar⁶¹Ni⁺ on ¹⁰¹Ru (most abundant Ru isotope → use ⁹⁹Ru instead),Per Table C1: ¹²C¹³C⁺ on ²⁵Mg; ¹⁵N¹⁶O⁺ on ³¹P; ²⁹Si¹⁶O⁺ on ⁴⁵Sc; ³⁵Cl¹⁶O⁺ on ⁵¹V; ⁴⁰Ar¹³C⁺ on ⁵³Cr; ⁴⁰Ar¹⁵N⁺ on ⁵⁵Mn; ⁴⁰Ar¹⁶OH⁺ on ⁵⁷Fe; ⁴⁴Ca¹⁶O⁺ and ²⁴Mg³⁶Ar⁺ on ⁶⁰Ni; ³¹P⁴⁰Ar⁺ and ⁵⁵Mn¹⁶O⁺ on ⁷¹Ga; ¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu (most significant interferences in bold),Same interference list as mapping (Table C1); argide-based interferences less critical without cool plasma,Same interference list (Table C1),N (parameters lost; medium resolution resolves most polyatomic interferences),⁴⁰Ar⁶¹Ni⁺ on ¹⁰¹Ru (primary concern) → ⁹⁹Ru used instead; Fe and Ni matrix species on other isotopes minimized by isotope selection,Same as spot protocol
Interference Correction Method,"Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard. Name the reference material used.",Basic,Read-Only,Text (free),"e.g., 'Mathematical correction: ⁸⁷Sr_corrected = ⁸⁷Sr_measured − f(⁸⁷Rb/⁸⁵Rb) × ⁸⁵Rb' | 'Cool plasma (800 W) reduces ⁴⁰Ar-based argides by >90% for ⁶⁰Ni and ⁷¹Ga' | 'KED mode (He collision gas 4 ml min⁻¹) suppresses polyatomic interferences'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,,Isotope selection: ⁹⁹Ru chosen over ¹⁰¹Ru; other isotopes chosen to minimize interference,"Physical mitigation: cool plasma (800 W RF) reduces ³⁶Ar²⁴Mg⁺ on ⁶⁰Ni, ⁴⁰Ar³¹P⁺ on ⁷¹Ga by >90%; oxide interferences minimized by dry plasma conditions; background subtraction corrects for time-invariant Ar-based interferences; mathematical corrections applied where feasible per Appendix C4",Argide corrections less critical (normal plasma); oxide-based interferences minimized by tuning; same interference list but without cool plasma mitigation,Same approach as mapping; oxide sum normalization partially corrects for matrix-dependent interferences,"Medium mass resolution (M/ΔM ≈ 4000) separates many polyatomic interferences from analyte peaks (e.g., resolves ⁵⁴Fe⁺ from ⁵⁴Cr⁺)",Isotope selection minimizes interferences; low-abundance isotopes of Fe and Ni chosen for analog mode to prevent detector saturation,Same isotope selection as spot protocol
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements. For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used. Record 'None' where neither isotope dilution nor double-spike methods are applied.",Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Memory Effect Mitigation,"Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one. Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions. At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved.",Advanced,Editable,Text (free),"e.g., 'Extended washout (≥60 s He flush) between high-concentration standards and unknowns' | 'Scan speed set so that washout time (<1 s) is shorter than pixel acquisition interval' | 'None required for this element suite'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N (washout time between analyses not stated; sequential raster scans),Gas blank measured before each ablation line; adequate washout ensured by duty cycle timing,Washout time: 11 s between runs (runs include 400 µm line + blank + washout),10 s washout time after 20 s spot ablation (specified in acquisition protocol),N (parameters lost),N (washout between analyses not explicitly described; sequential spot analyses),N (mapping; ARIS-equivalent not described; single mapping session)
Normalization / Standards-Based Correction,"Any post-acquisition normalization applied to correct for systematic biases identified from secondary reference materials, or stoichiometric normalization applied per pixel in mapping. Distinct from the primary internal standard approach captured in Internal Standard Approach.",Advanced,Editable,Text (free),"e.g., 'None' | '100% oxide sum normalization applied per pixel to enforce mass balance (Liu et al. 2008)' | 'Normalized to ⁸⁸Sr/⁸⁶Sr = 8.37521 for mass bias correction in Sr isotope analysis'",,2026-08-26,reported property,,Y,Y,Y,,External calibration with iron meteorite and NIST SRM 1263a V-Cr steel standards; no post-acquisition normalization described,100% oxide sum normalization (MgO+FeO+SiO₂+P₂O₅) applied per pixel after IS-normalized external calibration (equations 3–4 in Appendix C1) to fix final mass balance,Run 1: 100% oxide sum normalization; Run 2: Cr IS from Run 1 applied; no further post-acquisition normalization,100% oxide sum normalization to 100 wt% for phosphate minerals (Appendix C3),"No post-acquisition normalization; BCR-2g, BHVO-2g, BIR-1g used for calibration; Marjalahti as in-session control",Fe+Ni+Co=100% sum normalization applied in iolite 3D Trace Elements DRS as final step; yield correction factors applied for NIST SRM 612 relative to North Chile,Fe+Ni+Co=100% normalization (mandatory for multi-phase mapping); same iolite DRS as spot
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-26,reported property,,Y,Y,Y,,,,,,,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),,Source: Blank module,2026-08-26,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,Y,Y,Y,,,,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-26,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Y,Y,Y,,,,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-26,(none),,Y,Y,Y,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,2026-08-26,,,N,N,N,N,,,,,,,
Primary Calibration Standard Name,"Primary reference material(s) used to calibrate the instrument and convert raw signal intensities to concentrations or isotope ratios. Include material name, source institution, and citation for the accepted values used. Editable because the specific lot or certification vintage may differ between sessions while the material type remains the same.",Basic,Editable,Text (free),"e.g., 'NIST SRM 612 (Jochum et al. 2011, doi:10.1111/j.1751-908X.2011.00120.x)' | 'USGS BCR-2G (GeoReM preferred values, georem.mpch-mainz.gwdg.de)'",,2026-08-26,analyte,,Y,Y,Y,,North Chile Filomena (IIAB iron meteorite; Wasson et al. 1989) for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba (IVB; Walker et al. 2008) for Ru/Rh/Pd/Re/Os/Ir/Pt; NIST SRM 1263a V-Cr steel (Campbell & Humayun 2005) for V/Cr/Fe/Co/Ni/Cu/As/Mo/W/Au,"Multiple glass GRMs used together for linear regression external calibration: NIST SRM 612, NIST SRM 614, USGS GSD-1G (synthetic), USGS GSE-1G (synthetic), USGS BHVO-2G, USGS BIR-1G (natural basalt glasses)","Same glass GRM set as mapping for Run 1; expanded set additionally includes MPI-DING KL2-G, ML3B-G, StHs6/80-G, T1-G, ATHO-G, BM90/21-G, GOR128-G, GOR132-G for Run 2 trace elements",MPI-DING and USGS glass GRMs (measured at beginning and repeatedly at end of each session; multipoint calibration),"USGS standard glasses BCR-2g, BHVO-2g, and BIR-1g; preferred values from GeoReM website",NIST SRM 612 glass (Jochum et al. 2011) + North Chile Filomena iron meteorite (Wasson et al. 1989) — used together with yield correction in iolite 3D DRS,NIST SRM 612 (Jochum et al. 2011) + North Chile Filomena — same as spot protocol
