Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences"
Memory Effect Mitigation,"Procedure applied to identify and minimise memory effects from high-concentration elements in the previous sample or standard that may contaminate subsequent analyses, or from incomplete aerosol washout between adjacent pixels in raster mapping mode. For mapping, the mitigation strategy involves controlling scan speed relative to washout time to ensure each pixel signal is sufficiently free of the preceding pixel's contribution.",Advanced,Editable,Text (free),"e.g., 'Extended washout (≥60 s He flush) between high-concentration standards and unknowns' | 'Scan speed set so that washout time (<1 s) is shorter than pixel acquisition interval' | 'None required for this element suite'",,2026-07-24,(none),,Y,Y,Y,,N (no memory effect mitigation described; line scan mode with no return to same location)
Normalization / Standards-Based Correction,"Any post-acquisition normalization applied to correct for systematic biases identified from secondary reference materials, or stoichiometric normalization applied per pixel in mapping. Distinct from the primary internal standard approach captured in Internal Standard Approach.",Advanced,Editable,Text (free),"e.g., 'None' | '100% oxide sum normalization applied per pixel to enforce mass balance (Liu et al. 2008)' | 'Normalized to ⁸⁸Sr/⁸⁶Sr = 8.37521 for mass bias correction in Sr isotope analysis'",,2026-05-06,reported property,,Y,Y,Y,,⁸⁸Sr/⁸⁶Sr = 8.37520933 used for Sr isotope mass fractionation correction (exponential law); ⁸⁷Rb/⁸⁵Rb = 0.385706 and ⁸⁶Sr/⁸⁸Sr = 0.119351 for ⁸⁷Rb/⁸⁶Sr calculation; external calibration factor from reference glasses applied to correct Rb/Sr elemental fractionation
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-25,reported property,,Y,Y,Y,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),,Source: Blank module,2026-08-25,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,Y,Y,Y,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-25,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Y,Y,Y,,
Mass Fractionation Law,"Mathematical law used to parameterize instrumental isotope mass fractionation as a function of mass difference. The linear law assumes fractionation proportional to mass difference. The power law is an alternative formulation. For double-spike procedures, the law is embedded in the inversion algorithm and must be consistent between spike calibration and sample data reduction.",Basic,Read-Only,Controlled list,Exponential | Linear | Power | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-25,(none),The exponential law (Maréchal et al. 1999) is most widely used and theoretically best justified for MC-ICP-MS.,Y,Y,Y,,
Internal Normalization Element and Isotope Ratio,"Element and isotope ratio used as the internal normalization standard for mass bias correction. Specify the element, the monitored isotope ratio (e.g., 113Cd/111Cd for Sb measurements), and the certified or consensus value used for correction. Record 'N/A' where the procedure does not use internal normalization.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-25,(none),"The measured ratio of the normalizing element is used to calculate the mass bias factor β using the chosen mass fractionation law, which is then applied to correct the analyte isotope ratios assuming β_norm ≈ β_analyte.",Y,Y,Y,,
Double-Spike Isotope Pair,The pair of enriched isotopes used to construct the double spike. Both isotopes must be naturally rare and free from isobaric interferences. The double spike composition must be accurately calibrated before use. Specify both isotope masses and the spike certificate or calibration reference. Record 'N/A' where the procedure does not use a double spike.,Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-25,(none),The pair is chosen to minimise error magnification in the inversion.,Y,Y,Y,,
Double-Spike Mixing Ratio,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. The optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' where the procedure does not use a double spike.",Advanced,Editable,Text (free),,Source: MC-ICP-MS module,2026-08-25,(none),An optimal mixing ratio minimises error propagation through the double-spike inversion.,Y,Y,Y,,
Double-Spike Inversion Algorithm,"Mathematical algorithm used to simultaneously solve for the true sample isotope ratio and the mass fractionation factor from the measured spike-sample mixture. Common implementations: iterative Newton-Raphson solution, matrix algebraic approach, or published software (e.g., Rudge et al. 2009 Double Spike Toolbox). Specify the algorithm or software reference and version. Record 'N/A' where the procedure does not use a double spike.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-25,(none),,Y,Y,Y,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-25,(none),,Y,Y,Y,,
,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N
Primary Calibration Standard Name,"Primary reference material(s) used to calibrate the instrument and convert raw signal intensities to concentrations or isotope ratios. Include material name, source institution, and citation for the accepted values used. Editable because the specific lot or certification vintage may differ between sessions while the material type remains the same.",Basic,Editable,Text (free),"e.g., 'NIST SRM 612 (Jochum et al. 2011, doi:10.1111/j.1751-908X.2011.00120.x)' | 'USGS BCR-2G (GeoReM preferred values, georem.mpch-mainz.gwdg.de)'",,2026-05-06,(none),,Y,Y,Y,,"NIST 610 for instrument parameter optimization; series of reference glasses (NIST 612, BHVO-2G, BCR-2G, NKT-1G, TB-1G, ATHO-G, KL2-G, ML3B-G, StHs6/80-G, T1-G) for external calibration of ⁸⁷Rb/⁸⁶Sr ratio; natural clinopyroxenes (NHB-9, YY12-01) and anorthite (YG4301) as unknown samples for ⁸⁷Sr/⁸⁶Sr data quality evaluation"
Calibration Standard Measurement Frequency,How often the primary calibration standard is measured relative to unknown samples within a session.,Basic,Read-Only,Text (free),Before and after every 5 unknowns | Bracketing every 10 samples | Start and end of session only | N/A | None | Other: specify,,2026-08-25,(none),"For LA-ICP-MS, this defines the bracketing interval between calibration standard ablations used to monitor and correct for instrumental drift.",Y,Y,Y,,N (no explicit drift correction described; external calibration with reference glasses provides correction)
Secondary Reference Materials,"Quality-control reference materials analysed as unknowns alongside samples in the same session to assess accuracy and monitor drift. Include material name, source, and citation for accepted values used for comparison. Editable because selection of secondary RMs may vary across sessions.",Basic,Editable,Text (free),"e.g., 'NIST SRM 610 (Jochum et al. 2011); GOR132-G (Jochum et al. 2006)' | 'BHVO-2G (GeoReM), BCR-2G (GeoReM)'",,2026-08-12,defines: standard,,Y,Y,Y,,Natural clinopyroxenes NHB-9 and YY12-01 (reference values given in Table 2); anorthite YG4301 — measured as unknowns for 87Sr/86Sr data quality evaluation
Detection Limit,"Session detection limit, one per reported concentration variable (one per analyte, these being the same set), expressed in µg g⁻¹, ng g⁻¹, or wt% as appropriate. Mandatory at analysis level to demonstrate the reliability of reported near-detection-limit concentrations. The calculation method is captured separately in Detection Limit Method.",Advanced,Basic,Numeric + unit / Text,"e.g., '0.003 ng g⁻¹ (La), 0.005 ng g⁻¹ (Ce) (3σ background; Longerich et al. 1996)' | 'Range: 0.005–23.5 µg g⁻¹ across all measured isotopes (Pettke et al. 2012)'",,2026-08-24,reported property,,Y,Y,Y,,N (LODs not applicable to isotope ratio measurements; precision and accuracy of 87Sr/86Sr and 87Rb/86Sr assessed instead)
Detection Limit Method,Reference or description of the method used to calculate session detection limits. Mandatory at analysis level. Must be consistent with the method applied to generate the Detection Limit values reported above.,Basic,Read-Only,Controlled list / Text,3σ blank | 3σ background | 3σ counting statistics | 3× blank mean | Poisson statistics | N/A | None,,2026-08-24,reported property,,Y,Y,Y,,N (not applicable; isotope ratio measurements)
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported.,Advanced,Basic,Text / URI,"e.g., 'LOQ = 10 × SD of background counts (10σ criterion)' | 'LOQ = 3.3 × LOD per IUPAC Gold Book' | 'LOQ = blank value + 10 SD for pollution elements (V, Ba, U)'",,2026-08-25,reported property,Concentrations between LOD and LOQ are detectable but not reliably quantifiable.,Y,Y,Y,,N
Counting Statistics Error,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately: where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",Advanced,Basic,Text (free),"e.g., '2SE predicted from counting statistics over 45 cycles' | '~0.6% (1 sigma), counting statistics plus propagated uncertainties' | 'N/A'",,2026-08-17,sample > sampling unit x reported property,,Y,Y,Y,,N
Internal (Within-Measurement) Analytical Precision and Assessment Method,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it. State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to. Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there.",Advanced,Basic,Text (free),"e.g., '2SE = 2SD/sqrt(n), n = 45 cycles' | '+/-0.001-0.002 (2SE) on 206Pb/204Pb' | '~2.6% (2SE) on single-spot ages' | 'N/A'",Source: ICP-MS module,2026-08-25,sample > sampling unit x reported property,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three.",Y,Y,Y,,N
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analytical session and the method used to assess it. Report both the assessment method and the precision values. The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI). Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses.",Basic,Basic,Text (free),"e.g., '1σ RSD = 1.5% for Ba, 2.3% for La (n=5 on NIST SRM 612 per session)' | 'Mapping: 4% 1σ RSD across 3 GRM map areas at session start and end (n=3)'",Source: ICP-MS module,2026-08-25,standard x reported property,,Y,Y,Y,,Standard error (USE = SE at 95% confidence) for 87Sr/86Sr and 87Rb/86Sr per individual run; dependent on signal intensity (regression shown in Fig. 3); relative errors for 87Rb/86Sr: ±3% for most reference glasses; 87Sr/86Sr relative errors: <0.2‰ for materials with 87Rb/86Sr <1
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it. Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported.",Advanced,Basic,Text (free),"e.g., '2σ RSD = 3% for Eu/Eu* on GOR132-G across 12 sessions over 8 months' | '1σ RSD = 2% for most REEs on BHVO-2G across 17 sessions over 3 years (n=85 analyses)'",Source: ICP-MS module,2026-08-25,standard x reported property,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.,Y,Y,Y,,N
Analytical Accuracy and Assessment Method,"Offset between measured and accepted reference values for secondary reference materials, expressed as % relative bias. Report both the assessment method and the accuracy values. Specify: (1) secondary RM used and source of reference values, (2) number of analyses, and (3) elements or element groups assessed. Report any systematic biases and likely causes.",Basic,Basic,Text (free),"e.g., 'Within ±5% of GeoReM preferred values for most REEs on GOR132-G (n=15); +8% for Nb (known matrix sensitivity)' | '±3% for all elements on BHVO-2G vs. GeoReM (n=20)'",,2026-08-11,standard x reported property,,Y,Y,Y,,"87Sr/86Sr relative errors <0.2‰ for reference materials with 87Rb/86Sr <1 (12 of 14 reference materials); 87Rb/86Sr relative accuracy within ±3% for 11 glasses; exceptions: NIST 610 (−2.97%), NIST 612 (+2.02%), ATHO-G (+2.89%) — all within stated ±3% criterion"
,,,,,,,,,,,,,,
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. The procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,Source: Aggregation module,2026-08-25,reported property,Answers whether a reported aggregate is defensible as a single population. The value cannot be known before the analysis.,Y,Y,Y,,
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-08-25,(none),,Y,Y,Y,,LA-MC-ICP-MS transect mode with Rb-Sr isotope ratio measurement; SUIA (Smallest Unit Isochron Age) data reduction strategy developed for heterogeneous minerals; signal-smoothing device used to reduce short-term variability
